District,Block,Total_Schools,Growth_Schools,Decline_Schools,Recovery_Schools,Volatile_Schools,Low_Continuity_Schools,Wide_Enroll_Spread_Schools,Girls_Declining_Schools,Avg_Growth_pct,Avg_Continuity_8_9,Avg_Girls_Ratio,Block_Zone,Priority_Action_Flag
BALLIA,BAIRIA,1,0,0,0,0,0,0,0,2.46,570.34,1.0,YELLOW,False
BALLIA,BALLIA N.P.,2,0,2,0,1,0,0,1,-19.38,570.34,0.5,RED,True
BALLIA,BANSDEEH,2,0,0,1,1,0,0,0,61.52,570.34,0.796,YELLOW,False
BALLIA,BELAHARI,3,0,0,3,3,0,0,1,28.74,570.34,0.596,YELLOW,False
BALLIA,CHILKAHAR,2,0,0,0,1,0,0,0,10.28,570.34,0.594,YELLOW,False
BALLIA,DUBAHAR,1,0,0,0,0,0,0,0,20.79,570.34,1.0,YELLOW,False
BALLIA,GARWAR,3,1,0,2,3,0,0,1,35.02,570.34,0.522,YELLOW,False
BALLIA,MANIAR,1,1,0,0,1,0,0,0,123.4,570.34,0.362,GREEN,False
BALLIA,MURLI CHHAPRA,3,1,1,0,3,0,0,1,28.13,570.34,0.692,ORANGE,True
BALLIA,NAGARA,3,0,2,0,2,0,0,3,-47.09,570.34,0.418,RED,True
BALLIA,NAVANAGAR,2,1,0,1,1,0,0,0,-21.84,570.34,0.624,RED,True
BALLIA,PANDAH,2,0,1,1,2,0,0,2,-49.96,570.34,0.411,RED,True
BALLIA,RASARA,3,1,0,1,1,0,0,2,21.02,570.34,0.659,YELLOW,False
BALLIA,REVATI,2,0,0,1,1,0,0,2,-4.77,570.34,0.456,YELLOW,False
BALLIA,SEAR,3,1,0,1,2,0,0,1,14.56,570.34,0.555,YELLOW,False
BALLIA,SOHAWN,1,0,0,0,0,0,0,1,-23.75,570.34,1.0,RED,True
BALRAMPUR,BALRAMPUR,5,1,0,3,2,0,0,3,7.83,570.34,0.553,YELLOW,False
BALRAMPUR,GAINDAS BUZURG,2,1,0,1,1,0,0,0,78.61,570.34,0.422,YELLOW,False
BALRAMPUR,GAINSARI,3,0,0,2,0,0,0,1,-0.19,570.34,0.468,YELLOW,False
BALRAMPUR,HARAIYA SATGHARWA,1,1,0,0,0,0,0,0,11.94,570.34,0.453,GREEN,False
BALRAMPUR,PACHPERWA,1,0,0,1,1,0,0,0,34.62,570.34,0.6,YELLOW,False
BALRAMPUR,REHRA BAZAR,2,0,0,2,1,0,0,2,-7.17,570.34,0.553,ORANGE,True
BALRAMPUR,SHRIDUTTGANJ,4,0,1,3,2,0,0,2,-6.68,570.34,0.627,ORANGE,True
BALRAMPUR,TULSIPUR,3,1,0,1,1,0,0,1,15.49,570.34,0.507,YELLOW,False
BALRAMPUR,UTRAULA (MUN. CORP.),1,0,0,0,0,0,0,1,-14.05,570.34,1.0,RED,True
BANDA,BABERU,6,1,0,3,3,0,0,1,51.92,570.34,0.589,YELLOW,False
BANDA,BADOKHAR KHURD,6,0,1,4,1,0,0,2,-5.1,570.34,0.521,ORANGE,True
BANDA,BISANDA,6,1,1,4,3,0,0,1,4.49,570.34,0.655,YELLOW,False
BANDA,JASPURA,3,0,0,1,2,0,0,3,-12.16,570.34,0.488,RED,True
BANDA,KAMASIN,5,3,1,1,3,0,0,2,114.05,570.34,0.559,YELLOW,False
BANDA,MAHUWA,5,0,0,3,2,0,0,3,7.25,570.34,0.504,YELLOW,False
BANDA,NAGAR KSHETRA,2,0,1,1,0,0,0,1,-17.99,570.34,0.5,RED,True
BANDA,NARAINI,9,0,2,3,4,0,0,6,-9.86,570.34,0.541,ORANGE,True
BANDA,TINDWARI,6,1,1,2,1,0,0,4,6.87,570.34,0.523,YELLOW,False
BARABANKI,BANI KODAR,2,0,0,1,0,0,0,0,0.12,570.34,0.484,YELLOW,False
BARABANKI,BANKI,6,0,2,3,1,0,0,4,2.65,570.34,0.53,ORANGE,True
BARABANKI,BARABANKI CITY,2,0,0,0,0,0,0,0,-0.58,570.34,0.5,YELLOW,False
BARABANKI,DARIYA BAD,1,0,0,1,1,0,0,0,-12.12,570.34,0.647,RED,True
BARABANKI,DEWA,2,0,0,0,0,0,0,0,11.57,570.34,0.798,YELLOW,False
BARABANKI,FATEH PUR,3,1,0,0,0,0,0,1,5.81,570.34,0.654,YELLOW,False
BARABANKI,HAIDAR GARH,4,0,1,1,0,0,0,2,-4.87,570.34,0.66,YELLOW,False
BARABANKI,HARAKH,3,0,0,1,0,0,0,2,-10.85,570.34,0.846,RED,True
BARABANKI,MASAULI,3,0,0,1,2,0,0,3,-21.97,570.34,0.713,RED,True
BARABANKI,NINDURA,5,0,1,2,1,0,0,2,-10.44,570.34,0.524,RED,True
