District,Block,Total_Declining_Schools,Most_Common_Reason
ETAWAH,ETAWAH NAGAR CHETRA,2,Migration/Population Shift
ETAWAH,JASWANT NAGAR,1,Social/Gender Barrier
ETAWAH,MAHEWA,1,Higher Education Transition Issue
ETAWAH,SAIFAI,2,Social/Gender Barrier
FAIZABAD,AMANIGANJ,1,Higher Education Transition Issue
FAIZABAD,AYODHYA TOWN AREA,3,Undetermined
FAIZABAD,MASAUDHA,1,Low Enrollment at Board Class Boundary
FAIZABAD,MAYA,1,Infrastructure/External Shock
FAIZABAD,TARUN,1,Undetermined
FARRUKHABAD,NAG. KSH.FAR.BAD,2,Undetermined
FARRUKHABAD,NAWABGANJ,1,Higher Education Transition Issue
FARRUKHABAD,SHAMSABAD,1,Higher Education Transition Issue
FATEHPUR,AIRAYAN,1,Higher Education Transition Issue
FATEHPUR,AMAULI,1,Higher Education Transition Issue
FATEHPUR,ASHOTHAR,1,Higher Education Transition Issue
FATEHPUR,BAHUA,2,Economic/Child Labour
FATEHPUR,DEOMAI,1,Higher Education Transition Issue
FATEHPUR,KHAJUHA,2,Higher Education Transition Issue
FATEHPUR,MALAWAN,2,Social/Gender Barrier
FATEHPUR,NAGAR FATEHPUR,2,Undetermined
FIROZABAD,ARAWN,2,Social/Gender Barrier
FIROZABAD,EKA,1,Higher Education Transition Issue
FIROZABAD,FIROZABAD,1,Higher Education Transition Issue
FIROZABAD,MADANPUR,1,Higher Education Transition Issue
FIROZABAD,SHIKOHABAD,1,Migration/Population Shift
FIROZABAD,TUNDLA,2,Undetermined
GAUTAM BUDDHA NAGAR,DANKAUR,1,Low Enrollment at Board Class Boundary
GHAZIABAD,BHOJPUR,1,Higher Education Transition Issue
GHAZIABAD,GHAZIABAD (MUN.AREA),1,Migration/Population Shift
GHAZIABAD,MURAD NAGAR,1,Higher Education Transition Issue
GHAZIABAD,RAZAPUR,1,Social/Gender Barrier
GHAZIPUR,BIRNO,1,Higher Education Transition Issue
GHAZIPUR,MANIHARI,3,Higher Education Transition Issue
GHAZIPUR,NAGAR CHHETRA,1,Undetermined
GHAZIPUR,SADAT,1,Undetermined
GHAZIPUR,SAIDPUR,1,Social/Gender Barrier
GONDA,BELSAR,1,Higher Education Transition Issue
GONDA,GONDA(MUN. CORP.),1,Undetermined
GONDA,HALDHARMAU,1,Higher Education Transition Issue
GONDA,JHANJHRI,2,Higher Education Transition Issue
GONDA,TARABGANJ,1,Higher Education Transition Issue
GORAKHPUR,BAANSGAON,1,Undetermined
GORAKHPUR,BELGHAT,1,Higher Education Transition Issue
GORAKHPUR,CAMPIARGANJ,1,Higher Education Transition Issue
GORAKHPUR,CHARGANWA,2,Higher Education Transition Issue
GORAKHPUR,KAUDIRAM,1,Higher Education Transition Issue
GORAKHPUR,KHAJNI,1,Undetermined
GORAKHPUR,NAGAR KSHETRA,2,Undetermined
GORAKHPUR,PIPRAICH,1,Social/Gender Barrier
GORAKHPUR,PIPRAULI,1,Higher Education Transition Issue
GORAKHPUR,SAHJANWA,1,Social/Gender Barrier
GORAKHPUR,SARDARNAGAR,1,Undetermined
HAMIRPUR (U.P.),MAUDHA,1,Higher Education Transition Issue
HAMIRPUR (U.P.),NP HAMIRPUR,1,Undetermined
HAMIRPUR (U.P.),NP RATH,1,Undetermined
HAMIRPUR (U.P.),SARILA,2,Migration/Population Shift
HAMIRPUR (U.P.),SUMERPUR,1,Higher Education Transition Issue
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,2,Higher Education Transition Issue
HAPUR (PANCHSHEEL NAGAR),HAPUR,2,Higher Education Transition Issue
HAPUR (PANCHSHEEL NAGAR),SIMBHAWALI,1,Higher Education Transition Issue
HARDOI,AHIRORI,1,Higher Education Transition Issue
HARDOI,BHARAWAN,1,Higher Education Transition Issue
HARDOI,BHARKHANI,2,Higher Education Transition Issue
HARDOI,BILGRAM,1,Higher Education Transition Issue
HARDOI,HARIYAWAN,1,Social/Gender Barrier
HARDOI,KOTHAWAN,1,Higher Education Transition Issue
HARDOI,MALLAWA,1,Social/Gender Barrier
HARDOI,SANDI,1,Higher Education Transition Issue
HARDOI,SHAHABAD,1,Social/Gender Barrier
HARDOI,TANDIYAWA,2,Social/Gender Barrier
HARDOI,TN.AR.  PIHANI,1,Higher Education Transition Issue
HARDOI,TN.AR. HARDOI,1,Infrastructure/External Shock
HARDOI,TN.AR. SANDILA,1,Undetermined
HARDOI,TONDARPUR,2,Higher Education Transition Issue
HATHRAS,HASAYAN,1,Higher Education Transition Issue
HATHRAS,HATHRAS,2,Higher Education Transition Issue
HATHRAS,SADABAD,1,Higher Education Transition Issue
HATHRAS,SASNI,1,Higher Education Transition Issue
HATHRAS,SIKANDRA RAO,1,Higher Education Transition Issue
JALAUN,DAKOR,2,Social/Gender Barrier
JALAUN,KADAURA,3,Higher Education Transition Issue
JALAUN,MAHEVA,4,Undetermined
JALAUN,RAMPURA,1,Higher Education Transition Issue
JALAUN,T. A. ORAI,1,Undetermined
JAUNPUR,BADLA PUR,1,Social/Gender Barrier
JAUNPUR,JALALPUR,1,Higher Education Transition Issue
JAUNPUR,KARANJA KALA,1,Higher Education Transition Issue
JAUNPUR,MAHARAJ GANJ,1,Higher Education Transition Issue
JAUNPUR,MUFTI GANJ,1,Social/Gender Barrier
JAUNPUR,SHAH GANJ,1,Higher Education Transition Issue
JHANSI,BABINA,4,Social/Gender Barrier
JHANSI,BAMORE,1,Higher Education Transition Issue
JHANSI,BANGRA,3,Undetermined
JHANSI,BARAGAON,2,Higher Education Transition Issue
JHANSI,CHIRGAON,1,Higher Education Transition Issue
JHANSI,GURSARAI,2,Undetermined
JHANSI,JHANSI NAGARCHETRA,1,Undetermined
JHANSI,MAURANIPUR,3,Higher Education Transition Issue
JHANSI,MOTH,2,Migration/Population Shift
JYOTIBA PHULE NAGAR (AMROHA),AMROHA,1,Higher Education Transition Issue
JYOTIBA PHULE NAGAR (AMROHA),AMROHA CITY,1,Undetermined
JYOTIBA PHULE NAGAR (AMROHA),DHANORA,3,Higher Education Transition Issue
JYOTIBA PHULE NAGAR (AMROHA),GANGESHWARI,1,Higher Education Transition Issue
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR CITY,1,Undetermined
KANNAUJ,JALALABAD,1,Higher Education Transition Issue
KANNAUJ,SAURIKH,1,Higher Education Transition Issue
KANNAUJ,TAL GRAM,1,Higher Education Transition Issue
KANNAUJ,UMARDA,2,Migration/Population Shift
