District,Block,Boys_Only_Schools,Girls_Only_Schools,Boys_Dominated_Schools,Balanced_Schools,Avg_Girls_pct_2223,Avg_Girls_pct_2526,Block_Gender_Direction
BALRAMPUR,BALRAMPUR,0,0,0,3,54.3,55.3,Stable
BALRAMPUR,GAINDAS BUZURG,0,0,0,0,40.6,42.2,Stable
BALRAMPUR,GAINSARI,0,0,0,2,42.4,46.8,Improving
BALRAMPUR,HARAIYA SATGHARWA,0,0,0,1,38.8,45.3,Improving
BALRAMPUR,PACHPERWA,0,0,0,0,61.5,60.0,Stable
BALRAMPUR,REHRA BAZAR,0,0,0,0,61.4,55.3,Declining
BALRAMPUR,SHRIDUTTGANJ,0,0,0,0,56.8,62.7,Improving
BALRAMPUR,TULSIPUR,0,0,0,2,45.2,50.7,Improving
BALRAMPUR,UTRAULA (MUN. CORP.),0,1,0,0,100.0,100.0,Stable
BANDA,BABERU,0,1,0,4,63.8,58.9,Declining
BANDA,BADOKHAR KHURD,0,0,0,5,46.1,52.1,Improving
BANDA,BISANDA,0,2,0,2,60.6,65.5,Improving
BANDA,JASPURA,0,0,0,3,52.7,48.8,Declining
BANDA,KAMASIN,0,1,0,2,58.4,55.9,Declining
BANDA,MAHUWA,0,0,0,1,49.4,50.4,Stable
BANDA,NAGAR KSHETRA,1,1,0,0,50.0,50.0,Stable
BANDA,NARAINI,0,1,0,3,50.9,54.1,Improving
BANDA,TINDWARI,0,1,0,2,57.0,52.3,Declining
BARABANKI,BANI KODAR,0,0,0,2,45.0,48.3,Improving
BARABANKI,BANKI,0,0,0,4,53.2,53.0,Stable
BARABANKI,BARABANKI CITY,1,1,0,0,50.0,50.0,Stable
BARABANKI,DARIYA BAD,0,0,0,0,53.0,64.7,Improving
BARABANKI,DEWA,0,1,0,0,77.8,79.8,Stable
BARABANKI,FATEH PUR,0,1,0,2,67.3,65.4,Stable
BARABANKI,HAIDAR GARH,0,1,0,2,61.0,66.0,Improving
BARABANKI,HARAKH,0,2,0,1,83.0,84.6,Stable
BARABANKI,MASAULI,0,1,0,0,67.3,71.3,Improving
BARABANKI,NINDURA,0,0,0,3,51.5,52.4,Stable
BARABANKI,PURE DALAI,0,1,0,1,25.2,77.3,Improving
BARABANKI,SIDDHAOR,0,0,0,0,49.7,59.0,Improving
BARABANKI,SIRAULI GAUSPUR,0,0,0,1,35.7,45.5,Improving
BARABANKI,SURAT GANJ,0,0,0,1,41.2,47.0,Improving
BARABANKI,TRIVEDI GANJ,0,0,0,0,49.2,50.4,Stable
BAREILLY,ALAMPUR,0,0,0,0,43.1,55.8,Improving
BAREILLY,AONLA,0,1,0,0,100.0,100.0,Stable
BAREILLY,BAHERI,0,1,0,1,42.9,59.4,Improving
BAREILLY,BAHERI TOWN,0,1,0,0,100.0,100.0,Stable
BAREILLY,BAREILLY TOWN,1,1,0,0,50.0,49.9,Stable
BAREILLY,BHADPURA,0,0,0,3,54.9,48.3,Declining
BAREILLY,BHOJIPURA,0,0,0,1,38.4,45.0,Improving
BAREILLY,BHUTA,0,0,0,0,41.3,48.1,Improving
BAREILLY,FARIDPUR,0,0,0,3,49.6,47.3,Declining
BAREILLY,FATEHGANJ,0,0,0,0,44.0,59.8,Improving
BAREILLY,KYARA,0,0,0,4,37.8,49.5,Improving
BAREILLY,MAJHGAWAN,0,0,0,1,46.7,44.5,Declining
BAREILLY,MIRGANJ,0,0,0,1,62.5,51.6,Declining
BAREILLY,NAWABGANJ,0,2,0,5,52.8,64.7,Improving
BAREILLY,RAMNAGAR,0,0,0,1,49.6,57.8,Improving
BAREILLY,RICHHA(DAMKHODA),0,1,0,1,58.6,58.7,Stable
BAREILLY,SHERGARH,0,1,0,1,35.8,71.2,Improving
BAREILLY,VITHARI CHAINPUR,0,1,0,1,52.1,56.7,Improving
BASTI,BAHADURPUR,0,0,0,2,59.6,55.6,Declining
BASTI,BASTI SADAR,0,0,0,0,54.8,41.8,Declining
BASTI,DUBAULIA,0,0,0,1,66.7,55.0,Declining
BASTI,GAUR,0,1,0,0,68.2,68.1,Stable
BASTI,HARRIYA,0,0,0,1,54.6,52.8,Stable
BASTI,KAPTANGANJ,0,0,0,0,57.4,42.3,Declining
BASTI,KUDRAHA,0,0,0,0,62.5,66.7,Improving
BASTI,PARSHURAMPUR,0,0,0,1,54.3,54.9,Stable
BASTI,RUDHOLI,0,0,0,1,34.8,47.8,Improving
BASTI,SALTOVA GOPALPUR,0,0,0,0,56.1,58.6,Improving
BASTI,TOWN AREA,1,1,0,0,50.0,50.0,Stable
BASTI,VIKRAMJOT,0,1,0,0,100.0,100.0,Stable
BHADOI,ABHOLI,0,0,0,2,49.2,47.2,Stable
BHADOI,AURAI,0,2,0,3,64.2,64.3,Stable
BHADOI,BHADOHI,0,0,0,4,50.4,49.5,Stable
BHADOI,DEEGH,0,0,0,3,51.3,50.0,Stable
BHADOI,GYANPUR,0,0,1,1,39.3,49.4,Improving
BHADOI,SURIYAVAN,0,0,0,2,45.5,47.3,Stable
BIJNOR,AAKU(NEHTOR),0,1,0,2,72.9,66.1,Declining
BIJNOR,AFZALGRAH,0,2,1,2,60.9,62.1,Stable
BIJNOR,ALLHEPUR(DHAMPUR),0,2,0,3,52.7,70.1,Improving
BIJNOR,BIJNOR(NAGAR),1,1,0,0,50.0,50.0,Stable
BIJNOR,BURHANPUR(SEOHARA),0,0,0,0,34.8,42.4,Improving
BIJNOR,DHAMPUR(NAGAR),0,1,0,0,100.0,100.0,Stable
BIJNOR,HALDAUR,0,1,0,0,71.4,66.3,Declining
