District,Block,Boys_Only_Schools,Girls_Only_Schools,Boys_Dominated_Schools,Balanced_Schools,Avg_Girls_pct_2223,Avg_Girls_pct_2526,Block_Gender_Direction
SHAHJAHANPUR,KANTH,0,0,0,1,44.0,43.1,Stable
SHAHJAHANPUR,KATRA KHUDAGANJ,0,0,0,0,55.7,58.6,Improving
SHAHJAHANPUR,KHUTAR,0,0,0,1,50.7,56.0,Improving
SHAHJAHANPUR,MADNAPUR,0,0,0,1,38.2,41.2,Improving
SHAHJAHANPUR,MIRJAPUR,0,0,0,1,57.8,59.1,Stable
SHAHJAHANPUR,NIGOHI,0,0,0,1,49.3,46.4,Declining
SHAHJAHANPUR,PUWAYA,0,1,0,2,63.9,68.2,Improving
SHAHJAHANPUR,SINDHAULI,0,0,0,1,45.8,47.0,Stable
SHAHJAHANPUR,T.A.SHAHJAHANPUR,1,1,0,0,50.0,50.0,Stable
SHAHJAHANPUR,TILHAR,0,1,0,2,57.4,65.0,Improving
SHAMLI (PRABUDH NAGAR),KAIRANA,0,1,1,0,63.5,59.1,Declining
SHAMLI (PRABUDH NAGAR),KANDHLA,0,1,0,0,62.3,52.2,Declining
SHAMLI (PRABUDH NAGAR),KANDHLA [TOWN AREA],0,1,0,0,100.0,100.0,Stable
SHAMLI (PRABUDH NAGAR),OON,0,1,0,3,50.6,49.6,Stable
SHAMLI (PRABUDH NAGAR),SHAMLI,0,1,0,1,76.8,72.6,Declining
SHAMLI (PRABUDH NAGAR),THANABHAWAN,0,2,0,0,37.2,69.0,Improving
SHRAWASTI,GILAULA,0,1,0,0,67.1,71.3,Improving
SHRAWASTI,HARIHARPUR RANI,0,1,0,3,51.3,53.5,Improving
SHRAWASTI,IKAUNA,0,1,0,0,49.8,62.7,Improving
SHRAWASTI,JAMUNHA,0,0,0,1,51.3,46.5,Declining
SHRAWASTI,SIRSIYA,0,0,0,4,50.0,44.3,Declining
SIDDHARTHNAGAR,BANSI,0,1,0,0,74.3,79.0,Improving
SIDDHARTHNAGAR,BARHANI,0,0,0,1,28.2,56.1,Improving
SIDDHARTHNAGAR,BHANVAPUR,0,0,0,0,56.1,44.9,Declining
SIDDHARTHNAGAR,BIRDPUR,0,0,1,0,30.0,39.2,Improving
SIDDHARTHNAGAR,DUMARIYAGANJ,0,1,0,1,66.0,65.4,Stable
SIDDHARTHNAGAR,ITAVA,0,0,0,2,57.3,56.9,Stable
SIDDHARTHNAGAR,JOGIYA,0,0,0,0,54.9,73.3,Improving
SIDDHARTHNAGAR,KHESARAHA,0,0,0,1,46.8,55.0,Improving
SIDDHARTHNAGAR,KHUNIYANV,0,0,0,2,50.6,54.1,Improving
SIDDHARTHNAGAR,MITHAVAL,0,0,0,0,72.2,69.1,Declining
SIDDHARTHNAGAR,NAUGARH,0,1,0,2,56.6,63.7,Improving
SIDDHARTHNAGAR,SHOHARATGARH,0,0,0,0,34.1,69.8,Improving
SITAPUR,ALIYA,0,1,0,0,64.0,62.9,Stable
SITAPUR,BEHTA,0,0,0,2,49.4,52.7,Improving
SITAPUR,BISWAN,0,0,0,3,47.9,47.8,Stable
SITAPUR,GONDLAMAU,0,0,0,2,54.1,47.9,Declining
SITAPUR,HARGAON,0,0,0,1,42.6,44.4,Stable
SITAPUR,KASMANDA,0,1,0,1,79.1,77.3,Stable
SITAPUR,KHAIRABAD,0,0,0,2,64.8,49.3,Declining
SITAPUR,LAHARPUR,0,1,0,0,65.0,58.5,Declining
SITAPUR,MACHHAREHTA,0,0,0,2,45.4,50.6,Improving
SITAPUR,MAHMOODABAD,0,1,0,2,62.3,66.2,Improving
SITAPUR,MAHOLI,0,1,0,0,69.8,67.0,Declining
SITAPUR,MISRIKH,0,1,0,0,68.1,65.9,Declining
SITAPUR,N.K.BISWAN,0,1,0,0,100.0,99.5,Stable
SITAPUR,N.K.KHAIRABAD,0,1,0,0,100.0,100.0,Stable
SITAPUR,N.K.SITAPUR,1,1,0,0,50.0,50.0,Stable
SITAPUR,PAHALA,0,0,0,2,53.4,54.2,Stable
SITAPUR,PARSENDI,0,0,0,0,45.8,44.8,Stable
SITAPUR,PISAWAN,0,2,0,0,67.9,69.1,Stable
SITAPUR,RAMPURMATHURA,0,0,0,4,48.7,49.9,Stable
SITAPUR,REUSA,0,0,0,2,53.2,48.6,Declining
SITAPUR,SAKARAN,0,0,0,2,44.6,46.0,Stable
SITAPUR,SIDHAULI,0,0,0,3,45.8,51.8,Improving
SONBHADRA,BABHANI,0,0,0,2,59.4,59.3,Stable
SONBHADRA,CHATRA,0,0,0,1,47.0,59.1,Improving
SONBHADRA,CHOPAN,0,1,0,5,54.0,55.6,Stable
SONBHADRA,DUDHI,1,1,0,1,50.2,50.8,Stable
SONBHADRA,GHORAWAL,0,1,0,2,56.5,58.7,Improving
SONBHADRA,MYORPUR,0,0,0,4,54.6,50.4,Declining
SONBHADRA,NAGWA,0,0,0,5,55.2,56.6,Stable
SONBHADRA,ROBERTSGANJ,0,1,0,2,73.1,67.8,Declining
SULTANPUR,BALDIRAI,0,0,0,1,49.6,59.2,Improving
SULTANPUR,BHADAIYAN,0,1,1,1,47.8,50.6,Improving
SULTANPUR,DHANPATGANJ,0,0,0,1,60.8,51.6,Declining
SULTANPUR,DOSTPUR,0,0,0,1,54.4,41.4,Declining
SULTANPUR,DUBEYPUR,1,0,0,1,0.0,25.8,Improving
SULTANPUR,JAISINGHPUR,0,0,0,2,50.8,46.8,Declining
SULTANPUR,KADIPUR,0,1,0,0,100.0,100.0,Stable
SULTANPUR,KARAUNDI KALA,0,0,0,1,41.4,47.0,Improving
SULTANPUR,KUREBHAR,0,0,0,1,45.8,51.4,Improving
SULTANPUR,KURWAR,0,0,0,0,49.3,59.2,Improving
SULTANPUR,MOTIGARPUR,0,0,0,2,49.6,49.8,Stable
SULTANPUR,SULTANPUR CITY,1,1,0,0,50.0,50.0,Stable
UNNAO,ASOHA,0,0,0,0,42.4,57.1,Improving
UNNAO,AURAS,0,0,0,1,48.4,49.9,Stable
UNNAO,BAGARMAU,0,1,0,0,74.0,70.9,Declining
UNNAO,BICHHIYA,0,1,0,0,84.2,78.3,Declining
UNNAO,BIGHAPUR,0,0,0,1,34.2,61.2,Improving
UNNAO,CITI AREA,1,1,0,0,50.0,50.0,Stable
UNNAO,FATEHPUR 84,0,1,0,0,100.0,100.0,Stable
UNNAO,GANGMURADABAD,0,1,0,0,70.9,79.4,Improving
UNNAO,HASANGANJ,0,0,0,1,75.9,52.6,Declining
UNNAO,HILOULI,0,0,0,1,55.1,53.7,Stable
UNNAO,MIYAGANJ,0,0,0,2,50.3,49.1,Stable
UNNAO,NAVABGANJ,0,1,0,3,63.8,58.5,Declining
UNNAO,PURWA,0,1,0,1,80.3,77.0,Declining
UNNAO,SAFIPUR,0,1,0,0,80.0,72.4,Declining
UNNAO,SIKANDERPUR KARN,0,1,0,2,48.2,61.5,Improving
UNNAO,SIKANDERPUR SAROSI,0,0,0,1,23.1,45.3,Improving
UNNAO,SUMERPUR,0,0,0,1,70.7,50.0,Declining
VARANASI,ARAJILINES,1,1,0,4,55.7,54.3,Stable
VARANASI,BARAGAON,0,0,0,2,55.2,48.0,Declining
VARANASI,CHIRAIGAON,0,0,0,1,43.8,52.3,Improving
VARANASI,CHOLAPUR,0,1,0,0,77.2,78.2,Stable
VARANASI,HARHUA,0,0,0,2,40.4,49.2,Improving
VARANASI,KASHIVIDYAPEETH,0,1,0,1,79.8,76.0,Declining
VARANASI,NAGAR NIGAM,1,1,0,0,50.0,50.9,Stable
VARANASI,NAGAR PALIKA RAMNAGAR,1,1,0,0,50.0,50.0,Stable
VARANASI,PINDRA,0,0,0,0,48.7,51.2,Improving
VARANASI,SEWAPURI,0,0,0,1,53.9,60.9,Improving
