District,Block,Avg_Girls_Progression,Avg_C10_C11_pct,Collapsed_Enrollment_Schools,C1011_Gap_Schools,Strong_Enrollment_Schools,Block_Girls_Enrollment_Health
BHADOI,DEEGH,64.3,21.0,0,0,0,Strong
BHADOI,GYANPUR,3880000.0,3524.5,0,0,0,Strong
BHADOI,SURIYAVAN,0.0,0.0,0,0,0,Weak
BIJNOR,AAKU(NEHTOR),38.2,21.8,0,1,0,Moderate
BIJNOR,AFZALGRAH,914.2,67.8,0,0,2,Strong
BIJNOR,ALLHEPUR(DHAMPUR),80151.8,87.2,0,1,0,Strong
BIJNOR,BIJNOR(NAGAR),160.8,97.3,0,0,1,Strong
BIJNOR,BURHANPUR(SEOHARA),0.0,0.0,0,0,0,Weak
BIJNOR,DHAMPUR(NAGAR),212.0,97.5,0,0,0,Strong
BIJNOR,HALDAUR,79.3,39.3,0,0,1,Strong
BIJNOR,JALILPUR,313.8,88.5,0,0,1,Strong
BIJNOR,KIRATPUR,278.3,66.7,0,0,2,Strong
BIJNOR,KOTWALI,100.2,27.7,0,1,1,Strong
BIJNOR,MOHD.PUR DEVMAL,89.9,57.6,0,0,0,Strong
BIJNOR,NAJIBABAD,3275125.0,59.7,0,0,0,Strong
BIJNOR,NAJIBABAD(NAGAR),,,0,0,0,Moderate
BUDAUN,AASAFPUR,0.0,0.0,0,0,0,Weak
BUDAUN,AMBIYAPUR,0.0,0.0,0,0,0,Weak
BUDAUN,BISAULI,140.9,40.4,0,1,1,Strong
BUDAUN,BUDAUN CITY,596.1,120.2,0,0,1,Strong
BUDAUN,DATAGANJ,1950092.4,98.1,0,0,0,Strong
BUDAUN,DEHGANWAN,100.0,87.3,0,0,0,Strong
BUDAUN,JAGAT,46.7,10.0,0,1,0,Moderate
BUDAUN,MIAUN,0.0,0.0,0,0,0,Weak
BUDAUN,QADARCHOWK,31.7,42.4,1,0,0,Moderate
BUDAUN,SAHASWAN CITY,109.1,118.7,0,0,0,Strong
BUDAUN,SALARPUR,400114.3,78.6,0,0,1,Strong
BUDAUN,SAMRER,0.0,0.0,0,0,0,Weak
BUDAUN,UJHANI,400000.0,63.6,0,0,0,Strong
BUDAUN,USAWAN,0.0,0.0,0,0,0,Weak
BUDAUN,WAZEERGANJ,66.7,51.3,0,0,0,Strong
BULANDSHAHR,AGAUTA,0.0,0.0,0,0,0,Weak
BULANDSHAHR,ANOOPSHAHAR,58.3,28.6,0,0,0,Moderate
BULANDSHAHR,ARNIA,29.8,20.8,0,0,0,Moderate
BULANDSHAHR,B.B.NAGAR,130.9,76.8,0,0,1,Strong
