District,Block,High_Risk_Count,Medium_Risk_Count,Low_Risk_Count,Total_Schools,Risk_Density_pct,Block_Zone
BASTI,HARRIYA,0,0,2,2,0.0,YELLOW
BASTI,KAPTANGANJ,0,0,1,1,0.0,GREEN
BASTI,KUDRAHA,0,1,0,1,0.0,YELLOW
BASTI,PARSHURAMPUR,0,0,2,2,0.0,YELLOW
BASTI,RUDHOLI,0,0,1,1,0.0,YELLOW
BASTI,SALTOVA GOPALPUR,0,0,1,1,0.0,YELLOW
BASTI,TOWN AREA,1,1,0,2,50.0,RED
BASTI,VIKRAMJOT,0,0,1,1,0.0,YELLOW
BHADOI,ABHOLI,1,1,2,4,25.0,YELLOW
BHADOI,AURAI,1,0,9,10,10.0,YELLOW
BHADOI,BHADOHI,3,1,4,8,37.5,YELLOW
BHADOI,DEEGH,3,1,3,7,42.9,YELLOW
BHADOI,GYANPUR,0,1,4,5,0.0,YELLOW
BHADOI,SURIYAVAN,1,0,4,5,20.0,YELLOW
BIJNOR,AAKU(NEHTOR),0,2,1,3,0.0,YELLOW
BIJNOR,AFZALGRAH,3,3,1,7,42.9,ORANGE
BIJNOR,ALLHEPUR(DHAMPUR),2,1,2,5,40.0,ORANGE
BIJNOR,BIJNOR(NAGAR),1,1,0,2,50.0,RED
BIJNOR,BURHANPUR(SEOHARA),0,1,0,1,0.0,YELLOW
BIJNOR,DHAMPUR(NAGAR),0,0,1,1,0.0,YELLOW
BIJNOR,HALDAUR,1,2,0,3,33.3,ORANGE
BIJNOR,JALILPUR,1,0,0,1,99.9,RED
BIJNOR,KIRATPUR,2,0,1,3,66.6,RED
BIJNOR,KOTWALI,4,1,0,5,80.0,RED
BIJNOR,MOHD.PUR DEVMAL,0,1,2,3,0.0,YELLOW
BIJNOR,NAJIBABAD,1,2,1,4,25.0,RED
BIJNOR,NAJIBABAD(NAGAR),1,0,0,1,99.9,RED
BUDAUN,AASAFPUR,0,0,1,1,0.0,YELLOW
BUDAUN,AMBIYAPUR,1,0,0,1,99.9,RED
BUDAUN,BISAULI,2,2,0,4,50.0,RED
BUDAUN,BUDAUN CITY,1,0,1,2,50.0,RED
BUDAUN,DATAGANJ,0,0,2,2,0.0,GREEN
BUDAUN,DEHGANWAN,0,1,2,3,0.0,YELLOW
BUDAUN,JAGAT,0,1,4,5,0.0,YELLOW
BUDAUN,MIAUN,0,1,0,1,0.0,ORANGE
BUDAUN,QADARCHOWK,0,2,3,5,0.0,YELLOW
BUDAUN,SAHASWAN CITY,0,1,0,1,0.0,GREEN
BUDAUN,SALARPUR,0,2,3,5,0.0,YELLOW
BUDAUN,SAMRER,1,1,0,2,50.0,RED
BUDAUN,UJHANI,2,0,1,3,66.6,RED
BUDAUN,USAWAN,0,1,0,1,0.0,RED
BUDAUN,WAZEERGANJ,0,1,2,3,0.0,YELLOW
BULANDSHAHR,AGAUTA,0,1,0,1,0.0,GREEN
BULANDSHAHR,ANOOPSHAHAR,0,1,2,3,0.0,YELLOW
BULANDSHAHR,ARNIA,3,1,0,4,75.0,GREEN
BULANDSHAHR,B.B.NAGAR,0,1,1,2,0.0,YELLOW
BULANDSHAHR,BULANDSHAHR,0,3,3,6,0.0,YELLOW
BULANDSHAHR,BULANDSHAR NAGAR,0,0,2,2,0.0,YELLOW
BULANDSHAHR,DANPUR,0,4,1,5,0.0,YELLOW
BULANDSHAHR,DEBAI,1,3,2,6,16.7,YELLOW
BULANDSHAHR,GULAOTI,0,1,1,2,0.0,YELLOW
BULANDSHAHR,JAHAGIRABAD,0,2,1,3,0.0,YELLOW
BULANDSHAHR,KHURJA,0,1,1,2,0.0,GREEN
BULANDSHAHR,LAKHAWATI,0,1,1,2,0.0,YELLOW
BULANDSHAHR,PAHASU,0,1,3,4,0.0,YELLOW
BULANDSHAHR,SHIKARPUR,1,2,0,3,33.3,ORANGE
BULANDSHAHR,SIKANDRABAD,0,2,0,2,0.0,YELLOW
BULANDSHAHR,SYNA,0,1,0,1,0.0,YELLOW
BULANDSHAHR,UCHAGAON,1,1,1,3,33.3,YELLOW
CHANDAULI,BARAHANI,0,4,1,5,0.0,YELLOW
CHANDAULI,CHAHANIYA,0,1,0,1,0.0,GREEN
CHANDAULI,CHAKIYA,1,1,2,4,25.0,YELLOW
CHANDAULI,CHANDAULI,0,2,2,4,0.0,GREEN
CHANDAULI,NAUGARH,2,3,2,7,28.6,YELLOW
CHANDAULI,SAKALDIHA,0,0,1,1,0.0,YELLOW
CHANDAULI,SHAHABGANJ,1,2,1,4,25.0,YELLOW
CHITRAKOOT,CHITRAKOOT,1,1,3,5,20.0,YELLOW
CHITRAKOOT,CHITRAKOOT (URBAN),0,0,1,1,0.0,YELLOW
CHITRAKOOT,MANIKPUR,1,3,2,6,16.7,YELLOW
CHITRAKOOT,MAU,1,1,4,6,16.7,YELLOW
CHITRAKOOT,PAHADI,0,5,4,9,0.0,YELLOW
CHITRAKOOT,RAM NAGAR,0,0,2,2,0.0,ORANGE
DEORIA,BARAHAJ,1,1,1,3,33.3,ORANGE
DEORIA,BHATNI,1,0,0,1,99.9,RED
DEORIA,BHATPAR RANI,0,0,1,1,0.0,YELLOW
DEORIA,BHLUANI,0,0,1,1,0.0,GREEN
DEORIA,DEORIA NAGAR KSHETRA,0,0,2,2,0.0,YELLOW
DEORIA,DESAHI DEORIA,0,0,1,1,0.0,GREEN
DEORIA,GAURI BAZAR,1,2,0,3,33.3,YELLOW
DEORIA,LAR,1,0,0,1,99.9,YELLOW
DEORIA,PATTHRDEVA,2,0,0,2,100.0,RED
DEORIA,RUDRAPUR,1,2,1,4,25.0,YELLOW
DEORIA,SALIMPUR,1,0,0,1,99.9,RED
ETAH,ALIGANJ,0,2,1,3,0.0,YELLOW
ETAH,AWAGARH,1,1,1,3,33.3,YELLOW
ETAH,ETAH (URBAN),1,0,1,2,50.0,RED
ETAH,JAITHARA,1,2,0,3,33.3,YELLOW
ETAH,JALESAR,1,0,0,1,99.9,RED
ETAH,JALESAR (URBAN),0,1,0,1,0.0,RED
ETAH,MARHARA,0,2,0,2,0.0,YELLOW
ETAH,NIDHAULI KALAN,0,3,2,5,0.0,YELLOW
ETAH,SAKEET,0,1,1,2,0.0,YELLOW
ETAH,SHEETAL PUR,0,2,1,3,0.0,YELLOW
ETAWAH,BARHPURA,1,0,0,1,99.9,RED
ETAWAH,BHARTHANA,0,0,1,1,0.0,YELLOW
ETAWAH,CHAKARNAGAR,1,2,3,6,16.7,YELLOW
ETAWAH,ETAWAH NAGAR CHETRA,1,1,0,2,50.0,RED
ETAWAH,JASWANT NAGAR,0,3,2,5,0.0,YELLOW
ETAWAH,MAHEWA,0,1,0,1,0.0,ORANGE
ETAWAH,SAIFAI,0,1,3,4,0.0,YELLOW
ETAWAH,TAKHA,0,1,0,1,0.0,YELLOW
FAIZABAD,AMANIGANJ,1,1,1,3,33.3,YELLOW
FAIZABAD,AYODHYA TOWN AREA,3,0,0,3,100.0,RED
FAIZABAD,BIKAPUR,0,1,1,2,0.0,YELLOW
FAIZABAD,MASAUDHA,1,0,0,1,99.9,RED
FAIZABAD,MAWAI,0,1,1,2,0.0,YELLOW
FAIZABAD,MAYA,1,2,1,4,25.0,YELLOW
FAIZABAD,MILKIPUR,0,1,3,4,0.0,GREEN
FAIZABAD,PURA,1,0,1,2,50.0,YELLOW
FAIZABAD,RUDAULI,0,2,2,4,0.0,YELLOW
FAIZABAD,SOHAWAL,0,1,1,2,0.0,YELLOW
FAIZABAD,TARUN,1,0,0,1,99.9,RED
FARRUKHABAD,KAMALGANJ,0,1,0,1,0.0,YELLOW
FARRUKHABAD,MOHAMDABAD,0,1,0,1,0.0,YELLOW
FARRUKHABAD,NAG. KSH.FAR.BAD,2,0,1,3,66.6,RED
FARRUKHABAD,NAWABGANJ,0,0,1,1,0.0,ORANGE
