District,Block,Ghost_Schools,Micro_Schools,Very_Small_Schools,Critical_Closure_Risk,High_Closure_Risk
BIJNOR,KIRATPUR,0,0,1,1,0
BIJNOR,KOTWALI,0,0,1,0,2
BIJNOR,MOHD.PUR DEVMAL,0,0,0,0,0
BIJNOR,NAJIBABAD,0,0,1,0,1
BIJNOR,NAJIBABAD(NAGAR),0,0,0,0,0
BUDAUN,AASAFPUR,0,0,0,0,0
BUDAUN,AMBIYAPUR,0,0,0,0,1
BUDAUN,BISAULI,0,0,1,0,1
BUDAUN,BUDAUN CITY,0,0,0,0,0
BUDAUN,DATAGANJ,0,0,0,0,0
BUDAUN,DEHGANWAN,0,0,0,0,0
BUDAUN,JAGAT,0,0,0,0,0
BUDAUN,MIAUN,0,0,0,0,0
BUDAUN,QADARCHOWK,0,0,0,0,0
BUDAUN,SAHASWAN CITY,0,0,0,0,0
BUDAUN,SALARPUR,0,0,0,0,0
BUDAUN,SAMRER,0,0,0,0,1
BUDAUN,UJHANI,0,0,0,0,1
BUDAUN,USAWAN,0,0,0,0,0
BUDAUN,WAZEERGANJ,0,0,1,0,0
BULANDSHAHR,AGAUTA,0,0,1,0,0
BULANDSHAHR,ANOOPSHAHAR,0,0,0,0,0
BULANDSHAHR,ARNIA,0,0,1,0,1
BULANDSHAHR,B.B.NAGAR,0,0,0,0,0
BULANDSHAHR,BULANDSHAHR,0,0,0,0,0
BULANDSHAHR,BULANDSHAR NAGAR,0,0,0,0,0
BULANDSHAHR,DANPUR,0,0,2,0,0
BULANDSHAHR,DEBAI,0,0,2,0,1
BULANDSHAHR,GULAOTI,0,0,0,0,0
BULANDSHAHR,JAHAGIRABAD,0,0,1,0,0
BULANDSHAHR,KHURJA,0,0,0,0,0
BULANDSHAHR,LAKHAWATI,0,0,0,0,0
BULANDSHAHR,PAHASU,0,1,0,0,0
BULANDSHAHR,SHIKARPUR,0,0,0,0,0
BULANDSHAHR,SIKANDRABAD,0,0,0,0,0
BULANDSHAHR,SYNA,0,0,0,0,0
BULANDSHAHR,UCHAGAON,0,1,0,0,1
CHANDAULI,BARAHANI,0,0,2,0,0
CHANDAULI,CHAHANIYA,0,0,0,0,0
CHANDAULI,CHAKIYA,0,0,1,0,0
CHANDAULI,CHANDAULI,0,0,0,0,0
CHANDAULI,NAUGARH,0,0,2,0,0
CHANDAULI,SAKALDIHA,0,0,0,0,0
CHANDAULI,SHAHABGANJ,0,0,1,0,1
CHITRAKOOT,CHITRAKOOT,0,0,0,0,0
CHITRAKOOT,CHITRAKOOT (URBAN),0,0,0,0,0
CHITRAKOOT,MANIKPUR,0,0,1,0,1
CHITRAKOOT,MAU,0,0,0,0,0
CHITRAKOOT,PAHADI,0,0,1,0,0
CHITRAKOOT,RAM NAGAR,0,0,0,0,0
DEORIA,BARAHAJ,0,0,0,0,1
DEORIA,BHATNI,0,1,0,0,1
DEORIA,BHATPAR RANI,0,0,0,0,0
DEORIA,BHLUANI,0,0,0,0,0
DEORIA,DEORIA NAGAR KSHETRA,0,0,0,0,0
DEORIA,DESAHI DEORIA,0,0,0,0,0
DEORIA,GAURI BAZAR,0,0,0,0,0
DEORIA,LAR,0,1,0,0,1
DEORIA,PATTHRDEVA,0,1,1,2,0
DEORIA,RUDRAPUR,0,1,0,0,1
DEORIA,SALIMPUR,0,1,0,0,1
ETAH,ALIGANJ,0,0,1,0,0
ETAH,AWAGARH,0,0,1,0,0
ETAH,ETAH (URBAN),0,0,0,0,0
ETAH,JAITHARA,0,1,0,0,1
ETAH,JALESAR,0,0,0,0,0
ETAH,JALESAR (URBAN),0,0,0,0,0
ETAH,MARHARA,0,0,0,0,0
ETAH,NIDHAULI KALAN,0,0,0,0,0
ETAH,SAKEET,0,0,0,0,0
