District,Block,Cluster_Type,Total_Schools_In_Block,Declining_Schools,Growing_Schools,Recovery_Schools
BAREILLY,RICHHA(DAMKHODA),Growth Pocket,5,0,3,1
BAREILLY,SHERGARH,Mixed Block,4,0,2,1
BAREILLY,VITHARI CHAINPUR,Mixed Block,4,0,2,1
BASTI,BAHADURPUR,Mixed Block,4,0,1,1
BASTI,BASTI SADAR,Mixed Block,1,0,0,1
BASTI,DUBAULIA,Recovery Cluster,3,0,0,3
BASTI,GAUR,Mixed Block,4,1,1,1
BASTI,HARRIYA,Mixed Block,2,0,0,2
BASTI,KAPTANGANJ,Isolated Growth,1,0,1,0
BASTI,KUDRAHA,Mixed Block,1,0,0,0
BASTI,PARSHURAMPUR,Mixed Block,2,0,0,2
BASTI,RUDHOLI,Mixed Block,1,0,0,1
BASTI,SALTOVA GOPALPUR,Mixed Block,1,0,0,0
BASTI,TOWN AREA,Mixed Block,2,1,0,0
BASTI,VIKRAMJOT,Mixed Block,1,0,0,1
BHADOI,ABHOLI,Mixed Block,4,0,1,2
BHADOI,AURAI,Growth Pocket,10,0,6,1
BHADOI,BHADOHI,Mixed Block,8,1,2,2
BHADOI,DEEGH,Growth Pocket,7,0,3,2
BHADOI,GYANPUR,Growth Pocket,5,0,3,1
BHADOI,SURIYAVAN,Mixed Block,5,0,1,2
BIJNOR,AAKU(NEHTOR),Mixed Block,3,0,1,2
BIJNOR,AFZALGRAH,Decline Cluster,7,3,0,3
BIJNOR,ALLHEPUR(DHAMPUR),Isolated Growth,5,2,1,0
BIJNOR,BIJNOR(NAGAR),Mixed Block,2,2,0,0
BIJNOR,BURHANPUR(SEOHARA),Mixed Block,1,0,0,1
BIJNOR,DHAMPUR(NAGAR),Mixed Block,1,0,0,0
BIJNOR,HALDAUR,Mixed Block,3,1,0,2
BIJNOR,JALILPUR,Isolated Decline,1,1,0,0
BIJNOR,KIRATPUR,Mixed Block,3,2,0,0
BIJNOR,KOTWALI,Decline Cluster,5,3,0,1
BIJNOR,MOHD.PUR DEVMAL,Mixed Block,3,0,1,0
BIJNOR,NAJIBABAD,Mixed Block,4,0,1,0
BIJNOR,NAJIBABAD(NAGAR),Isolated Decline,1,1,0,0
BUDAUN,AASAFPUR,Mixed Block,1,0,0,1
BUDAUN,AMBIYAPUR,Isolated Decline,1,1,0,0
BUDAUN,BISAULI,Decline Cluster,4,3,0,1
BUDAUN,BUDAUN CITY,Mixed Block,2,1,0,0
BUDAUN,DATAGANJ,Mixed Block,2,0,2,0
BUDAUN,DEHGANWAN,Mixed Block,3,0,1,0
BUDAUN,JAGAT,Mixed Block,5,0,0,1
BUDAUN,MIAUN,Mixed Block,1,0,0,1
BUDAUN,QADARCHOWK,Growth Pocket,5,0,3,1
BUDAUN,SAHASWAN CITY,Isolated Growth,1,0,1,0
BUDAUN,SALARPUR,Growth Pocket,5,0,3,0
BUDAUN,SAMRER,Mixed Block,2,1,0,1
BUDAUN,UJHANI,Isolated Decline,3,1,1,0
BUDAUN,USAWAN,Mixed Block,1,0,0,1
BUDAUN,WAZEERGANJ,Mixed Block,3,0,0,1
BULANDSHAHR,AGAUTA,Isolated Growth,1,0,1,0
BULANDSHAHR,ANOOPSHAHAR,Mixed Block,3,0,0,2
BULANDSHAHR,ARNIA,Growth Pocket,4,0,3,0
BULANDSHAHR,B.B.NAGAR,Mixed Block,2,0,0,1
BULANDSHAHR,BULANDSHAHR,Recovery Cluster,6,0,0,3
BULANDSHAHR,BULANDSHAR NAGAR,Mixed Block,2,0,0,1
BULANDSHAHR,DANPUR,Mixed Block,5,0,2,2
BULANDSHAHR,DEBAI,Recovery Cluster,6,0,2,3
BULANDSHAHR,GULAOTI,Mixed Block,2,0,0,0
BULANDSHAHR,JAHAGIRABAD,Mixed Block,3,0,1,2
BULANDSHAHR,KHURJA,Mixed Block,2,0,2,0
BULANDSHAHR,LAKHAWATI,Mixed Block,2,0,1,0
BULANDSHAHR,PAHASU,Mixed Block,4,0,2,1
BULANDSHAHR,SHIKARPUR,Isolated Decline,3,1,1,0
BULANDSHAHR,SIKANDRABAD,Mixed Block,2,0,1,0
BULANDSHAHR,SYNA,Mixed Block,1,0,0,0
BULANDSHAHR,UCHAGAON,Mixed Block,3,0,1,1
CHANDAULI,BARAHANI,Mixed Block,5,0,2,2
CHANDAULI,CHAHANIYA,Isolated Growth,1,0,1,0
CHANDAULI,CHAKIYA,Mixed Block,4,0,2,1
CHANDAULI,CHANDAULI,Growth Pocket,4,0,4,0
CHANDAULI,NAUGARH,Recovery Cluster,7,1,2,3
CHANDAULI,SAKALDIHA,Mixed Block,1,0,0,0
CHANDAULI,SHAHABGANJ,Mixed Block,4,0,1,0
CHITRAKOOT,CHITRAKOOT,Recovery Cluster,5,0,1,3
CHITRAKOOT,CHITRAKOOT (URBAN),Mixed Block,1,0,0,0
CHITRAKOOT,MANIKPUR,Mixed Block,6,1,1,1
CHITRAKOOT,MAU,Recovery Cluster,6,0,0,3
CHITRAKOOT,PAHADI,Recovery Cluster,9,0,1,4
CHITRAKOOT,RAM NAGAR,Mixed Block,2,0,0,1
DEORIA,BARAHAJ,Isolated Decline,3,1,1,0
DEORIA,BHATNI,Mixed Block,1,0,0,0
DEORIA,BHATPAR RANI,Mixed Block,1,0,0,0
DEORIA,BHLUANI,Isolated Growth,1,0,1,0
DEORIA,DEORIA NAGAR KSHETRA,Mixed Block,2,0,0,2
DEORIA,DESAHI DEORIA,Isolated Growth,1,0,1,0
DEORIA,GAURI BAZAR,Mixed Block,3,0,1,2
DEORIA,LAR,Mixed Block,1,0,0,1
DEORIA,PATTHRDEVA,Mixed Block,2,2,0,0
DEORIA,RUDRAPUR,Mixed Block,4,0,1,0
DEORIA,SALIMPUR,Mixed Block,1,0,0,0
ETAH,ALIGANJ,Mixed Block,3,0,1,1
ETAH,AWAGARH,Mixed Block,3,0,1,1
ETAH,ETAH (URBAN),Mixed Block,2,1,0,0
ETAH,JAITHARA,Mixed Block,3,0,1,1
ETAH,JALESAR,Mixed Block,1,0,0,0
ETAH,JALESAR (URBAN),Mixed Block,1,0,0,0
ETAH,MARHARA,Mixed Block,2,0,0,2
ETAH,NIDHAULI KALAN,Recovery Cluster,5,0,1,3
ETAH,SAKEET,Mixed Block,2,0,1,1
ETAH,SHEETAL PUR,Mixed Block,3,0,0,2
ETAWAH,BARHPURA,Isolated Decline,1,1,0,0
ETAWAH,BHARTHANA,Mixed Block,1,0,0,0
