District,Block,Avg_Continuation_Ratio,Senior_Dropout_Schools,Senior_Collapse_Schools,Both_Growing_Schools
DEORIA,BHATNI,0.0,0,1,0
DEORIA,BHATPAR RANI,1.9,0,1,0
DEORIA,BHLUANI,117.5,0,0,0
DEORIA,DEORIA NAGAR KSHETRA,107.6,0,0,1
DEORIA,DESAHI DEORIA,147.1,0,0,1
DEORIA,GAURI BAZAR,41.7,0,2,0
DEORIA,LAR,0.0,0,1,0
DEORIA,PATTHRDEVA,0.0,0,2,0
DEORIA,RUDRAPUR,24.0,0,3,0
DEORIA,SALIMPUR,10.0,0,1,0
ETAH,ALIGANJ,41.2,0,1,1
ETAH,AWAGARH,17.2,0,2,1
ETAH,ETAH (URBAN),134.2,0,0,0
ETAH,JAITHARA,47.8,0,1,0
ETAH,JALESAR,0.0,0,1,0
ETAH,JALESAR (URBAN),85.0,0,0,0
ETAH,MARHARA,0.0,0,2,0
ETAH,NIDHAULI KALAN,53.3,0,2,0
ETAH,SAKEET,24.0,0,1,1
ETAH,SHEETAL PUR,40.3,0,1,2
ETAWAH,BARHPURA,108.0,0,0,0
ETAWAH,BHARTHANA,0.0,0,1,0
ETAWAH,CHAKARNAGAR,37.7,0,3,1
ETAWAH,ETAWAH NAGAR CHETRA,138.6,0,0,0
ETAWAH,JASWANT NAGAR,34.5,0,3,0
ETAWAH,MAHEWA,0.0,0,1,0
ETAWAH,SAIFAI,89.1,0,2,0
ETAWAH,TAKHA,0.0,0,1,0
FAIZABAD,AMANIGANJ,25.1,0,2,1
FAIZABAD,AYODHYA TOWN AREA,81.8,0,0,0
FAIZABAD,BIKAPUR,25.0,1,1,0
FAIZABAD,MASAUDHA,86.0,0,0,0
FAIZABAD,MAWAI,20.1,0,1,0
FAIZABAD,MAYA,23.7,0,3,0
FAIZABAD,MILKIPUR,51.1,0,2,1
FAIZABAD,PURA,31.6,0,1,0
FAIZABAD,RUDAULI,17.4,0,3,1
FAIZABAD,SOHAWAL,33.6,0,1,0
FAIZABAD,TARUN,359.9,0,0,0
FARRUKHABAD,KAMALGANJ,0.0,0,1,0
FARRUKHABAD,MOHAMDABAD,0.0,0,1,0
FARRUKHABAD,NAG. KSH.FAR.BAD,73.2,0,0,0
FARRUKHABAD,NAWABGANJ,50.9,0,0,0
FARRUKHABAD,RAJE PUR,47.1,0,1,1
FARRUKHABAD,SHAMSABAD,49.7,0,0,0
