District,Block,Total_Schools,Decline_Schools,Low_Continuity_Schools,Girls_Declining_Schools,Avg_Growth_pct,Block_Zone,Priority_Action_Flag
GORAKHPUR,NAGAR KSHETRA,2,2,0,1,-28.12,RED,True
MORADABAD,MORADABAD CITY BOYS,1,0,0,1,-28.39,RED,True
HAMIRPUR (U.P.),NP RATH,1,1,0,1,-28.71,RED,True
GHAZIPUR,MANIHARI,3,1,0,3,-28.94,RED,True
BUDAUN,UJHANI,3,1,0,1,-29.44,RED,True
AZAMGARH,PAWAE,2,0,0,1,-29.78,RED,True
MUZAFFARNAGAR,SADAR [TOWN AREA],1,0,0,0,-30.1,RED,True
BIJNOR,NAJIBABAD,4,0,0,2,-31.18,RED,True
FIROZABAD,SHIKOHABAD,1,1,0,1,-31.36,RED,True
UNNAO,SUMERPUR,1,0,0,1,-31.71,RED,True
HARDOI,TN.AR.  PIHANI,1,1,0,1,-32.07,RED,True
BIJNOR,KIRATPUR,3,2,0,3,-32.82,RED,True
JAUNPUR,JALALPUR,1,0,0,1,-32.97,RED,True
MAHARAJGANJ,DHANI,1,0,0,0,-33.62,RED,True
AZAMGARH,ATRAULIYA,1,0,0,1,-35.04,RED,True
SIDDHARTHNAGAR,BIRDPUR,3,0,0,2,-35.4,RED,True
KANPUR NAGAR,SARSAUL,2,1,0,2,-37.25,RED,True
AMETHI - CSM NAGAR,AMETHI,2,1,0,2,-37.46,RED,True
GORAKHPUR,PIPRAULI,1,1,0,1,-40.38,RED,True
KANPUR NAGAR,CHAUBEPUR,1,1,0,1,-40.64,RED,True
BALLIA,NAGARA,3,2,0,3,-47.09,RED,True
AZAMGARH,THEKMA,1,1,0,1,-47.69,RED,True
DEORIA,PATTHRDEVA,2,2,0,2,-49.66,RED,True
BALLIA,PANDAH,2,1,0,2,-49.96,RED,True
SIDDHARTHNAGAR,JOGIYA,1,1,0,1,-54.91,RED,True
AZAMGARH,HARRAIYA,3,2,0,3,-57.28,RED,True
FAIZABAD,TARUN,1,1,0,1,-62.9,RED,True
MAINPURI,BARNAHAL,1,1,0,1,-70.59,RED,True
RAE BARELI,NAGAR SHETRA (RBL),3,2,0,2,-9.81,RED,True
