District,Block,School_ID,School_Name,Total_2223,Total_2526,Overall_Growth_pct,Risk_Score,Risk_Level,Decline_flag,Severe_Decline_flag,Low_Continuity_flag,Wide_Enroll_Spread_flag,Low_Enrollment_flag,Volatile_flag,Girls_Decline_flag,Gender_Imbalance_flag,Weak_Continuity_flag,Small_School_flag
LUCKNOW,GOSHAI GANJ,9270611604,GOVT. HIGH SCHOOL SURIAMAU GOSAIGANJ,123.0,84,-31.71,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
SULTANPUR,JAISINGHPUR,9491207604,GHS PEEDHI,127.0,93,-26.77,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
GHAZIPUR,MANIHARI,9650211707,GOVT GIRLS. U.M.V. BUZURGA,44.0,20,-54.55,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes
AMETHI - CSM NAGAR,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,70.0,53,-24.29,9,HIGH RISK,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
ALIGARH,JAWAN,9120610205,ABHINAY VIDHYALAY CHHLESAR,35.0,20,-42.86,9,HIGH RISK,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
RAMPUR,BILASPUR,9050209107,"GOVT INTER COLLEGE MANUNAGAR, BILASPUR",56.0,45,-19.64,9,HIGH RISK,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes
MEERUT,PARIKSHIT GARH,9071107102,GOVT. HIGH SCHOOL T. JANUBI,106.0,87,-17.92,9,HIGH RISK,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
RAE BARELI,HARCHANDPUR,9280302307,"G.G. HIGHER SECONDARY SCHOOL, PASCHIM GAON",73.0,53,-27.4,9,HIGH RISK,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
LALITPUR,BIRDHA,9370208003,GHS KAKORIYA,103.0,76,-26.21,9,HIGH RISK,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
JAUNPUR,KARANJA KALA,9640406208,GOVT. H.S. AARA,89.0,68,-23.6,9,HIGH RISK,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
GONDA,JHANJHRI,9530914403,G.H.S. DAULATPUR,78.0,53,-32.05,9,HIGH RISK,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No
BARABANKI,HAIDAR GARH,9460608703,RAJKIYA U.M.V JARMAU HAIDARGARH,128.0,95,-25.78,9,HIGH RISK,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
DEORIA,SALIMPUR,9600405612,GOVT. G. INTER COLLEGE,14.0,11,-21.43,9,HIGH RISK,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
DEORIA,BARAHAJ,9601703905,RAJKIY U.M.V.LABAKANI GANGA,119.0,73,-38.66,9,HIGH RISK,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No
BUDAUN,AMBIYAPUR,9191303203,"GOVT. HIGH SCHOOL, SATAITI",114.0,94,-17.54,9,HIGH RISK,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
HARDOI,TONDARPUR,9251001111,RAJKIYA HSS SIROMAN NAGAR,50.0,33,-34.0,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
BASTI,GAUR,9550518707,GOVT HR SEC VIDYALAY MEHDIYA KHADAK BAHADUR SINGH,65.0,38,-41.54,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
HAPUR (PANCHSHEEL NAGAR),SIMBHAWALI,9750705303,GOVERENMENT INTER COLLEGE MURADPUR HAPUR,201.0,101,-49.75,8,HIGH RISK,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR,9064100084,RAJKIYA MODAL INTER COLLEGE TUGHLAKABAD,,7,,8,HIGH RISK,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes
MEERUT,ROHTA,9070501502,GOVT. H S BADAM,59.0,33,-44.07,8,HIGH RISK,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
