District,Block,School_ID,School_Name,Total_2223,Total_2526,Overall_Growth_pct,YoY_Latest,Block_Zone,Girls_Ratio_Improving,Upper_Class_Growing,Bright_Spot_Flag,Potential_Score,Potential_Tag,Investment_Worthy
MEERUT,RAJPURA,9070200208,GOVERNMENT GIRLS INTER COLLEGE,32,162,406.25,48.62,YELLOW,False,True,False,3,Medium Potential,True
MEERUT,SARDHANA,9070603107,GOVT. INTER COLLEGE MAHADEV,126,141,11.9,14.63,YELLOW,False,True,False,3,Medium Potential,True
SULTANPUR,BALDIRAI,9492601004,GHS ISAULI,66,88,33.33,66.04,YELLOW,True,False,False,3,Medium Potential,True
MIRZAPUR,CHHANBEY,9690510506,GOVT. HIGH SCHOOL BABURA,88,102,15.91,6.25,YELLOW,True,False,False,3,Medium Potential,True
MIRZAPUR,CHHANBEY,9690511205,GOVT. HIGH SCHOOL BIROHI,92,156,69.57,19.08,YELLOW,True,False,False,3,Medium Potential,True
MIRZAPUR,CHHANBEY,9690503904,GOVT. HIGH SCHOOL JASA BAGHAURA,35,58,65.71,48.72,YELLOW,True,False,False,3,Medium Potential,True
MIRZAPUR,CHHANBEY,9690509703,GOVT. HIGH SCHOOL NADINI,25,61,144.0,64.86,YELLOW,True,False,False,3,Medium Potential,True
MIRZAPUR,HALIA,9690211917,GOVT. HIGH SCHOOL HALIA,56,122,117.86,23.23,YELLOW,True,False,False,3,Medium Potential,True
MIRZAPUR,HALIA,9690203008,GOVT. HIGH SCHOOL PATEHRA,20,31,55.0,40.91,YELLOW,True,False,False,3,Medium Potential,True
MIRZAPUR,HALIA,9690201403,GOVT. U.M.V. PIPRA,166,175,5.42,8.02,YELLOW,True,False,False,3,Medium Potential,True
MIRZAPUR,KONE,9690700109,GOVT. HIGH SCHOOL CHILH,153,170,11.11,26.87,GREEN,True,False,False,3,Medium Potential,True
MIRZAPUR,LALGANJ,9690305504,GOVT. U.M.V. RAMPUR VASID ALI,90,117,30.0,15.84,YELLOW,True,False,False,3,Medium Potential,True
MIRZAPUR,PAHARI,9690400704,GOVT. HIGH SCHOOL DADHIRAM,43,50,16.28,28.21,ORANGE,True,False,False,3,Medium Potential,True
MIRZAPUR,PAHARI,9690403003,GOVT. HIGH SCHOOL KATHANAI,122,135,10.66,31.07,ORANGE,True,False,False,3,Medium Potential,True
MIRZAPUR,PAHARI,9690404704,GOVT. HIGH SCHOOL TOSAWAN,171,236,38.01,14.56,ORANGE,True,False,False,3,Medium Potential,True
MORADABAD,BHAGATPUR TANDA,9040209802,GOVT.HIGH SCHOOL SEHAL,104,125,20.19,9.65,YELLOW,True,False,False,3,Medium Potential,True
AGRA,ACCHNERA,9150203110,RAJKIYA HIGH SCHOOL RAIBHA,150,151,0.67,22.76,YELLOW,True,False,False,3,Medium Potential,True
ALIGARH,JAWAN,9120601315,GOVERNTMENT INTER COLLEGE BARAULI,55,85,54.55,25.0,YELLOW,False,True,False,3,Medium Potential,True
ALIGARH,TAPPAL,9120906504,RAJKEYA HIGH SCHOOL SIMROTHI TAPPAL,57,84,47.37,55.56,YELLOW,True,False,False,3,Medium Potential,True
MORADABAD,DILARI,9040606625,Pt Deendayal Upadhyay Govt Model Inter College Jatpura,149,195,30.87,-8.02,YELLOW,True,True,False,3,Medium Potential,True
MORADABAD,MUNDAPANDAY,9040909708,GOVERNMENT INTER COLLEGE SARKARA KHAS,137,346,152.55,8.12,YELLOW,True,True,False,3,Medium Potential,True
MORADABAD,THAKURDWARA,9041209504,GOVERNMENT INTER COLLEGE SAHBAJPUR KALA,41,163,297.56,7.95,YELLOW,False,True,False,3,Medium Potential,True
