District,Total_Schools,Total_Blocks,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Overall_Growth_pct,YoY_2223_2324,YoY_2324_2425,YoY_2425_2526,Girls_Growth_pct,Boys_Growth_pct,Avg_Continuity_8_9,Avg_Continuity_10_11,Avg_Continuity_11_12,Red_Blocks,Girls_Declining_Schools,District_Health_Tag,District_Rank
BASTI,23,12,4081,3763,3960,4085,0.1,-7.79,5.24,3.16,26.86,43.47,570.34,59.34,103.46,1,7,Growing,55
BANDA,48,9,17409,16321,16767,17324,-0.49,-6.25,2.73,3.32,15.73,28.93,570.34,59.34,103.46,2,23,Declining,56
AMETHI - CSM NAGAR,37,13,9373,9216,9628,9316,-0.61,-1.68,4.47,-3.24,34.32,42.51,570.34,59.34,103.46,3,19,Critical,57
BARABANKI,39,15,21007,20082,20654,20687,-1.52,-4.4,2.85,0.16,2.23,-8.63,570.34,59.34,103.46,6,17,Critical,58
MAHOBA,34,6,14744,14625,14707,14506,-1.61,-0.81,0.56,-1.37,36.02,11.35,570.34,59.34,103.46,2,17,Declining,59
FIROZABAD,22,9,3513,3272,3347,3450,-1.79,-6.86,2.29,3.08,9.73,27.96,570.34,59.34,103.46,1,8,Declining,60
MEERUT,52,13,8692,8343,8263,8465,-2.61,-4.02,-0.96,2.44,66.75,31.27,570.34,59.34,103.46,2,18,Declining,61
AZAMGARH,25,17,5046,4608,4243,4862,-3.65,-8.68,-7.92,14.59,5.16,23.5,570.34,59.34,103.46,6,11,Critical,62
LUCKNOW,55,9,16188,15830,15700,15587,-3.71,-2.21,-0.82,-0.72,20.93,-4.52,570.34,59.34,103.46,2,26,Declining,63
KANPUR NAGAR,21,12,4932,4642,4552,4744,-3.81,-5.88,-1.94,4.22,-10.0,1.03,570.34,59.34,103.46,5,14,Critical,64
BALLIA,34,16,4683,4403,4301,4448,-5.02,-5.98,-2.32,3.42,21.67,4.06,570.34,59.34,103.46,5,15,Critical,65
JHANSI,35,10,12858,12092,11753,12107,-5.84,-5.96,-2.8,3.01,-1.83,-6.4,570.34,59.34,103.46,3,22,Critical,66
PRAYAGRAJ,35,17,14387,13335,13894,13402,-6.85,-7.31,4.19,-3.54,17.22,3.01,570.34,59.34,103.46,2,13,Declining,67
PILIBHIT,35,8,9185,8955,8709,8459,-7.9,-2.5,-2.75,-2.87,14.73,2.41,570.34,59.34,103.46,2,15,Declining,68
GORAKHPUR,24,15,10202,9610,9433,9308,-8.76,-5.8,-1.84,-1.33,30.34,49.97,570.34,59.34,103.46,5,12,Critical,69
ALIGARH,37,14,9228,9072,8601,8347,-9.55,-1.69,-5.19,-2.95,10.78,-4.42,570.34,59.34,103.46,5,15,Critical,70
ETAWAH,21,8,5997,5588,5573,5387,-10.17,-6.82,-0.27,-3.34,15.17,10.57,570.34,59.34,103.46,2,10,Critical,71
LALITPUR,39,7,21529,19677,18831,19203,-10.8,-8.6,-4.3,1.98,-6.44,-7.13,570.34,59.34,103.46,4,22,Critical,72
FARRUKHABAD,10,6,4735,4441,4287,4131,-12.76,-6.21,-3.47,-3.64,16.95,-5.47,570.34,59.34,103.46,2,2,Critical,73
BIJNOR,39,13,16348,15309,15284,14228,-12.97,-6.36,-0.16,-6.91,10.52,5.99,570.34,59.34,103.46,6,20,Critical,74
MAINPURI,23,10,4295,3867,3781,3729,-13.18,-9.97,-2.22,-1.38,16.54,9.8,570.34,59.34,103.46,4,12,Critical,75
