District,Block,School_ID,School_Name,Overall_Growth_pct,Boys_Growth_pct,Girls_Growth_pct,C8_Change_pct,C9_Change_pct,C10_Change_pct,C11_Change_pct,C12_Change_pct,Gender_Driver,Class_Driver,Growth_Pattern_Tag,Model_School_Flag
KANNAUJ,TAL GRAM,9300301304,PT DEEN DAYAL UPADHYAY GOVT MODEL INTER COLLEGE VIRAULI TALGRAM KANNAUJ,55.13,23.39,90.91,-21.28,107.14,-9.8,163.33,423.08,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
HAMIRPUR (U.P.),SUMERPUR,9380201610,PT DEENDYAL UPADHAYA GOVT INTER COLLEGE TEDHA,54.33,75.82,36.26,-48.0,35.14,17.43,262.5,89.66,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
FIROZABAD,FIROZABAD,9160100903,GOVT. HIGH SCHOOL BASAI MUHAMMAD PUR,54.17,85.29,26.32,,80.0,29.73,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
KUSHINAGAR,TAMKUHI,9591002104,RAJKIYA U.M.V. BASDILA PANDEY,54.04,20.0,83.72,,90.0,26.37,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
MAHARAJGANJ,MAHRAJGANJ,9570103903,GOVT HR SEC ARAJIJAGPUR MAHARAJGANJ,53.98,21.67,90.57,,27.27,111.11,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
BAHRAICH,BALHA,9501001805,R H S SCHOOL RAJAPUR KALAN,53.85,45.07,64.41,,54.55,52.83,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
BAHRAICH,VISHESHWAR  GANJ,9501508302,R H SCHOOL BASANT TEPRA VISHESHWARGANJ,53.66,7.69,133.33,,32.69,90.0,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
MATHURA,BALDEO,9141003708,PT DEENDAYAL UPADHYAY GOV MODEL INTER COLLEGE BAROLI,53.66,54.05,53.06,-42.11,-2.44,10.0,1566.67,120.0,Balanced,Upper_Class_Growth,Balanced Upper Class Growth,True
RAE BARELI,MAHRAJGANJ,9280601705,PT. DEEN DAYAL UPADDHYAY  RAJKIYA MODEL INTER COLLEGE,53.23,36.61,65.56,,91.38,21.35,215.15,-12.05,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
SITAPUR,ALIYA,9240106304,GOVT.HIGHER SECONDARY SCHOOL VISHUNPUR,52.63,52.38,52.94,,92.86,29.17,,,Balanced,All_Round_Growth,Balanced All Round Growth,True
BAHRAICH,PAYAGPUR,9501401304,R.H. SEMRIYAWAN,52.15,66.23,39.53,,41.18,64.1,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
SONBHADRA,MYORPUR,9700800907,GOVT. U.M.V. SAGOBANDH,52.13,31.71,67.92,,75.56,30.61,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
BASTI,HARRIYA,9551313204,GOVT HR SEC VIDYALY BARAHPUR,51.47,36.84,70.0,,119.23,9.52,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
BHADOI,AURAI,9710405904,GOVT. HIGH SCHOOL SAMDHA,51.28,48.94,52.86,,58.18,45.16,,,Balanced,All_Round_Growth,Balanced All Round Growth,True
HAMIRPUR (U.P.),KURARA,9380108646,PT DEENDYAL UPADHAYA GOVT MODEL INTER COLLEGE KURARA,51.26,39.47,72.09,200.0,270.0,-51.79,107.69,48.0,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
BAHRAICH,HUJUR PUR,9500607203,R H SCHOOL CHAKUJOT,50.82,9.09,100.0,,81.36,22.22,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
MEERUT,KHARKHODA,9070304002,GOVT. HIGH SCH. GOVINDPUR,50.0,51.35,48.39,,58.97,37.93,,,Balanced,All_Round_Growth,Balanced All Round Growth,True
PRATAPGARH,SADWA-CHANDRIKA,9431505603,GOVT. H.S.S. LOHANG PATTI  PRATAPGARH,50.0,17.46,139.13,,75.0,23.81,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
SHAHJAHANPUR,SINDHAULI,9220505207,Pandit Deen Dayal Upadhyay Rajkiya Model Inter College,49.72,36.7,69.63,,90.65,39.35,81.25,2.65,Girls-Led,Lower_Class_Growth,Girls-Led Lower Class Growth,True
FAIZABAD,RUDAULI,9470902310,GOVT HIGH SCHOOL SUJAGANJ RUDAULI FAIZABAD,49.6,226.67,25.45,,34.67,72.0,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
BASTI,BAHADURPUR,9550103003,GOVT HR SEC KALWARI EHATMALI,49.6,17.74,80.95,,65.0,35.38,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
SAHARANPUR,SADHOLI KADIM,9010401006,GOVT. HIGH SCHOOL KHERI MADHTI,49.56,27.4,90.0,,27.27,80.85,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
SHAHJAHANPUR,KATRA KHUDAGANJ,9220910902,RAJKIYE INTER COLLEGE KHERA NAWADA KATRA,49.5,36.26,60.36,,21.43,26.53,100.0,,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
KANSHIRAM NAGAR,AMAPUR,9720208703,GOVERNMENT HIGHSCHOOL NAGLA YADKARAN ANMAPUR KASGANJ,49.46,80.95,23.53,,69.23,35.19,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
RAE BARELI,MAHRAJGANJ,9280607104,GOVT. HIGHER SECONDARY SCHOOL MAU GARBI,49.35,24.39,77.78,,89.19,12.5,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
PRATAPGARH,AASPUR-DEOSARA,9430103805,G H S S DHARAHARA,49.28,46.67,51.28,,133.33,12.5,,,Balanced,All_Round_Growth,Balanced All Round Growth,True
