District,Block,School_ID,School_Name,Total_2223,Total_2324,Total_2425,Total_2526,Size_Tag,Size_Trend,Closure_Risk_Score,Closure_Risk_Tag
JAUNPUR,BADLA PUR,9641603920,GOVT.H.S. TIYARA,68,49,44,46,Very Small,Fluctuating,3,High Risk
JAUNPUR,KARANJA KALA,9640406208,GOVT. H.S. AARA,89,82,79,68,Small School,Getting Smaller,3,High Risk
JAUNPUR,SIKRARA,9640205204,GOVT H.S SCHOOL RAMNAGAR,25,20,26,33,Very Small,Fluctuating,3,High Risk
JAUNPUR,SIRKONI,9640113804,GOVT. H.S. PARIYAWAN,33,31,29,47,Very Small,Fluctuating,3,High Risk
JHANSI,BAMORE,9360207306,ABHINAV VIDAHAYALA KURAITHA ,62,56,34,12,Micro School,Getting Smaller,4,Critical
JHANSI,BARAGAON,9360405410,GOVT HIGH SCHOOL BHOJLA,253,216,204,203,Medium School,Getting Smaller,3,High Risk
JHANSI,MAURANIPUR,9360808306,RAJIKIYE HIGH SCHOOL REVAN,333,276,259,256,Medium School,Getting Smaller,3,High Risk
JYOTIBA PHULE NAGAR (AMROHA),DHANORA,9061909008,RAJKIYA H.S. DYOTI,159,131,122,110,Small School,Getting Smaller,3,High Risk
JYOTIBA PHULE NAGAR (AMROHA),GANGESHWARI,9061600706,RAJKIYA H.S. RAHRAI,100,80,77,74,Small School,Getting Smaller,3,High Risk
KANNAUJ,HASERAN,9300600110,RAJKIYA H.S.S. JOGNIPUR HASERAN,21,15,16,24,Micro School,Fluctuating,3,High Risk
KANNAUJ,KANNAUJ,9300100204,RAJKIYA H.S.S. MURAIYA BUJURG KANNAUJ,42,24,31,42,Very Small,Fluctuating,3,High Risk
KANNAUJ,TAL GRAM,9300304208,RAJKIYA H.S.S UMAEPUR TALGRAM,39,28,28,32,Very Small,Fluctuating,3,High Risk
KANNAUJ,UMARDA,9300200105,RAJKIYA H.S.S FULWARI UMARDA,23,35,29,23,Micro School,Fluctuating,3,High Risk
KANPUR NAGAR,CHAUBEPUR,9340404805,GOVT HIGH SCHOOL RAI GOPALPUR,187,178,124,111,Small School,Getting Smaller,3,High Risk
KAUSHAMBI,MANJHANPUR,9440112201,RAJKIYA H.S.S PINDARA SAHAWANPUR,56,35,14,14,Micro School,Getting Smaller,3,High Risk
KAUSHAMBI,NEWADA,9440407004,RAJKIYA HIGH SCHOOL SHERGARH NEWADA KAUSHAMBI,34,30,35,43,Very Small,Fluctuating,3,High Risk
KAUSHAMBI,SIRATHU,9440303407,RAJKIYA GIGH SCHOOL RAMPUR DHAMANWA SIRATHU,37,25,23,45,Very Small,Fluctuating,3,High Risk
KAUSHAMBI,SIRATHU,9440307903,RAJKIYA HIGH SCHOOL RALA SIRATHU KAUSHAMBI,71,47,33,43,Very Small,Fluctuating,3,High Risk
KHERI,NAKAHA,9231006203,GOVT HS KATKUSUMA,149,141,133,126,Small School,Getting Smaller,3,High Risk
KHERI,PALIYA,9231104203,G.V.H.S.S. RANINAGAR PALIYA KHERI,97,95,83,60,Small School,Getting Smaller,3,High Risk
KUSHINAGAR,HATA,9590601503,RAJKIYA U.M.V. PARSAHWA,29,24,14,21,Micro School,Fluctuating,3,High Risk
KUSHINAGAR,KHADDA,9590306605,RAJKIYA U.M.V. SISWA GOPAL,45,50,59,33,Very Small,Fluctuating,3,High Risk
LALITPUR,BAR,9370103803,GOVT HIGH SCHOOL VEER,186,134,122,107,Small School,Getting Smaller,3,High Risk
LALITPUR,BIRDHA,9370208804,GHS JAMUNDHANAKALAN,61,66,50,38,Very Small,Fluctuating,3,High Risk
LALITPUR,BIRDHA,9370208003,GHS KAKORIYA,103,87,77,76,Small School,Getting Smaller,3,High Risk
LALITPUR,BIRDHA,9370200708,GHS SATARVAS,68,46,39,48,Very Small,Fluctuating,3,High Risk
LALITPUR,JAKHORA,9370303610,GHS DAILWARA,382,328,248,225,Medium School,Getting Smaller,3,High Risk
LALITPUR,MAHRONI,9370504108,GHS PATHA,87,61,50,36,Very Small,Getting Smaller,4,Critical
LALITPUR,TALBEHAT,9370405605,GHS HANSARKALAN,331,285,251,244,Medium School,Getting Smaller,3,High Risk
LUCKNOW,BAKSHI KA TALAB,9270817204,RAJKIYA HIGH SCHOOL SONVA,211,195,148,122,Small School,Getting Smaller,3,High Risk
LUCKNOW,CHINHAT,9270101911,RAJKIYA  HIGH SCHOOL JUGGAUR,157,148,129,128,Small School,Getting Smaller,3,High Risk
LUCKNOW,GOSHAI GANJ,9270611604,GOVT. HIGH SCHOOL SURIAMAU GOSAIGANJ,123,92,86,84,Small School,Getting Smaller,3,High Risk
LUCKNOW,MOHAN LAL GANJ,9270503803,GOVT. HIGH SCHOOL DHANUWASAND,375,297,272,257,Medium School,Getting Smaller,3,High Risk
LUCKNOW,MOHAN LAL GANJ,9270507603,GOVT. HIGH SCHOOL MASTIPUR,259,251,211,190,Small School,Getting Smaller,3,High Risk
LUCKNOW,MOHAN LAL GANJ,9270519001,RAJKIYA HIGH SCHOOL KARORA,195,178,148,137,Small School,Getting Smaller,3,High Risk
LUCKNOW,SAROJNI NAGAR,9270707205,GVOT. HIGH SCHOOL PALEHNDA,208,200,183,153,Small School,Getting Smaller,3,High Risk
MAHARAJGANJ,BRIJMAN GANJ,9571101211,GOVT HS SONBARSA,59,78,74,45,Very Small,Fluctuating,3,High Risk
MAHARAJGANJ,GHUGHLI,9570202710,GOVT HS PURAINA KHANDI,46,32,29,33,Very Small,Fluctuating,3,High Risk
MAHOBA,JAITPUR,9390207610,GOVT. GIRLS INTER COLLEGE KULPAHAR,99,71,62,46,Very Small,Getting Smaller,4,Critical
MAHOBA,PANWARI,9390409103,GOVT HIGH SCHOOL BIJRARI,42,52,34,22,Micro School,Fluctuating,3,High Risk
MAHOBA,PANWARI,9390410504,GOVT HIGH SCHOOL SILALPURA,45,41,33,22,Micro School,Getting Smaller,4,Critical
MAINPURI,BARNAHAL,9180905706,G.U.M. VID CHANDIKARA,68,40,26,20,Micro School,Getting Smaller,4,Critical
MAINPURI,BEWAR,9180502405,G HIGH SCHOOL AMEHRA,91,89,64,63,Small School,Getting Smaller,3,High Risk
MAINPURI,GHIROR,9180204402,GOVT HIGH SCHOOL NAGLA BHARA,65,44,35,48,Very Small,Fluctuating,3,High Risk
MAINPURI,MAINPURI,9180103505,GOVT. HIGH SCHOOL ANGAUTHA,89,83,68,60,Small School,Getting Smaller,3,High Risk
MATHURA,BALDEO,9141004008,GOVT HIGH SCHOOL AKOS,68,58,53,48,Very Small,Getting Smaller,4,Critical
MATHURA,MANT,9140713301,RAJ.K.INT.COLL. SIRI.KI.NAGARIYA,37,31,42,46,Very Small,Fluctuating,3,High Risk
