District,Block,School_ID,School_Name,Alert_ID,Alert_Type,Severity,Current_Value,Threshold,Year_Triggered
BAREILLY,ALAMPUR,9201711002,GOVT. SEC. SCHOOL KHULI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-28.3,-20,2025-26
BAREILLY,BAHERI,9201410803,GOVT. HIGH SCHOOL TANDA CHHANGA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-36.4,-20,2025-26
BAREILLY,BHOJIPURA,9201100403,GOVT. HIGH SCHOOL ALINAGAR,W1,ENROLLMENT CRASH,CRITICAL,-28.3,-20,2025-26
BAREILLY,BHOJIPURA,9201100403,GOVT. HIGH SCHOOL ALINAGAR,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
BAREILLY,MAJHGAWAN,9201001402,GOVT. HIGH SCHOOL BASANTPUR,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-23.5,-20,2025-26
BAREILLY,NAWABGANJ,9200403804,GOVT SCHOOL PANDRI,W1,ENROLLMENT CRASH,CRITICAL,-29.6,-20,2025-26
BAREILLY,NAWABGANJ,9200403804,GOVT SCHOOL PANDRI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-33.3,-20,2025-26
BAREILLY,NAWABGANJ,9200403804,GOVT SCHOOL PANDRI,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
BAREILLY,NAWABGANJ,9200405205,GOVT. HIGH SCHOOL BIJAMAU,W1,ENROLLMENT CRASH,CRITICAL,-21.1,-20,2025-26
BAREILLY,RICHHA(DAMKHODA),9200500108,GOVT. INTER COLLEGE RICHHA,W1,ENROLLMENT CRASH,CRITICAL,-34.8,-20,2025-26
BAREILLY,RICHHA(DAMKHODA),9200500108,GOVT. INTER COLLEGE RICHHA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-25.6,-20,2025-26
BASTI,GAUR,9550518709,GOVT HR SEC PIPRAHIA,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
BASTI,TOWN AREA,9551404605,GOVT INTER COLLEGE BASTI,W1,ENROLLMENT CRASH,CRITICAL,-21.1,-20,2025-26
BHADOI,SURIYAVAN,9710311004,GOVT. HIGH SCHOOL ABHIYA,W1,ENROLLMENT CRASH,CRITICAL,-30.2,-20,2025-26
BHADOI,SURIYAVAN,9710311004,GOVT. HIGH SCHOOL ABHIYA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-28.6,-20,2025-26
BIJNOR,AFZALGRAH,9030102505,RAJKIYA ADARSH JANTA INTER COLLEGE SHAHPUR JAMAL ,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
BIJNOR,KIRATPUR,9030703406,RAJKIYA HIGHSCHOOL PADALA,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
BIJNOR,KOTWALI,9030811006,GOVE.GIRLS HIGH SCHOOL BUDHAWALA,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
BIJNOR,KOTWALI,9030840102,PANDIT DEENDYAL UPADHAYA RAJKIYA MODEL INTER COLEGE BENIPUR KOPA,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
BIJNOR,NAJIBABAD,9031006410,PT DEENDAYAL UPADHAYA RAJKIYE MODEL INTER COLLEGE SABALGARH BIJNOR,W1,ENROLLMENT CRASH,CRITICAL,-21.1,-20,2025-26
BIJNOR,NAJIBABAD,9031006410,PT DEENDAYAL UPADHAYA RAJKIYE MODEL INTER COLLEGE SABALGARH BIJNOR,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-20.7,-20,2025-26
BIJNOR,NAJIBABAD,9031014203,RAJKIYA HIGH SCHOOL  JATTIWALA,W1,ENROLLMENT CRASH,CRITICAL,-44.4,-20,2025-26
BIJNOR,NAJIBABAD,9031014203,RAJKIYA HIGH SCHOOL  JATTIWALA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-46.1,-20,2025-26
BIJNOR,NAJIBABAD,9031014203,RAJKIYA HIGH SCHOOL  JATTIWALA,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
BUDAUN,AMBIYAPUR,9191303203,"GOVT. HIGH SCHOOL, SATAITI",W10,MULTI-RISK ENROLLMENT,CRITICAL,9,8,2025-26
BUDAUN,BISAULI,9191600150,"GOVT. HIGH SCHOOL, KARANPUR",W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
BUDAUN,BISAULI,9191603004,PT. DEENDAYAL UPADHAY GOVT. MODEL INTER COLLEGE NOORPUR,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
BUDAUN,SAMRER,9191109503,"GOVT. HIGH SCHOOL, HANSI GANJ",W3,GIRLS ENROLLMENT CRASH,CRITICAL,-25.6,-20,2025-26
BUDAUN,SAMRER,9191109503,"GOVT. HIGH SCHOOL, HANSI GANJ",W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
BUDAUN,UJHANI,9190201510,"GOVT. HS SCHOOL,DEHMU",W3,GIRLS ENROLLMENT CRASH,CRITICAL,-37.5,-20,2025-26
BUDAUN,UJHANI,9190201510,"GOVT. HS SCHOOL,DEHMU",W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
BULANDSHAHR,ARNIA,9110408204,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE DHAKPURA,W5,CONTINUITY COLLAPSE,CRITICAL,28.1,60,2025-26
CHANDAULI,BARAHANI,9660701402,GHS NOORI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-21.7,-20,2025-26
CHANDAULI,SHAHABGANJ,9660602903,GHS KHAKHADA,W1,ENROLLMENT CRASH,CRITICAL,-23.1,-20,2025-26
CHANDAULI,SHAHABGANJ,9660602903,GHS KHAKHADA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-46.4,-20,2025-26
CHANDAULI,SHAHABGANJ,9660608003,GHS MUSAKHAND,W1,ENROLLMENT CRASH,CRITICAL,-29.8,-20,2025-26
CHITRAKOOT,MANIKPUR,9410500910,GOVT. HIGH SCHOOL ETAWA DUDAILA,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
CHITRAKOOT,MAU,9410304803,GOVT. HIGH SCHOOL MURKA,W1,ENROLLMENT CRASH,CRITICAL,-20.9,-20,2025-26
CHITRAKOOT,MAU,9410304803,GOVT. HIGH SCHOOL MURKA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-24.4,-20,2025-26
CHITRAKOOT,MAU,9410305004,PT DEEN DAYAL UPADHYAY GOVT MODEL I C HARDI KALA CHITRAKOOT,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-23.1,-20,2025-26
CHITRAKOOT,PAHADI,9410202022,SAMAJWADI ABHINAV VIDYALAYA SARDHUWA,W1,ENROLLMENT CRASH,CRITICAL,-21.5,-20,2025-26
CHITRAKOOT,PAHADI,9410202022,SAMAJWADI ABHINAV VIDYALAYA SARDHUWA,W5,CONTINUITY COLLAPSE,CRITICAL,56.4,60,2025-26
DEORIA,BARAHAJ,9601703905,RAJKIY U.M.V.LABAKANI GANGA,W1,ENROLLMENT CRASH,CRITICAL,-24.0,-20,2025-26
DEORIA,BARAHAJ,9601703905,RAJKIY U.M.V.LABAKANI GANGA,W10,MULTI-RISK ENROLLMENT,CRITICAL,9,8,2025-26
DEORIA,BHATNI,9600803917,RAJIYA U.M.V.BHARHE CHAURA,W1,ENROLLMENT CRASH,CRITICAL,-26.7,-20,2025-26
DEORIA,PATTHRDEVA,9600503905,GOVT.H.S.SCHOOL MALGHOT BIRAICHA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-38.9,-20,2025-26
DEORIA,PATTHRDEVA,9600503905,GOVT.H.S.SCHOOL MALGHOT BIRAICHA,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
DEORIA,PATTHRDEVA,9600503804,R .UMV RAMPUR MAHUARI,W1,ENROLLMENT CRASH,CRITICAL,-22.9,-20,2025-26
DEORIA,PATTHRDEVA,9600503804,R .UMV RAMPUR MAHUARI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-27.3,-20,2025-26
DEORIA,PATTHRDEVA,9600503804,R .UMV RAMPUR MAHUARI,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
ETAH,SHEETAL PUR,9171314101,GOV.GIRLS INTER COLLEGE,W5,CONTINUITY COLLAPSE,CRITICAL,55.9,60,2025-26
ETAWAH,ETAWAH NAGAR CHETRA,9310903242,GOVT INTER COLLEGE ETAWAH,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-88.1,-20,2025-26
ETAWAH,ETAWAH NAGAR CHETRA,9310903242,GOVT INTER COLLEGE ETAWAH,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
