District,Block,School_ID,School_Name,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Had_Decline,Trough_Year,Trough_Value,Recovery_Amount,Recovery_pct,Recovery_Pattern,Recovery_Strength
BAREILLY,KYARA,9200803105,PT DEENDYAL UPADHYAY RAJKIYA MODEL INTER COLLEGE CHAIBARI KYARA BAREILLY,270,277,298,283,True,2022-23,270,13,4.81,Full Recovery,Weak
BAREILLY,MAJHGAWAN,9201007604,GOVT. HIGH SCHOOL BALEI BHAGWANTPUR,105,104,106,117,True,2023-24,104,13,12.5,Strong Recovery,Moderate
BAREILLY,MAJHGAWAN,9201001402,GOVT. HIGH SCHOOL BASANTPUR,38,36,36,40,True,2023-24,36,4,11.11,Full Recovery,Moderate
BAREILLY,MAJHGAWAN,9201007203,GOVT. HIGH SCHOOL BHINDAURA,32,87,67,69,True,2022-23,32,37,115.62,Full Recovery,Strong
BAREILLY,NAWABGANJ,9200403103,GOVT. HIGH SCHOOL PAROTHI,60,57,63,75,True,2023-24,57,18,31.58,Strong Recovery,Strong
BAREILLY,SHERGARH,9200905303,GOVT. HIGH SCHOOL SIMRAWAN,60,79,84,70,True,2022-23,60,10,16.67,Full Recovery,Moderate
BAREILLY,VITHARI CHAINPUR,9201808503,GOVT. SEC. SCHOOL AHILADPUR,123,144,141,143,True,2022-23,123,20,16.26,Full Recovery,Moderate
BASTI,BAHADURPUR,9550108107,GOVT HR SEC BEILI BAHADURPUR,42,90,85,79,True,2022-23,42,37,88.1,Full Recovery,Strong
BASTI,BAHADURPUR,9550108106,GOVT HRSEC KHALIL PATTI,76,73,84,112,True,2023-24,73,39,53.42,Strong Recovery,Strong
BASTI,BASTI SADAR,9550713201,GOVT HR SEC KHAKUWA,73,62,70,79,True,2023-24,62,17,27.42,Strong Recovery,Strong
BASTI,DUBAULIA,9551500105,GOVT GIRLS H.S. GOPALPUR UNJI BASTI,34,16,29,52,True,2023-24,16,36,225.0,Strong Recovery,Strong
