District,Block,School_ID,School_Name,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Peak_Year,Peak_Value,Trough_Year,Trough_Value,Post_Peak_Loss_pct,Peak_Tag
AGRA,BAROLI AHEER,9150400904,RAJKIYA HIGH SCHOOL DIGNER,129,135,137,145,2025-26,145,2022-23,129,0.0,Peak Now
AGRA,BAROLI AHEER,9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,625,588,548,497,2022-23,625,2025-26,497,120.48,Post Peak Severe
AGRA,BICHPURI,9150501805,GOVT HSS JAUPURA BICHPURI,175,126,146,162,2022-23,175,2023-24,126,107.43,Recovering
AGRA,BICHPURI,9150503512,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C MIDAKUR,336,365,358,351,2023-24,365,2022-23,336,103.84,Post Peak Severe
AGRA,ETMADPUR,9150607005,GOVT. HIGH SCHOOL KHUSHAPUR,97,78,93,106,2025-26,106,2023-24,78,0.0,Peak Now
AGRA,ETMADPUR,9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,85,103,100,79,2023-24,103,2025-26,79,123.3,Post Peak Severe
AGRA,ETMADPUR,9150600506,RAJKIYA HIGH SCHOOL MITAWALI,126,125,129,135,2025-26,135,2023-24,125,0.0,Peak Now
AGRA,FATEHABAD,9151104603,GHS NANDAPURA,35,37,39,36,2024-25,39,2022-23,35,107.69,Recently Peaked
AGRA,FATEHABAD,9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",66,51,39,41,2022-23,66,2024-25,39,137.88,Recovering
AGRA,FATEHPUR  SIKRI,9150701003,GOVT HSS CHAUMA SHAPUR F.SIKARI,56,68,64,52,2023-24,68,2025-26,52,123.53,Post Peak Severe
AGRA,FATEHPUR  SIKRI,9150703903,RAJKIYA HIGH SCHOOL OLENDA,43,47,52,50,2024-25,52,2022-23,43,103.85,Recently Peaked
AGRA,JAGNER,9150804903,RAJKIYA HIGH SCHOOL CHANDSAURA,65,64,80,70,2024-25,80,2023-24,64,112.5,Recently Peaked
AGRA,JAGNER,9150802603,RAJKIYA HIGH SCHOOL RICHOHA,48,38,54,70,2025-26,70,2023-24,38,0.0,Peak Now
AGRA,JAITPUR  KALAN,9150909801,GOVERNMENT  INTER COLLEGE KACHHPURA AGRA,66,49,41,58,2022-23,66,2024-25,41,112.12,Recovering
AGRA,JAITPUR  KALAN,9150909606,GOVT. HIGH SCHOOL CHITRAHAT,93,91,95,85,2024-25,95,2025-26,85,110.53,Recently Peaked
AGRA,KHANDOLI,9151003604,GOVT. GIRLS INTER COLLEGE AWALKHEDA AGRA,490,550,560,515,2024-25,560,2022-23,490,108.04,Recently Peaked
AGRA,KHANDOLI,9151000133,GOVT. HIGH SCHOOL NAGLA JAUHARI AGRA,75,85,83,77,2023-24,85,2022-23,75,109.41,Post Peak Severe
AGRA,KHANDOLI,9151004507,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C SEMRA,179,192,216,181,2024-25,216,2022-23,179,116.2,Recently Peaked
AGRA,KHANDOLI,9151000904,RAJKIYA HIGH SCHOOL KHEDA HAZIPUR,93,71,87,93,2022-23,93,2023-24,71,100.0,V Shape
AGRA,KHANDOLI,9151004506,RAJKIYA HIGH SCHOOL SAIMRA,129,141,149,184,2025-26,184,2022-23,129,0.0,Peak Now
AGRA,KHERAGARH,9151206612,GOVT. GIRLS INTER COLLEGE  KHERAGARH AGRA,173,155,167,161,2022-23,173,2023-24,155,106.94,Post Peak Severe
AGRA,M.C.AGRA CITY,9151714173,GOVT. GIRLS INTER COLLEGE SHAHGANJ AGRA,566,600,567,527,2023-24,600,2025-26,527,112.17,Post Peak Severe
AGRA,M.C.AGRA CITY,9151711940,GOVT. INTER COLLEGE SHAHGANJ AGRA,1264,1275,1505,1333,2024-25,1505,2022-23,1264,111.43,Recently Peaked
AGRA,PINAHAT,9151300704,RAJKIYA HIGH SCHOOL SAVORA,55,65,65,55,2023-24,65,2022-23,55,115.38,Post Peak Severe
AGRA,SAIYAN,9151405312,GOVT. HIGH SCHOOL TEHRA SAIYAN,56,39,53,58,2025-26,58,2023-24,39,0.0,Peak Now
AGRA,SHAMSHABAD,9151507604,"GOVT. HIGH SCHOOL, JAI NAGAR",124,109,122,134,2025-26,134,2023-24,109,0.0,Peak Now
AGRA,SHAMSHABAD,9151508107,RAJKIYA HIGH SCHOOL KOLARA KALAN,67,64,72,74,2025-26,74,2023-24,64,0.0,Peak Now
ALIGARH,AKRABAD,9120205303,RAJKIY HIGH SCHOOL KATHERA,191,165,134,140,2022-23,191,2024-25,134,126.7,Recovering
ALIGARH,ATRAULI,9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,425,354,277,199,2022-23,425,2025-26,199,153.18,Post Peak Severe
ALIGARH,ATRAULI,9120305202,RAJKEYA KANYA  INTER COLLEGE  NARONA,396,406,373,326,2023-24,406,2025-26,326,119.7,Post Peak Severe
ALIGARH,ATRAULI,9120305706,RAJKEYA KANYA INTER COLLEGE CHANDAULA,403,364,388,355,2022-23,403,2025-26,355,111.91,Post Peak Severe
ALIGARH,BIJAULI,9120502307,Pt Deendayal Upadhyay Govt Model Inter College Badesara,120,122,145,148,2025-26,148,2022-23,120,0.0,Peak Now
ALIGARH,BIJAULI,9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,116,87,76,49,2022-23,116,2025-26,49,157.76,Post Peak Severe
ALIGARH,CHANDAUS,9120708307,KIRAN DEVI RAJKEYA INTER COLLEGE BAMOTI,169,138,193,177,2024-25,193,2023-24,138,108.29,Recently Peaked
ALIGARH,CHANDAUS,9120703804,Pt Deendayal Upadhyay Govt Model Inter College,199,250,234,259,2025-26,259,2022-23,199,0.0,Peak Now
ALIGARH,CHANDAUS,9120708603,RAJKEYA HIGH SCHOOL PORAI CHANDAUS,49,41,45,51,2025-26,51,2023-24,41,0.0,Peak Now
ALIGARH,CHANDAUS,9120701402,RAJKEYA KANYA INTER COLLEGE DEORAU MOD,265,233,208,226,2022-23,265,2024-25,208,114.72,Recovering
ALIGARH,DHANIPUR,9120101303,RAJKEYA HIGH SCHOOL RAHSUPUR DHANIPUR,62,52,81,94,2025-26,94,2023-24,52,0.0,Peak Now
ALIGARH,DHANIPUR,9120103509,RAJKEYA KANYA INTER COLLEGE KALAI,231,212,197,184,2022-23,231,2025-26,184,120.35,Post Peak Severe
ALIGARH,GANGIRI,9120409603,RAJKEY HIGH SCHOOL NAVIPUR,13,11,16,19,2025-26,19,2023-24,11,0.0,Peak Now
ALIGARH,GANGIRI,9120402514,RAJKEYA HIGH SCHOOL GANGIRI ALIGARH,45,52,62,75,2025-26,75,2022-23,45,0.0,Peak Now
ALIGARH,GANGIRI,9120401935,RAJKEYA KANYA INTER COLLEGE CHHARA,56,51,72,74,2025-26,74,2023-24,51,0.0,Peak Now
ALIGARH,GONDA,9121108003,GAYATRI DEEVI RAJKEY INTER COLLEGE  GORAI,413,441,258,246,2023-24,441,2025-26,246,144.22,Post Peak Severe
ALIGARH,GONDA,9121109505,Pt Deendayal Upadhyay Govt Model Inter College Tamotia,181,180,172,143,2022-23,181,2025-26,143,120.99,Post Peak Severe
ALIGARH,GONDA,9121108012,SMT SAROJ SINGH RASTREYA I.C.GORAI,579,620,498,489,2023-24,620,2025-26,489,121.13,Post Peak Severe
ALIGARH,IGLAS,9121207805,GOVT. HIGH SCHOOL JAWAR,115,109,107,145,2025-26,145,2024-25,107,0.0,Peak Now
ALIGARH,IGLAS,9121206027,RAJKEY KANYA INTER COLLEGE,203,204,227,246,2025-26,246,2022-23,203,0.0,Peak Now
ALIGARH,IGLAS,9121200701,RAJKEYA HIGH SCHOOL RAITPUR IGLAS,55,34,41,50,2022-23,55,2023-24,34,109.09,Recovering
ALIGARH,JAWAN,9120610205,ABHINAY VIDHYALAY CHHLESAR,35,27,19,20,2022-23,35,2024-25,19,142.86,Recovering
ALIGARH,JAWAN,9120611803,GHS PIPLAUTH,94,86,95,103,2025-26,103,2023-24,86,0.0,Peak Now
ALIGARH,JAWAN,9120601315,GOVERNTMENT INTER COLLEGE BARAULI,55,83,68,85,2025-26,85,2022-23,55,0.0,Peak Now
ALIGARH,JAWAN,9120609204,RAJKEY KANYA INTER OLLEGE GODHA JAWAN,364,313,291,254,2022-23,364,2025-26,254,130.22,Post Peak Severe
ALIGARH,JAWAN,9120601603,RAJKEYA HIGH SCHOOL KHURD KHERA JAWAN,41,44,52,51,2024-25,52,2022-23,41,101.92,Recently Peaked
ALIGARH,KHAIR,9120805708,Pt Deendayal Upadhyay Govt Model Inter College kherasattu,167,206,237,232,2024-25,237,2022-23,167,102.11,Recently Peaked
ALIGARH,KHAIR,9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,169,172,144,134,2023-24,172,2025-26,134,122.09,Post Peak Severe
ALIGARH,KHAIR,9120802203,VIKRAM VIDHYA MANDIR RAJKEYA INTER COLLEGE BANKNER KHAIR,321,282,256,251,2022-23,321,2025-26,251,121.81,Post Peak Severe
ALIGARH,LODHA,9121000503,RAJKEYA HIGH SCHOOL SINGHARPUR,250,249,249,259,2025-26,259,2023-24,249,0.0,Peak Now
ALIGARH,NAGAR ALIGARH,9121307839,NAURANGI LAL RAJKIYA INTER COLLEGE,1205,1243,1245,1163,2024-25,1245,2025-26,1163,106.59,Recently Peaked
ALIGARH,NAGAR ALIGARH,9121307973,RAJKEYA KANYA INTER COLLEGE,1148,1182,1189,1142,2024-25,1189,2025-26,1142,103.95,Recently Peaked
ALIGARH,NAGAR ATRAULI,9121403616,RAJKEYA KANYA INTER COLLEGE ATRAULI,918,848,715,678,2022-23,918,2025-26,678,126.14,Post Peak Severe
ALIGARH,TAPPAL,9120906504,RAJKEYA HIGH SCHOOL SIMROTHI TAPPAL,57,50,54,84,2025-26,84,2023-24,50,0.0,Peak Now
ALIGARH,TAPPAL,9120911213,SMT REVATI GOYAL RAJKEYA KANYA I.C. JATTA,118,109,99,124,2025-26,124,2024-25,99,0.0,Peak Now
AMBEDKAR NAGAR,AKBARPUR,9480110905,G G I C AKBARPUR,123,72,76,68,2022-23,123,2025-26,68,144.72,Post Peak Severe
AMBEDKAR NAGAR,AKBARPUR,9480103707,GOVT GIRLS INTER COLLEGE BEWANA,282,291,351,384,2025-26,384,2022-23,282,0.0,Peak Now
AMBEDKAR NAGAR,AKBARPUR,9480114803,GOVT HIGHER SEC SCH KAHARA SULEMPUR,38,34,45,70,2025-26,70,2023-24,34,0.0,Peak Now
AMBEDKAR NAGAR,AKBARPUR,9480106311,GOVT HIGHER SEC SCH RAMPUR SAKARWARI,34,25,20,35,2025-26,35,2024-25,20,0.0,Peak Now
AMBEDKAR NAGAR,AKBARPUR,9480107905,GOVT INTER COLLEGE AKBARPUR,492,496,512,396,2024-25,512,2025-26,396,122.66,Recently Peaked
AMBEDKAR NAGAR,AKBARPUR,9480101909,Pt Deendayal Upadhyay Govt Model Inter College Jafarganj,64,68,123,199,2025-26,199,2022-23,64,0.0,Peak Now
AMBEDKAR NAGAR,AKBARPUR,9480100906,SAVITRI BAI FULE GOVT. GIRLS INTER COLLEGE,408,389,409,400,2024-25,409,2023-24,389,102.2,Recently Peaked
AMBEDKAR NAGAR,BASKHARI,9480200403,GOVT HIGHER SEC SCH LAKHANPUR,96,73,53,64,2022-23,96,2024-25,53,133.33,Recovering
AMBEDKAR NAGAR,BASKHARI,9480210203,RAJKIYA HIGHER SEC SCH00L TARAULI MUBARAKPUR,43,28,22,50,2025-26,50,2024-25,22,0.0,Peak Now
AMBEDKAR NAGAR,BHEETI,9480308014,GOVT GIRLS INTER COLLEGE BHEETI,83,100,148,162,2025-26,162,2022-23,83,0.0,Peak Now
AMBEDKAR NAGAR,BHIYAON,9480406306,GOVT HIGHER SEC SCH RAMGARH,69,56,58,94,2025-26,94,2023-24,56,0.0,Peak Now
AMBEDKAR NAGAR,BHIYAON,9480404812,KASTURABA GANDHI G HIGHER SEC SCH RATNA,76,62,71,129,2025-26,129,2023-24,62,0.0,Peak Now
AMBEDKAR NAGAR,BHIYAON,9480403803,PT. D.D.U GOVT. MODAL INTER COLLEGE INDHANA,193,403,472,513,2025-26,513,2022-23,193,0.0,Peak Now
AMBEDKAR NAGAR,JAHANGIRGANJ,9480700805,GOVT GIRLS INTER COLLEGE TENDUAI KALA,162,227,314,315,2025-26,315,2022-23,162,0.0,Peak Now
AMBEDKAR NAGAR,JAHANGIRGANJ,9480709005,GOVT HIGHER SEC SCH AHIRAULI RANIMAU,149,107,103,138,2022-23,149,2024-25,103,107.38,Recovering
AMBEDKAR NAGAR,JAHANGIRGANJ,9480702111,GOVT HIGHER SEC SCH JAHANGIRGANJ,147,95,108,154,2025-26,154,2023-24,95,0.0,Peak Now
AMBEDKAR NAGAR,JAHANGIRGANJ,9480704404,GOVT HIGHER SEC SCHOOL KAMHARIA,61,49,63,80,2025-26,80,2023-24,49,0.0,Peak Now
AMBEDKAR NAGAR,JALALPUR,9480602120,GOVT G INTER COLLEGE JALALPUR,250,296,344,367,2025-26,367,2022-23,250,0.0,Peak Now
AMBEDKAR NAGAR,JALALPUR,9480607607,GOVT HIGHER SEC SCH BAREPUR,61,49,75,81,2025-26,81,2023-24,49,0.0,Peak Now
AMBEDKAR NAGAR,JALALPUR,9480605504,GOVT HIGHER SEC SCH BASIYA,90,81,92,97,2025-26,97,2023-24,81,0.0,Peak Now
AMBEDKAR NAGAR,KATEHARI,9480502308,GOVT HIGHER SEC SCH PAHITIPUR,154,141,154,157,2025-26,157,2023-24,141,0.0,Peak Now
AMBEDKAR NAGAR,KATEHARI,9480501904,PT DEENDAYAL UPADHYAY GOVT MODAL IC PAHITIPUR KHAJOORDEEH AMBEDKAR NAGAR,251,215,221,325,2025-26,325,2023-24,215,0.0,Peak Now
AMBEDKAR NAGAR,KATEHARI,9480508707,RAJKEY HIGHSCHOOL ASHRAFPUR BARAWAN,112,116,132,138,2025-26,138,2022-23,112,0.0,Peak Now
AMBEDKAR NAGAR,RAMNAGAR,9480811703,GOVT HIGHER SEC SCH CHANDANPUR,80,81,68,84,2025-26,84,2024-25,68,0.0,Peak Now
AMBEDKAR NAGAR,RAMNAGAR,9480802223,PT. D.D.U. GOVT. MODAL INTER COLLEGE RAMNAGAR,60,175,335,557,2025-26,557,2022-23,60,0.0,Peak Now
AMBEDKAR NAGAR,RAMNAGAR,9480814301,RAJKEEYA HIGHER SEC SCH AMADERVESPUR,46,52,78,107,2025-26,107,2022-23,46,0.0,Peak Now
AMBEDKAR NAGAR,RAMNAGAR,9480814201,SMT SUMITRA DEVI SHUKLA GOVT GIRLS INTER COLLEGE ALAPUR,226,206,185,168,2022-23,226,2025-26,168,125.66,Post Peak Severe
AMBEDKAR NAGAR,TANDA,9480917501,GOVT GIRLS INTER COLLEGE TANDA,148,127,151,160,2025-26,160,2023-24,127,0.0,Peak Now
AMBEDKAR NAGAR,TANDA,9480908706,GOVT HIGHER SEC SCH DIHWA MOHIUDDINPUR,65,58,51,57,2022-23,65,2024-25,51,112.31,Recovering
AMBEDKAR NAGAR,TANDA,9480900604,GOVT HIGHER SEC SCH FARIDPUR KUTUB,127,110,83,112,2022-23,127,2024-25,83,111.81,Recovering
AMBEDKAR NAGAR,TANDA,9480911206,GOVT VIDYUT PAR IC VIDYUTNAGAR,606,566,567,565,2022-23,606,2025-26,565,106.77,Post Peak Severe
AMBEDKAR NAGAR,TANDA TOWN AREA,9481002001,GOVT. GIRLS INTER COLLEGE NAGARPALIKA PARISHAD TANDA,37,81,132,160,2025-26,160,2022-23,37,0.0,Peak Now
AMETHI - CSM NAGAR,AMETHI,9730208001,GGIC AMETHI,584,444,423,339,2022-23,584,2025-26,339,141.95,Post Peak Severe
AMETHI - CSM NAGAR,AMETHI,9730200109,RAJKIYE HIGH SCHOOL,179,151,119,120,2022-23,179,2024-25,119,132.96,Recovering
AMETHI - CSM NAGAR,BAHADURPUR,9732500101,GGIC JAIS,442,402,504,371,2024-25,504,2025-26,371,126.39,Recently Peaked
AMETHI - CSM NAGAR,BAHADURPUR,9732502201,GIC FURSATGANJ,1611,1578,1477,1313,2022-23,1611,2025-26,1313,118.5,Post Peak Severe
AMETHI - CSM NAGAR,BAHADURPUR,9732500102,GIC JAIS,251,203,209,207,2022-23,251,2023-24,203,117.53,Post Peak Severe
AMETHI - CSM NAGAR,BAHADURPUR,9732500904,Pt Deendayal Upadhayay Govt Model Inter College Udawa,157,128,308,375,2025-26,375,2023-24,128,0.0,Peak Now
AMETHI - CSM NAGAR,BAHADURPUR,9732500206,RAJKEEYA HIGH SCHOOL,95,95,81,90,2022-23,95,2024-25,81,105.26,Recovering
AMETHI - CSM NAGAR,BAHADURPUR,9732500609,RAJKIYA HIGH SCHOOL PEEDHI,65,84,118,148,2025-26,148,2022-23,65,0.0,Peak Now
AMETHI - CSM NAGAR,BHADAR,9732704801,GGIC SONARI KALA,506,509,504,460,2023-24,509,2025-26,460,109.63,Post Peak Severe
AMETHI - CSM NAGAR,BHADAR,9732701209,GIC TIKARMAFI,648,670,650,606,2023-24,670,2025-26,606,109.55,Post Peak Severe
AMETHI - CSM NAGAR,BHADAR,9732702403,RAJKIYA HIGH SCHOOL,31,24,34,56,2025-26,56,2023-24,24,0.0,Peak Now
AMETHI - CSM NAGAR,BHADAR,9732706101,RAMABAI AMBEDKAR GGIC,136,99,98,116,2022-23,136,2024-25,98,114.71,Recovering
AMETHI - CSM NAGAR,BHETUA,9732303305,RAJKIY INTER COLLEGE,57,99,200,224,2025-26,224,2022-23,57,0.0,Peak Now
AMETHI - CSM NAGAR,GAURIGANJ,9731904502,GGIC GAURIGANJ,428,388,407,345,2022-23,428,2025-26,345,119.39,Post Peak Severe
AMETHI - CSM NAGAR,GAURIGANJ,9731906204,PANDIT DEENDAYAL UPADHYAY RAJKEEYA  MODAL INTER COLLEGE ,67,53,54,70,2025-26,70,2023-24,53,0.0,Peak Now
AMETHI - CSM NAGAR,JAGDISHPUR,9730100401,GGIC JAGDISHPUR,223,227,274,298,2025-26,298,2022-23,223,0.0,Peak Now
AMETHI - CSM NAGAR,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,70,64,63,53,2022-23,70,2025-26,53,124.29,Post Peak Severe
AMETHI - CSM NAGAR,JAGDISHPUR,9730104402,RAJKIY HIGH SCHOOL RANIGANJ,62,33,22,23,2022-23,62,2024-25,22,162.9,Recovering
AMETHI - CSM NAGAR,JAMO,9732100101,GGIC JAMO,351,411,432,425,2024-25,432,2022-23,351,101.62,Recently Peaked
AMETHI - CSM NAGAR,JAMO,9732100205,RAJKIYE HIGH SCHOOL SARMEN,74,73,79,70,2024-25,79,2025-26,70,111.39,Recently Peaked
AMETHI - CSM NAGAR,JAMO,9732100115,UMA RAMAN INTER COLLEGE,196,241,278,313,2025-26,313,2022-23,196,0.0,Peak Now
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730301001,GGIC MUSAFIRKHANA,1116,1017,918,949,2022-23,1116,2024-25,918,114.96,Recovering
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730306605,PANDIT DEENDAYAL U RAJKIYE MODAL INTER COLLEGE,33,103,133,194,2025-26,194,2022-23,33,0.0,Peak Now
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730303904,RAJKIY HIGH SCHOOL KANJAS,71,60,43,38,2022-23,71,2025-26,38,146.48,Post Peak Severe
AMETHI - CSM NAGAR,SANGRAMPUR,9730400406,GGIC SANGRAMPUR,28,20,29,34,2025-26,34,2023-24,20,0.0,Peak Now
AMETHI - CSM NAGAR,SHAHGARH,9732000201,GGIC SHAHGARH,459,444,435,410,2022-23,459,2025-26,410,110.68,Post Peak Severe
AMETHI - CSM NAGAR,SHAHGARH,9732003204,GOVT HIGH SCHOOL AFUIYA,126,127,129,129,2024-25,129,2022-23,126,100.0,Recently Peaked
AMETHI - CSM NAGAR,SHAHGARH,9732002803,RAJKIY HAIGH SCHOOL,72,56,65,73,2025-26,73,2023-24,56,0.0,Peak Now
AMETHI - CSM NAGAR,SHUKULBAZAR,9731800101,GGIC SHUKUL BAZAR,135,126,102,111,2022-23,135,2024-25,102,117.78,Recovering
AMETHI - CSM NAGAR,SINGHPUR,9731700510,RAJKIY HIGH SCHOOL SATAN KA PURWA,67,75,84,64,2024-25,84,2025-26,64,123.81,Recently Peaked
AMETHI - CSM NAGAR,SINGHPUR,9731700509,RAJKIY HIGH SCHOOL SINGHPUR,63,85,100,84,2024-25,100,2022-23,63,116.0,Recently Peaked
AMETHI - CSM NAGAR,SINGHPUR,9731700807,RAJKIY INTER COLLGE INHAUNA,182,183,148,156,2023-24,183,2024-25,148,114.75,Recovering
AMETHI - CSM NAGAR,SINGHPUR,9731703504,RAJKIYA INTER COLLEGE RAJA FATEHPUR,547,639,710,647,2024-25,710,2022-23,547,108.87,Recently Peaked
AMETHI - CSM NAGAR,TILOI,9732202304,RAJKIY HIGH SCHOOL CHITRA BUZURG,43,24,38,43,2022-23,43,2023-24,24,100.0,V Shape
AMETHI - CSM NAGAR,TILOI,9732201003,RAJKIY HIGH SCHOOL SAVITAPUR,60,62,105,124,2025-26,124,2022-23,60,0.0,Peak Now
AMETHI - CSM NAGAR,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,138,109,94,66,2022-23,138,2025-26,66,152.17,Post Peak Severe
AURAIYA,ACHHALDA,9320903205,GOVT. U.M.V. BHAISOL ACHHALDA,72,60,64,68,2022-23,72,2023-24,60,105.56,Recovering
AURAIYA,ACHHALDA,9320900115,GOVT. U.M.V. PATA,69,70,57,51,2023-24,70,2025-26,51,127.14,Post Peak Severe
AURAIYA,AIRWAKATRA,9320400109,GOVT GIRLS INTER COLLEGE AIRWAKATRA,14,13,18,18,2024-25,18,2023-24,13,100.0,Recently Peaked
AURAIYA,AIRWAKATRA,9320402003,GOVT. U.M.V. KARMUPUR,21,25,40,43,2025-26,43,2022-23,21,0.0,Peak Now
AURAIYA,AURAIYA,9320100103,GOVT INTER COLLEGE AYANA  AURAIYA,149,182,158,179,2023-24,182,2022-23,149,101.65,Recovering
AURAIYA,AURAIYA,9320103803,GOVT. U.M.V. MAANPUR,53,66,75,101,2025-26,101,2022-23,53,0.0,Peak Now
AURAIYA,AURAIYA,9320107404,GOVT. U.M.V. NASIRABAD,62,69,61,57,2023-24,69,2025-26,57,117.39,Post Peak Severe
AURAIYA,BHAGYANAGAR,9320600102,GOVT. GIRLS INTER COLLEGE DIBIYAPUR,138,104,107,109,2022-23,138,2023-24,104,121.01,Recovering
AURAIYA,BHAGYANAGAR,9320608206,GOVT. U.M.V. JUA,53,37,34,34,2022-23,53,2024-25,34,135.85,Post Peak Severe
AURAIYA,BHAGYANAGAR,9320602003,GOVT. U.M.V. TURKIPUR,20,32,24,25,2023-24,32,2022-23,20,121.88,Recovering
AURAIYA,BIDHUNA,9320500105,GOVT.  GIRLS INTER COLLEGE  BIDHURA,165,202,259,293,2025-26,293,2022-23,165,0.0,Peak Now
AURAIYA,BIDHUNA,9320500271,GOVT. U.M.V. BHATAULI,38,35,41,71,2025-26,71,2023-24,35,0.0,Peak Now
AURAIYA,SAHAR,9320811706,GOVT GIRLS INTER COLLEGE SAHAR AURAIYA,29,17,17,14,2022-23,29,2025-26,14,151.72,Post Peak Severe
AURAIYA,SAHAR,9320805603,GOVT. U.M.V. BIJHAI SAHAR,82,99,127,141,2025-26,141,2022-23,82,0.0,Peak Now
AURAIYA,SAHAR,9320801103,GOVT. U.M.V. LAKHUNO,27,33,53,57,2025-26,57,2022-23,27,0.0,Peak Now
AZAMGARH,ATRAULIYA,9611201913,GOVT GIRLS INTER COLLEGE,411,442,330,267,2023-24,442,2025-26,267,139.59,Post Peak Severe
AZAMGARH,AZAMGRAH,9612301305,GOVT B.I.COLLEGE RAIDOPUR,1011,995,726,774,2022-23,1011,2024-25,726,123.44,Recovering
AZAMGARH,AZMATGARH,9611604608,GOVT. GIRLS HR. SECODARY SCHOOL,613,650,659,659,2024-25,659,2022-23,613,100.0,Recently Peaked
AZAMGARH,BILARIYAGANJ,9611515002,GOVT.GIRLS INTER COLLEGE BAGWAR,190,146,153,178,2022-23,190,2023-24,146,106.32,Recovering
AZAMGARH,FOOLPOOR,9610806403,RAJKIYA UMV FATTEPUR FOOLPUR,70,78,80,64,2024-25,80,2025-26,64,120.0,Recently Peaked
AZAMGARH,HARRAIYA,9611410802,G.B.U.M.V. PIHAR,78,34,39,40,2022-23,78,2023-24,34,148.72,Recovering
AZAMGARH,HARRAIYA,9611400505,MAHANT RAMASHRYA DAS GOVT. I.C.,329,264,248,202,2022-23,329,2025-26,202,138.6,Post Peak Severe
AZAMGARH,HARRAIYA,9611400703,R.U.M.V. ETAILY,181,53,30,28,2022-23,181,2025-26,28,184.53,Post Peak Severe
AZAMGARH,JAHANAGANJ,9612000408,GOVT HSS MITTUPUR,124,101,136,166,2025-26,166,2023-24,101,0.0,Peak Now
AZAMGARH,JAHANAGANJ,9612014707,RAJKIYA U.M.V. KANAILA,148,143,122,109,2022-23,148,2025-26,109,126.35,Post Peak Severe
AZAMGARH,LALGANJ,9610401511,G.G.I.C. DEVGAON,136,124,141,160,2025-26,160,2023-24,124,0.0,Peak Now
AZAMGARH,LALGANJ,9610400611,G.G.I.C. KATGHAR LALGANJ,198,185,194,212,2025-26,212,2023-24,185,0.0,Peak Now
AZAMGARH,LALGANJ,9610405403,RAJKIYA UMV RASULPUR,117,109,116,126,2025-26,126,2023-24,109,0.0,Peak Now
