District,Block,School_ID,School_Name,Overall_Growth_pct,Girls_Growth_pct,Boys_Growth_pct,All_Reasons_Detected,Primary_Reason,Confidence_Level,Classes_Affected,Genders_Affected
AMBEDKAR NAGAR,TANDA,9480911206,GOVT VIDYUT PAR IC VIDYUTNAGAR,-6.77,7.02,-15.93,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C8, C10, C11, C12",Boys
AMETHI - CSM NAGAR,AMETHI,9730208001,GGIC AMETHI,-41.95,-41.95,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10, C11, C12",Girls
AMETHI - CSM NAGAR,AMETHI,9730200109,RAJKIYE HIGH SCHOOL,-32.96,-12.86,-45.87,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
AMETHI - CSM NAGAR,BAHADURPUR,9732500101,GGIC JAIS,-16.06,-16.06,,Infrastructure/External Shock,Infrastructure/External Shock,MEDIUM,"C8, C9, C10",Girls
AMETHI - CSM NAGAR,BAHADURPUR,9732502201,GIC FURSATGANJ,-18.5,-18.46,-18.53,Migration/Population Shift,Migration/Population Shift,HIGH,"C8, C9, C10, C11, C12","Girls, Boys"
AMETHI - CSM NAGAR,BAHADURPUR,9732500102,GIC JAIS,-17.53,5.38,-31.01,Economic/Child Labour,Economic/Child Labour,MEDIUM,"C8, C9, C10",Boys
AMETHI - CSM NAGAR,BAHADURPUR,9732500206,RAJKEEYA HIGH SCHOOL,-5.26,-30.77,25.58,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C10,Girls
AMETHI - CSM NAGAR,BHADAR,9732704801,GGIC SONARI KALA,-9.09,-9.09,,Undetermined,Undetermined,LOW,"C8, C9, C10",Girls
AMETHI - CSM NAGAR,BHADAR,9732701209,GIC TIKARMAFI,-6.48,13.7,-12.35,Economic/Child Labour,Economic/Child Labour,MEDIUM,"C8, C9, C10, C12",Boys
AMETHI - CSM NAGAR,BHADAR,9732706101,RAMABAI AMBEDKAR GGIC,-14.71,-21.32,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock, Upper Class Only Decline",Higher Education Transition Issue,HIGH,"C8, C10, C11, C12",Girls
AMETHI - CSM NAGAR,GAURIGANJ,9731904502,GGIC GAURIGANJ,-19.39,-19.39,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C9, C10, C12",Girls
AMETHI - CSM NAGAR,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,-24.29,-34.29,-14.29,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
AMETHI - CSM NAGAR,JAGDISHPUR,9730104402,RAJKIY HIGH SCHOOL RANIGANJ,-62.9,-37.84,-100.0,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
