District,Block,School_ID,School_Name,Overall_Growth_pct,Girls_Growth_pct,Boys_Growth_pct,All_Reasons_Detected,Primary_Reason,Confidence_Level,Classes_Affected,Genders_Affected
CHANDAULI,BARAHANI,9660705803,GHS DAITHA,-10.34,-6.9,-13.79,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C9,"Girls, Boys"
CHANDAULI,CHAKIYA,9660206803,GHS GARALA,-16.28,-18.75,-13.16,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
CHANDAULI,NAUGARH,9660901102,GHS DEWARI KALA,-21.88,22.73,-45.24,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,Boys
CHANDAULI,NAUGARH,9660902003,GHS GOLABAD,-32.8,-29.47,-36.26,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
CHANDAULI,NAUGARH,9660900503,GHS LAUWARI KALA,-8.33,-5.26,-10.34,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C9,"Girls, Boys"
CHANDAULI,NAUGARH,9660907306,GOVT. INTER COLLEGE NAUGARH,-22.09,-22.47,-21.69,Migration/Population Shift,Migration/Population Shift,MEDIUM,"C9, C10, C11, C12","Girls, Boys"
CHANDAULI,SHAHABGANJ,9660602903,GHS KHAKHADA,-21.57,-6.25,-28.57,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
CHANDAULI,SHAHABGANJ,9660608003,GHS MUSAKHAND,-17.48,-1.54,-30.77,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
CHITRAKOOT,CHITRAKOOT,9410106908,GOVT. HIGH SCHOOL RAULI KALYANPUR,-6.57,9.21,-26.23,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,Boys
CHITRAKOOT,CHITRAKOOT,9410103404,GOVT. HIGH SCHOOL SEMARIYA CHARANDASI,-18.56,-15.0,-24.32,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
CHITRAKOOT,CHITRAKOOT,9410109503,GOVT. HIGH SCHOOL SHIVRAMPUR,-26.57,-29.33,-23.53,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
CHITRAKOOT,MANIKPUR,9410507201,G.G.I.C. MANIKPUR,-12.5,-12.5,,Undetermined,Undetermined,LOW,"C10, C12",Girls
CHITRAKOOT,MANIKPUR,9410504607,GOVT. HIGH SCHOOL BADI MADAIYAN,-20.39,12.77,-48.21,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
CHITRAKOOT,MANIKPUR,9410500910,GOVT. HIGH SCHOOL ETAWA DUDAILA,-36.89,-29.09,-43.28,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
CHITRAKOOT,MAU,9410304803,GOVT. HIGH SCHOOL MURKA,-25.35,-24.44,-26.92,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
CHITRAKOOT,PAHADI,9410203801,GOVT. HIGH SCHOOL MAMSI BUJURGA,-14.86,-75.0,42.11,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10",Girls
CHITRAKOOT,RAM NAGAR,9410401803,GOVT. HIGH SCHOOL SIRAWAL,-12.5,-1.54,-21.52,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
DEORIA,BARAHAJ,9601703905,RAJKIY U.M.V.LABAKANI GANGA,-38.66,8.7,-68.49,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
DEORIA,BHATNI,9600803917,RAJIYA U.M.V.BHARHE CHAURA,-24.14,-41.18,0.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Social/Gender Barrier,HIGH,"C9, C10",Girls
DEORIA,DEORIA NAGAR KSHETRA,9601502903,KASTUEBA RAJKIY GIRLS INTER COLLEGE DEORIA,-13.85,-13.85,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
DEORIA,GAURI BAZAR,9600108705,G.G.H.S. SCHOOL INDUPUR,-15.16,-15.16,,Undetermined,Undetermined,LOW,"C9, C10, C11, C12",Girls
DEORIA,GAURI BAZAR,9600109103,RAJKIY U.M.V.SAVANA  LAXMAN,-21.57,-5.36,-41.3,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
DEORIA,PATTHRDEVA,9600503905,GOVT.H.S.SCHOOL MALGHOT BIRAICHA,-40.54,-57.69,0.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10",Girls
DEORIA,PATTHRDEVA,9600503804,R .UMV RAMPUR MAHUARI,-58.77,-57.89,-59.65,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
DEORIA,RUDRAPUR,9600701103,RAJKIYA U.M.V.GONAH SURTPURA,-15.38,-37.5,20.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Social/Gender Barrier,HIGH,"C9, C10",Girls
DEORIA,SALIMPUR,9600405612,GOVT. G. INTER COLLEGE,-21.43,-21.43,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock, Upper Class Only Decline",Higher Education Transition Issue,HIGH,"C8, C11, C12",Girls
ETAH,ALIGANJ,9170111309,CHAMPADEVI G.G.I.C. RAJA KA RAMPUR,-5.18,-5.38,,Undetermined,Undetermined,LOW,"C9, C10, C11",Girls
ETAH,AWAGARH,9170306407,GOVERNMENT HSS KUSAWA,-37.5,-53.33,-17.14,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Social/Gender Barrier,HIGH,C9,"Girls, Boys"
ETAH,ETAH (URBAN),9171602102,GOV. GIRLS INTER COLEEGE ETAH,-34.48,-34.48,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
ETAH,ETAH (URBAN),9171602303,GOV. INTER COLLEGE ETAH,-13.86,,-19.4,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Boys
ETAH,JAITHARA,9170504504,GOVERNMENT HIGH SCHOOL LALPUR JAHANGIRABAD,-26.67,-50.0,20.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C10,Girls
ETAH,JALESAR,9170605204,GOVERNMENT HIGHSCHOOL MAHANMAI,-23.58,-19.35,-29.55,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
ETAH,JALESAR (URBAN),9171801702,RAJKIYA BALIKA INTER COLLAGE,-15.65,-16.01,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C9, C10, C11",Girls
ETAH,MARHARA,9170806803,GOVT H.S.V ALAMPUR,-10.45,-2.56,-21.43,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
ETAH,NIDHAULI KALAN,9170908304,GOVERNMENT GIRLS INTER COLLEGE RAM NAGAR,-10.13,-10.13,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C9, C10, C11",Girls
ETAWAH,BARHPURA,9310500108,GOVT GIRLS INTER COLLEGE UDDI,-16.08,-16.08,,Undetermined,Undetermined,LOW,"C9, C10, C11, C12",Girls
ETAWAH,CHAKARNAGAR,9310800120,GOVT UPS JAUNANI,-15.87,0.0,-27.78,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C10,Boys
ETAWAH,ETAWAH NAGAR CHETRA,9310903242,GOVT INTER COLLEGE ETAWAH,-33.56,-94.89,-27.31,"Migration/Population Shift, Social/Gender Barrier",Migration/Population Shift,HIGH,"C8, C9, C10, C11, C12","Girls, Boys"
ETAWAH,ETAWAH NAGAR CHETRA,9310907904,GOVT. GIRLS INTER COLLEGE,-11.88,-11.88,,Undetermined,Undetermined,LOW,"C8, C9, C10, C12",Girls
ETAWAH,JASWANT NAGAR,9310410923,GOVT INTER COLLEGE DHARWAR ETAWAH,-12.71,-34.62,30.0,"Social/Gender Barrier, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C10, C12",Girls
ETAWAH,MAHEWA,9310201706,GOVT UMV LUDHIYANI,-6.7,-3.19,-10.59,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
ETAWAH,SAIFAI,9310601706,AMITAB BACHCHAN GOVT. INTER COLLEGE SAIFAI,-6.85,-100.0,-5.56,Social/Gender Barrier,Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
ETAWAH,SAIFAI,9310601722,GOVT GIRLS INTER COLLEGE SAIFAI,-6.48,-6.48,,Undetermined,Undetermined,LOW,"C9, C10, C12",Girls
FAIZABAD,AMANIGANJ,9470109407,GOVERNMENT HIGH SCHOOL MANUDEEH,-29.69,-26.25,-35.42,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
FAIZABAD,AYODHYA TOWN AREA,9471502405,"GGIC, FAIZABAD",-17.53,-17.53,,Undetermined,Undetermined,LOW,"C9, C10, C11, C12",Girls
FAIZABAD,AYODHYA TOWN AREA,9471501703,"RAJKIYA INTER COLLEGE, FAIZABAD",-26.75,-100.0,-26.36,"Migration/Population Shift, Social/Gender Barrier, Low Enrollment at Board Class Boundary",Migration/Population Shift,HIGH,"C8, C9, C10, C11, C12","Girls, Boys"
FAIZABAD,AYODHYA TOWN AREA,9471300102,TULSI G.G.I.C. AYODHYA,-22.34,-22.34,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C9, C10, C11, C12",Girls
FAIZABAD,MASAUDHA,9470401503,GGIC GAUHANIYA,-26.15,-26.15,,Low Enrollment at Board Class Boundary,Low Enrollment at Board Class Boundary,MEDIUM,"C8, C9, C10, C11, C12",Girls
FAIZABAD,MAYA,9471400204,RAJKIYA BALIKA INTER COLLEGE,-35.65,-35.65,,Infrastructure/External Shock,Infrastructure/External Shock,MEDIUM,"C8, C9, C10, C12",Girls
FAIZABAD,TARUN,9471101610,G . G . H . S . SCHOOL,-62.9,-62.9,,Undetermined,Undetermined,LOW,"C9, C10, C11, C12",Girls
FARRUKHABAD,NAG. KSH.FAR.BAD,9290703803,RAJKEY BALIKA INTER COLLEGE FATEHGARH,-20.33,-20.33,,Undetermined,Undetermined,LOW,"C9, C10, C11, C12",Girls
FARRUKHABAD,NAG. KSH.FAR.BAD,9290705325,RAJKEY INTER COLLEGE FATEHGARH,-42.91,,-42.91,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Boys
FARRUKHABAD,NAWABGANJ,9290306206,RAM DARSHANI RAJKEEYA INTER COLLEGE,-8.74,2.83,-17.54,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C8, C9, C10, C11",Boys
FARRUKHABAD,SHAMSABAD,9290209907,Pt Deendayal Upadhyay Govt Model Inter College Roshanabad,-18.57,-15.64,-21.62,"Migration/Population Shift, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C10, C12","Girls, Boys"
FATEHPUR,AIRAYAN,9421003603,RAJKIYE U.M.V. IJURA KHURD,-46.67,-50.0,-43.24,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
FATEHPUR,AMAULI,9420208603,RAJKIYE U.M.V.RITHWA,-13.89,12.5,-35.0,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C9,Boys
FATEHPUR,ASHOTHAR,9420905205,RAJKIYE UCHHTAR MADHYAMIK VIDALAY SARKANDI ASOTHER,-10.42,13.33,-50.0,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,Boys
FATEHPUR,BAHUA,9420700923,Pt Deendayal Upadhyay Govt Model Inter College Bahua,-12.13,22.35,-27.64,Economic/Child Labour,Economic/Child Labour,MEDIUM,"C8, C9, C10",Boys
FATEHPUR,BAHUA,9420705004,RAJKIYE H.S.MAHNA,-34.29,-44.0,-10.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
FATEHPUR,DEOMAI,9420101103,Rajkiy uchtar madyamik vidyalya bijauli,-10.26,-15.91,-2.94,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
FATEHPUR,KHAJUHA,9420300108,RAJKIYE U M V AJMATPUR,-41.22,-39.24,-43.48,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
FATEHPUR,KHAJUHA,9420303007,RAJKIYE U M V LALPUR DARAUTA,-6.41,21.21,-26.67,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
FATEHPUR,MALAWAN,9420410514,GOVT. H.S SCHOOL DEEGH,-25.33,-30.0,-16.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
FATEHPUR,MALAWAN,9420404106,RAJKIYE UCCHTAR MADHMIK VIDYALAY CHAKKI,-13.67,-18.31,-8.82,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C9,"Girls, Boys"
FATEHPUR,NAGAR FATEHPUR,9421402518,G.G.I.C.,-6.76,-6.76,,Undetermined,Undetermined,LOW,"C8, C9, C10, C12",Girls
FATEHPUR,NAGAR FATEHPUR,9421400627,RAJKIYE U.M.VIDAYALAYE ANDULI,-51.61,-66.67,-30.77,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
FIROZABAD,ARAWN,9160700106,GOVT. HIGH SCHOOL KARHARA,-5.63,-22.5,16.13,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C10,Girls
FIROZABAD,ARAWN,9160702904,GOVT. HIGH SCHOOL SOTHARA,-20.8,-17.46,-24.19,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
FIROZABAD,EKA,9160908003,GOVT. HIGH SCHOOL BATOLAR 1381,-11.43,72.73,-50.0,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,Boys
FIROZABAD,FIROZABAD,9160108003,GOVT. HIGH SCHOOL DABRAI 1361,-5.34,6.31,-18.95,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C9,Boys
FIROZABAD,MADANPUR,9160600306,GOVT. HIGH SCHOOL NAGLA KESARI,-18.07,-4.44,-34.21,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
FIROZABAD,SHIKOHABAD,9160202503,GOVT. INTER COLLEGE NASIRPUR,-31.36,-20.0,-39.51,"Migration/Population Shift, Economic/Child Labour",Migration/Population Shift,MEDIUM,"C8, C9, C10, C11","Girls, Boys"
FIROZABAD,TUNDLA,9160311004,GOVT. GIRLS INTER COLLEGE 1014,-9.37,-9.37,,Undetermined,Undetermined,LOW,"C8, C9, C10, C12",Girls
FIROZABAD,TUNDLA,9160300304,GOVT. HIGH SCHOOL DHIRPURA,-50.0,-35.48,-61.54,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
GAUTAM BUDDHA NAGAR,DANKAUR,9100313807,PT D U GOVT MODEL INTER COLLEGE CHITI,-7.56,23.58,-21.43,"Low Enrollment at Board Class Boundary, Economic/Child Labour",Low Enrollment at Board Class Boundary,MEDIUM,"C8, C10, C11, C12",Boys
GHAZIABAD,BHOJPUR,9090404619,GOVT HIG SEC NAHALI,-5.56,-8.7,-3.23,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
GHAZIABAD,GHAZIABAD (MUN.AREA),9090900315,RAJKIYA  INTER  COLLEGE NAND GRAM,-21.6,-18.72,-23.38,Migration/Population Shift,Migration/Population Shift,MEDIUM,"C8, C9, C10, C11","Girls, Boys"
GHAZIABAD,MURAD NAGAR,9090302013,GOVT HIGHER SEC VIDYALAY MATOOR,-7.06,141.18,-44.12,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C9,Boys
GHAZIABAD,RAZAPUR,9090200110,GOVT HIGH SCHOOL NOORPUR,-10.4,-26.98,6.45,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10",Girls
GHAZIPUR,BIRNO,9650500915,GOVT. HIGH SCHOOL BIRNO GHAZIPUR,-45.82,-33.33,-65.31,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
GHAZIPUR,MANIHARI,9650211707,GOVT GIRLS. U.M.V. BUZURGA,-54.55,-54.55,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C9, C10, C11",Girls
GHAZIPUR,MANIHARI,9650207206,RAJKIYA HIGH SCHOOL SAURI,-6.78,-9.0,-3.9,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
GHAZIPUR,MANIHARI,9650215604,RAJKIYA U.M.V MADHUBAN GHAZIPUR,-25.49,-55.26,61.54,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Social/Gender Barrier,HIGH,C9,Girls
GHAZIPUR,NAGAR CHHETRA,9651705908,GOVT.CITY I.C.GHAZIPUR,-29.42,,-29.42,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Boys
GHAZIPUR,SADAT,9651600113,GOVT. GIRLS I.C. SADAT,-14.93,-14.93,,Undetermined,Undetermined,LOW,"C8, C9, C12",Girls
GHAZIPUR,SAIDPUR,9650706507,GOVT. U.M.V. MAUDHA,-14.47,-22.0,0.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10",Girls
GONDA,BELSAR,9531200505,G.H.S. LAUWWA TEPRA,-8.33,12.5,-30.26,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C9,Boys
GONDA,GONDA(MUN. CORP.),9531101002,G.G.I.C. GONDA`,-17.03,-17.03,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
GONDA,HALDHARMAU,9531307304,G.H.S. PAHARAPUR,-16.24,-6.73,-26.88,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
GONDA,JHANJHRI,9530914403,G.H.S. DAULATPUR,-32.05,12.9,-61.7,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
GONDA,JHANJHRI,9530910502,G.H.S. JAMDARA,-23.61,-31.58,6.67,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10",Girls
GONDA,TARABGANJ,9530403403,G.H.S. RANGI,-5.56,40.0,-44.83,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C9,Boys
GORAKHPUR,BAANSGAON,9580413514,GOVT INTER COLLEGE BANSGAON,-20.13,-20.13,,Undetermined,Undetermined,LOW,"C9, C10",Girls
GORAKHPUR,BELGHAT,9581700303,RAJKIY H. SCHOOL LAKHUA PAKAD BELGHAT,-28.57,-22.22,-33.33,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
GORAKHPUR,CAMPIARGANJ,9581602404,ABHINAV VIDYALAY NETWAR BAZAR,-16.22,16.22,-48.65,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C8, C9, C10, C11",Boys
GORAKHPUR,CHARGANWA,9581000103,Govt. High School Badi Retawahiya,-32.11,-20.97,-46.81,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
GORAKHPUR,CHARGANWA,9581001003,RAJKIY H. SCHOOL RAJAHIE CHARGANWA,-6.79,28.12,-29.59,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,Boys
GORAKHPUR,KAUDIRAM,9581501604,RAJKIY H. SCHOOL BELIPAR KAUDIRAM,-9.29,-11.11,-6.67,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
GORAKHPUR,KHAJNI,9580702902,SMT CHAMPA DEVI RAJKIY  I C HARNHIE,-20.78,-20.78,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
GORAKHPUR,NAGAR KSHETRA,9580203302,A.D. GOVT. GIRLS I. C. PURDILPUR BANK ROAD,-23.18,-23.18,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
GORAKHPUR,NAGAR KSHETRA,9580213902,GOVT JUBILEE INTER COLLEGE BUXIPUR,-33.07,,-33.07,Undetermined,Undetermined,LOW,"C9, C10, C11, C12",Boys
GORAKHPUR,PIPRAICH,9581902303,GOVT. HIGH SCHOOL GOVINDPUR PIPRAICH,-8.7,-32.17,30.43,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C9,Girls
GORAKHPUR,PIPRAULI,9580104003,GOVT. HIGH SCHOOL KOLHUI PIPRAULI,-40.38,-23.08,-57.69,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
GORAKHPUR,SAHJANWA,9580500106,RAJKIY H. SCHOOL SIHAPAAR SAHJANWA,-42.39,-52.08,-31.82,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
GORAKHPUR,SARDARNAGAR,9580800805,RAJKIY K. I. C. SARRAYA SARDARNAGAR,-10.48,-10.48,,Undetermined,Undetermined,LOW,"C8, C9, C10",Girls
HAMIRPUR (U.P.),MAUDHA,9380310905,GOVT HS KUNEHTA,-8.47,-16.87,-1.06,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
HAMIRPUR (U.P.),NP HAMIRPUR,9380802001,GGIC HAMIRPUR,-19.36,-19.36,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11",Girls
HAMIRPUR (U.P.),NP RATH,9381002002,GOVT. GIRL IC RATH,-28.71,-28.71,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
HAMIRPUR (U.P.),SARILA,9380707109,GIC SARILA,-23.58,-22.42,-24.44,"Migration/Population Shift, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Migration/Population Shift,MEDIUM,"C9, C10, C11, C12","Girls, Boys"
HAMIRPUR (U.P.),SARILA,9380704303,GOVT HS CHANDAUT,-27.85,-20.97,-32.29,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
HAMIRPUR (U.P.),SUMERPUR,9380201604,GOVT HSS TERHA,-60.87,-60.0,-62.07,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,9750802403,GOVT INTER COLLAGE BRAJGHAT GARHMUKTESWAR,-5.04,-5.97,-4.17,"Migration/Population Shift, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C9, C11","Girls, Boys"
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,9750800405,GOVT INTER COLLEGE SHERPUR  HAPUR,-44.92,-41.07,-48.39,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
HAPUR (PANCHSHEEL NAGAR),HAPUR,9750502107,GOVERENMENT INTER COLLEGE MURSHADPUR HAPUR,-13.89,-12.39,-15.11,"Migration/Population Shift, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C10, C11","Girls, Boys"
HAPUR (PANCHSHEEL NAGAR),HAPUR,9750501303,GOVT H SEC LAL PUR,-17.86,-17.07,-18.6,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
HAPUR (PANCHSHEEL NAGAR),SIMBHAWALI,9750705303,GOVERENMENT INTER COLLEGE MURADPUR HAPUR,-49.75,-53.06,-46.6,"Migration/Population Shift, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C9, C10, C11","Girls, Boys"
HARDOI,AHIRORI,9250610602,RAJKIYA ALLAHADADPUR AHIRORI,-8.0,-20.0,10.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,Girls
