District,Block,School_ID,School_Name,C8,C9,C10,C11,C12,Total,Min_Class,Max_Class,Avg_Class_Size,Imbalance_Ratio,Under_Enrolled_Classes,Overcrowded_Classes,Dominant_Class,Class_Strength_Tag
AMBEDKAR NAGAR,BHIYAON,9480406306,GOVT HIGHER SEC SCH RAMGARH,0,69,25,0,0,94,0,69,18.8,69000.0,3,1,Class 9,Ghost Classes
AMBEDKAR NAGAR,BHIYAON,9480403803,PT. D.D.U GOVT. MODAL INTER COLLEGE INDHANA,49,125,79,125,135,513,49,135,102.6,2.76,0,4,Class 12,Overcrowded
AMBEDKAR NAGAR,JAHANGIRGANJ,9480700805,GOVT GIRLS INTER COLLEGE TENDUAI KALA,0,75,74,89,77,315,0,89,63.0,89000.0,1,4,Class 11,Overcrowded
AMBEDKAR NAGAR,JAHANGIRGANJ,9480709005,GOVT HIGHER SEC SCH AHIRAULI RANIMAU,0,60,78,0,0,138,0,78,27.6,78000.0,3,1,Class 10,Ghost Classes
AMBEDKAR NAGAR,JAHANGIRGANJ,9480702111,GOVT HIGHER SEC SCH JAHANGIRGANJ,0,87,67,0,0,154,0,87,30.8,87000.0,3,2,Class 9,Ghost Classes
AMBEDKAR NAGAR,JAHANGIRGANJ,9480704404,GOVT HIGHER SEC SCHOOL KAMHARIA,0,42,38,0,0,80,0,42,16.0,42000.0,3,0,Class 9,Ghost Classes
AMBEDKAR NAGAR,JALALPUR,9480602120,GOVT G INTER COLLEGE JALALPUR,38,86,127,61,55,367,38,127,73.4,3.34,0,3,Class 10,Overcrowded
AMBEDKAR NAGAR,JALALPUR,9480607607,GOVT HIGHER SEC SCH BAREPUR,0,26,55,0,0,81,0,55,16.2,55000.0,3,0,Class 10,Ghost Classes
AMBEDKAR NAGAR,JALALPUR,9480605504,GOVT HIGHER SEC SCH BASIYA,0,49,48,0,0,97,0,49,19.4,49000.0,3,0,Class 9,Ghost Classes
AMBEDKAR NAGAR,KATEHARI,9480502308,GOVT HIGHER SEC SCH PAHITIPUR,0,65,92,0,0,157,0,92,31.4,92000.0,3,2,Class 10,Ghost Classes
