District,Block,School_ID,School_Name,Total_2223,Total_2324,Total_2425,Total_2526,Size_Tag,Size_Trend,Closure_Risk_Score,Closure_Risk_Tag
AGRA,BAROLI AHEER,9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,625,588,548,497,Medium School,Getting Smaller,2,At Risk
AGRA,BICHPURI,9150501805,GOVT HSS JAUPURA BICHPURI,175,126,146,162,Small School,Fluctuating,1,Monitor
AGRA,BICHPURI,9150503512,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C MIDAKUR,336,365,358,351,Medium School,Fluctuating,0,Safe
AGRA,ETMADPUR,9150607005,GOVT. HIGH SCHOOL KHUSHAPUR,97,78,93,106,Small School,Fluctuating,1,Monitor
AGRA,ETMADPUR,9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,85,103,100,79,Small School,Fluctuating,1,Monitor
AGRA,ETMADPUR,9150600506,RAJKIYA HIGH SCHOOL MITAWALI,126,125,129,135,Small School,Fluctuating,1,Monitor
AGRA,FATEHABAD,9151104603,GHS NANDAPURA,35,37,39,36,Very Small,Fluctuating,2,At Risk
AGRA,FATEHABAD,9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",66,51,39,41,Very Small,Fluctuating,3,High Risk
AGRA,FATEHPUR  SIKRI,9150701003,GOVT HSS CHAUMA SHAPUR F.SIKARI,56,68,64,52,Small School,Fluctuating,1,Monitor
AGRA,FATEHPUR  SIKRI,9150703903,RAJKIYA HIGH SCHOOL OLENDA,43,47,52,50,Very Small,Fluctuating,1,Monitor
AGRA,JAGNER,9150804903,RAJKIYA HIGH SCHOOL CHANDSAURA,65,64,80,70,Small School,Fluctuating,1,Monitor
AGRA,JAGNER,9150802603,RAJKIYA HIGH SCHOOL RICHOHA,48,38,54,70,Small School,Fluctuating,1,Monitor
AGRA,JAITPUR  KALAN,9150909801,GOVERNMENT  INTER COLLEGE KACHHPURA AGRA,66,49,41,58,Small School,Fluctuating,1,Monitor
AGRA,JAITPUR  KALAN,9150909606,GOVT. HIGH SCHOOL CHITRAHAT,93,91,95,85,Small School,Fluctuating,1,Monitor
AGRA,KHANDOLI,9151003604,GOVT. GIRLS INTER COLLEGE AWALKHEDA AGRA,490,550,560,515,Large School,Fluctuating,0,Safe
AGRA,KHANDOLI,9151000133,GOVT. HIGH SCHOOL NAGLA JAUHARI AGRA,75,85,83,77,Small School,Fluctuating,1,Monitor
AGRA,KHANDOLI,9151004507,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C SEMRA,179,192,216,181,Small School,Fluctuating,0,Safe
AGRA,KHANDOLI,9151000904,RAJKIYA HIGH SCHOOL KHEDA HAZIPUR,93,71,87,93,Small School,Fluctuating,1,Monitor
AGRA,KHANDOLI,9151004506,RAJKIYA HIGH SCHOOL SAIMRA,129,141,149,184,Small School,Growing,1,Monitor
AGRA,KHERAGARH,9151206612,GOVT. GIRLS INTER COLLEGE  KHERAGARH AGRA,173,155,167,161,Small School,Fluctuating,0,Safe
AGRA,M.C.AGRA CITY,9151714173,GOVT. GIRLS INTER COLLEGE SHAHGANJ AGRA,566,600,567,527,Large School,Fluctuating,0,Safe
AGRA,M.C.AGRA CITY,9151711940,GOVT. INTER COLLEGE SHAHGANJ AGRA,1264,1275,1505,1333,Large School,Fluctuating,0,Safe
AGRA,PINAHAT,9151300704,RAJKIYA HIGH SCHOOL SAVORA,55,65,65,55,Small School,Fluctuating,1,Monitor
AGRA,SAIYAN,9151405312,GOVT. HIGH SCHOOL TEHRA SAIYAN,56,39,53,58,Small School,Fluctuating,1,Monitor
AGRA,SHAMSHABAD,9151507604,"GOVT. HIGH SCHOOL, JAI NAGAR",124,109,122,134,Small School,Fluctuating,1,Monitor
AGRA,SHAMSHABAD,9151508107,RAJKIYA HIGH SCHOOL KOLARA KALAN,67,64,72,74,Small School,Fluctuating,1,Monitor
ALIGARH,AKRABAD,9120205303,RAJKIY HIGH SCHOOL KATHERA,191,165,134,140,Small School,Fluctuating,1,Monitor
ALIGARH,ATRAULI,9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,425,354,277,199,Small School,Getting Smaller,2,At Risk
ALIGARH,ATRAULI,9120305202,RAJKEYA KANYA  INTER COLLEGE  NARONA,396,406,373,326,Medium School,Fluctuating,0,Safe
ALIGARH,ATRAULI,9120305706,RAJKEYA KANYA INTER COLLEGE CHANDAULA,403,364,388,355,Medium School,Fluctuating,0,Safe
ALIGARH,BIJAULI,9120502307,Pt Deendayal Upadhyay Govt Model Inter College Badesara,120,122,145,148,Small School,Growing,0,Safe
ALIGARH,BIJAULI,9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,116,87,76,49,Very Small,Getting Smaller,4,Critical
ALIGARH,CHANDAUS,9120708307,KIRAN DEVI RAJKEYA INTER COLLEGE BAMOTI,169,138,193,177,Small School,Fluctuating,0,Safe
ALIGARH,CHANDAUS,9120703804,Pt Deendayal Upadhyay Govt Model Inter College,199,250,234,259,Medium School,Fluctuating,0,Safe
ALIGARH,CHANDAUS,9120708603,RAJKEYA HIGH SCHOOL PORAI CHANDAUS,49,41,45,51,Small School,Fluctuating,1,Monitor
ALIGARH,CHANDAUS,9120701402,RAJKEYA KANYA INTER COLLEGE DEORAU MOD,265,233,208,226,Medium School,Fluctuating,0,Safe
ALIGARH,DHANIPUR,9120101303,RAJKEYA HIGH SCHOOL RAHSUPUR DHANIPUR,62,52,81,94,Small School,Fluctuating,1,Monitor
ALIGARH,DHANIPUR,9120103509,RAJKEYA KANYA INTER COLLEGE KALAI,231,212,197,184,Small School,Getting Smaller,2,At Risk
ALIGARH,GANGIRI,9120409603,RAJKEY HIGH SCHOOL NAVIPUR,13,11,16,19,Micro School,Fluctuating,2,At Risk
ALIGARH,GANGIRI,9120402514,RAJKEYA HIGH SCHOOL GANGIRI ALIGARH,45,52,62,75,Small School,Growing,1,Monitor
ALIGARH,GANGIRI,9120401935,RAJKEYA KANYA INTER COLLEGE CHHARA,56,51,72,74,Small School,Fluctuating,1,Monitor
ALIGARH,GONDA,9121108003,GAYATRI DEEVI RAJKEY INTER COLLEGE  GORAI,413,441,258,246,Medium School,Fluctuating,0,Safe
ALIGARH,GONDA,9121109505,Pt Deendayal Upadhyay Govt Model Inter College Tamotia,181,180,172,143,Small School,Getting Smaller,2,At Risk
ALIGARH,GONDA,9121108012,SMT SAROJ SINGH RASTREYA I.C.GORAI,579,620,498,489,Medium School,Fluctuating,0,Safe
ALIGARH,IGLAS,9121207805,GOVT. HIGH SCHOOL JAWAR,115,109,107,145,Small School,Fluctuating,1,Monitor
ALIGARH,IGLAS,9121206027,RAJKEY KANYA INTER COLLEGE,203,204,227,246,Medium School,Growing,0,Safe
ALIGARH,IGLAS,9121200701,RAJKEYA HIGH SCHOOL RAITPUR IGLAS,55,34,41,50,Very Small,Fluctuating,1,Monitor
ALIGARH,JAWAN,9120610205,ABHINAY VIDHYALAY CHHLESAR,35,27,19,20,Micro School,Fluctuating,3,High Risk
ALIGARH,JAWAN,9120611803,GHS PIPLAUTH,94,86,95,103,Small School,Fluctuating,1,Monitor
ALIGARH,JAWAN,9120601315,GOVERNTMENT INTER COLLEGE BARAULI,55,83,68,85,Small School,Fluctuating,1,Monitor
ALIGARH,JAWAN,9120609204,RAJKEY KANYA INTER OLLEGE GODHA JAWAN,364,313,291,254,Medium School,Getting Smaller,2,At Risk
ALIGARH,JAWAN,9120601603,RAJKEYA HIGH SCHOOL KHURD KHERA JAWAN,41,44,52,51,Small School,Fluctuating,1,Monitor
ALIGARH,KHAIR,9120805708,Pt Deendayal Upadhyay Govt Model Inter College kherasattu,167,206,237,232,Medium School,Fluctuating,0,Safe
ALIGARH,KHAIR,9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,169,172,144,134,Small School,Fluctuating,0,Safe
ALIGARH,KHAIR,9120802203,VIKRAM VIDHYA MANDIR RAJKEYA INTER COLLEGE BANKNER KHAIR,321,282,256,251,Medium School,Getting Smaller,2,At Risk
ALIGARH,LODHA,9121000503,RAJKEYA HIGH SCHOOL SINGHARPUR,250,249,249,259,Medium School,Fluctuating,1,Monitor
ALIGARH,NAGAR ALIGARH,9121307839,NAURANGI LAL RAJKIYA INTER COLLEGE,1205,1243,1245,1163,Large School,Fluctuating,0,Safe
ALIGARH,NAGAR ALIGARH,9121307973,RAJKEYA KANYA INTER COLLEGE,1148,1182,1189,1142,Large School,Fluctuating,0,Safe
ALIGARH,NAGAR ATRAULI,9121403616,RAJKEYA KANYA INTER COLLEGE ATRAULI,918,848,715,678,Large School,Getting Smaller,2,At Risk
ALIGARH,TAPPAL,9120906504,RAJKEYA HIGH SCHOOL SIMROTHI TAPPAL,57,50,54,84,Small School,Fluctuating,1,Monitor
ALIGARH,TAPPAL,9120911213,SMT REVATI GOYAL RAJKEYA KANYA I.C. JATTA,118,109,99,124,Small School,Fluctuating,0,Safe
AMBEDKAR NAGAR,AKBARPUR,9480110905,G G I C AKBARPUR,123,72,76,68,Small School,Fluctuating,1,Monitor
AMBEDKAR NAGAR,AKBARPUR,9480103707,GOVT GIRLS INTER COLLEGE BEWANA,282,291,351,384,Medium School,Growing,0,Safe
AMBEDKAR NAGAR,AKBARPUR,9480114803,GOVT HIGHER SEC SCH KAHARA SULEMPUR,38,34,45,70,Small School,Fluctuating,1,Monitor
AMBEDKAR NAGAR,AKBARPUR,9480106311,GOVT HIGHER SEC SCH RAMPUR SAKARWARI,34,25,20,35,Very Small,Fluctuating,2,At Risk
AMBEDKAR NAGAR,AKBARPUR,9480107905,GOVT INTER COLLEGE AKBARPUR,492,496,512,396,Medium School,Fluctuating,0,Safe
AMBEDKAR NAGAR,AKBARPUR,9480101909,Pt Deendayal Upadhyay Govt Model Inter College Jafarganj,64,68,123,199,Small School,Growing,0,Safe
AMBEDKAR NAGAR,AKBARPUR,9480100906,SAVITRI BAI FULE GOVT. GIRLS INTER COLLEGE,408,389,409,400,Medium School,Fluctuating,0,Safe
AMBEDKAR NAGAR,BASKHARI,9480200403,GOVT HIGHER SEC SCH LAKHANPUR,96,73,53,64,Small School,Fluctuating,2,At Risk
AMBEDKAR NAGAR,BASKHARI,9480210203,RAJKIYA HIGHER SEC SCH00L TARAULI MUBARAKPUR,43,28,22,50,Very Small,Fluctuating,1,Monitor
AMBEDKAR NAGAR,BHEETI,9480308014,GOVT GIRLS INTER COLLEGE BHEETI,83,100,148,162,Small School,Growing,0,Safe
AMBEDKAR NAGAR,BHIYAON,9480406306,GOVT HIGHER SEC SCH RAMGARH,69,56,58,94,Small School,Fluctuating,1,Monitor
AMBEDKAR NAGAR,BHIYAON,9480404812,KASTURABA GANDHI G HIGHER SEC SCH RATNA,76,62,71,129,Small School,Fluctuating,1,Monitor
AMBEDKAR NAGAR,BHIYAON,9480403803,PT. D.D.U GOVT. MODAL INTER COLLEGE INDHANA,193,403,472,513,Large School,Growing,0,Safe
AMBEDKAR NAGAR,JAHANGIRGANJ,9480700805,GOVT GIRLS INTER COLLEGE TENDUAI KALA,162,227,314,315,Medium School,Growing,0,Safe
AMBEDKAR NAGAR,JAHANGIRGANJ,9480709005,GOVT HIGHER SEC SCH AHIRAULI RANIMAU,149,107,103,138,Small School,Fluctuating,1,Monitor
AMBEDKAR NAGAR,JAHANGIRGANJ,9480702111,GOVT HIGHER SEC SCH JAHANGIRGANJ,147,95,108,154,Small School,Fluctuating,1,Monitor
AMBEDKAR NAGAR,JAHANGIRGANJ,9480704404,GOVT HIGHER SEC SCHOOL KAMHARIA,61,49,63,80,Small School,Fluctuating,1,Monitor
AMBEDKAR NAGAR,JALALPUR,9480602120,GOVT G INTER COLLEGE JALALPUR,250,296,344,367,Medium School,Growing,0,Safe
AMBEDKAR NAGAR,JALALPUR,9480607607,GOVT HIGHER SEC SCH BAREPUR,61,49,75,81,Small School,Fluctuating,1,Monitor
AMBEDKAR NAGAR,JALALPUR,9480605504,GOVT HIGHER SEC SCH BASIYA,90,81,92,97,Small School,Fluctuating,1,Monitor
AMBEDKAR NAGAR,KATEHARI,9480502308,GOVT HIGHER SEC SCH PAHITIPUR,154,141,154,157,Small School,Fluctuating,1,Monitor
AMBEDKAR NAGAR,KATEHARI,9480501904,PT DEENDAYAL UPADHYAY GOVT MODAL IC PAHITIPUR KHAJOORDEEH AMBEDKAR NAGAR,251,215,221,325,Medium School,Fluctuating,0,Safe
AMBEDKAR NAGAR,KATEHARI,9480508707,RAJKEY HIGHSCHOOL ASHRAFPUR BARAWAN,112,116,132,138,Small School,Growing,1,Monitor
AMBEDKAR NAGAR,RAMNAGAR,9480811703,GOVT HIGHER SEC SCH CHANDANPUR,80,81,68,84,Small School,Fluctuating,1,Monitor
AMBEDKAR NAGAR,RAMNAGAR,9480802223,PT. D.D.U. GOVT. MODAL INTER COLLEGE RAMNAGAR,60,175,335,557,Large School,Growing,0,Safe
AMBEDKAR NAGAR,RAMNAGAR,9480814301,RAJKEEYA HIGHER SEC SCH AMADERVESPUR,46,52,78,107,Small School,Growing,1,Monitor
AMBEDKAR NAGAR,RAMNAGAR,9480814201,SMT SUMITRA DEVI SHUKLA GOVT GIRLS INTER COLLEGE ALAPUR,226,206,185,168,Small School,Getting Smaller,2,At Risk
AMBEDKAR NAGAR,TANDA,9480917501,GOVT GIRLS INTER COLLEGE TANDA,148,127,151,160,Small School,Fluctuating,0,Safe
AMBEDKAR NAGAR,TANDA,9480908706,GOVT HIGHER SEC SCH DIHWA MOHIUDDINPUR,65,58,51,57,Small School,Fluctuating,1,Monitor
AMBEDKAR NAGAR,TANDA,9480900604,GOVT HIGHER SEC SCH FARIDPUR KUTUB,127,110,83,112,Small School,Fluctuating,1,Monitor
AMBEDKAR NAGAR,TANDA,9480911206,GOVT VIDYUT PAR IC VIDYUTNAGAR,606,566,567,565,Large School,Fluctuating,0,Safe
AMBEDKAR NAGAR,TANDA TOWN AREA,9481002001,GOVT. GIRLS INTER COLLEGE NAGARPALIKA PARISHAD TANDA,37,81,132,160,Small School,Growing,0,Safe
AMETHI - CSM NAGAR,AMETHI,9730208001,GGIC AMETHI,584,444,423,339,Medium School,Getting Smaller,2,At Risk
AMETHI - CSM NAGAR,AMETHI,9730200109,RAJKIYE HIGH SCHOOL,179,151,119,120,Small School,Fluctuating,1,Monitor
AMETHI - CSM NAGAR,BAHADURPUR,9732500101,GGIC JAIS,442,402,504,371,Medium School,Fluctuating,0,Safe
AMETHI - CSM NAGAR,BAHADURPUR,9732502201,GIC FURSATGANJ,1611,1578,1477,1313,Large School,Getting Smaller,2,At Risk
AMETHI - CSM NAGAR,BAHADURPUR,9732500102,GIC JAIS,251,203,209,207,Medium School,Fluctuating,0,Safe
AMETHI - CSM NAGAR,BAHADURPUR,9732500904,Pt Deendayal Upadhayay Govt Model Inter College Udawa,157,128,308,375,Medium School,Fluctuating,0,Safe
AMETHI - CSM NAGAR,BAHADURPUR,9732500206,RAJKEEYA HIGH SCHOOL,95,95,81,90,Small School,Fluctuating,1,Monitor
AMETHI - CSM NAGAR,BAHADURPUR,9732500609,RAJKIYA HIGH SCHOOL PEEDHI,65,84,118,148,Small School,Growing,1,Monitor
AMETHI - CSM NAGAR,BHADAR,9732704801,GGIC SONARI KALA,506,509,504,460,Medium School,Fluctuating,0,Safe
AMETHI - CSM NAGAR,BHADAR,9732701209,GIC TIKARMAFI,648,670,650,606,Large School,Fluctuating,0,Safe
AMETHI - CSM NAGAR,BHADAR,9732702403,RAJKIYA HIGH SCHOOL,31,24,34,56,Small School,Fluctuating,1,Monitor
AMETHI - CSM NAGAR,BHADAR,9732706101,RAMABAI AMBEDKAR GGIC,136,99,98,116,Small School,Fluctuating,0,Safe
AMETHI - CSM NAGAR,BHETUA,9732303305,RAJKIY INTER COLLEGE,57,99,200,224,Medium School,Growing,0,Safe
AMETHI - CSM NAGAR,GAURIGANJ,9731904502,GGIC GAURIGANJ,428,388,407,345,Medium School,Fluctuating,0,Safe
AMETHI - CSM NAGAR,GAURIGANJ,9731906204,PANDIT DEENDAYAL UPADHYAY RAJKEEYA  MODAL INTER COLLEGE ,67,53,54,70,Small School,Fluctuating,0,Safe
AMETHI - CSM NAGAR,JAGDISHPUR,9730100401,GGIC JAGDISHPUR,223,227,274,298,Medium School,Growing,0,Safe
AMETHI - CSM NAGAR,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,70,64,63,53,Small School,Getting Smaller,3,High Risk
AMETHI - CSM NAGAR,JAGDISHPUR,9730104402,RAJKIY HIGH SCHOOL RANIGANJ,62,33,22,23,Micro School,Fluctuating,3,High Risk
AMETHI - CSM NAGAR,JAMO,9732100101,GGIC JAMO,351,411,432,425,Medium School,Fluctuating,0,Safe
AMETHI - CSM NAGAR,JAMO,9732100205,RAJKIYE HIGH SCHOOL SARMEN,74,73,79,70,Small School,Fluctuating,1,Monitor
AMETHI - CSM NAGAR,JAMO,9732100115,UMA RAMAN INTER COLLEGE,196,241,278,313,Medium School,Growing,0,Safe
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730301001,GGIC MUSAFIRKHANA,1116,1017,918,949,Large School,Fluctuating,0,Safe
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730306605,PANDIT DEENDAYAL U RAJKIYE MODAL INTER COLLEGE,33,103,133,194,Small School,Growing,0,Safe
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730303904,RAJKIY HIGH SCHOOL KANJAS,71,60,43,38,Very Small,Getting Smaller,4,Critical
AMETHI - CSM NAGAR,SANGRAMPUR,9730400406,GGIC SANGRAMPUR,28,20,29,34,Very Small,Fluctuating,2,At Risk
AMETHI - CSM NAGAR,SHAHGARH,9732000201,GGIC SHAHGARH,459,444,435,410,Medium School,Getting Smaller,1,Monitor
AMETHI - CSM NAGAR,SHAHGARH,9732003204,GOVT HIGH SCHOOL AFUIYA,126,127,129,129,Small School,Growing,1,Monitor
AMETHI - CSM NAGAR,SHAHGARH,9732002803,RAJKIY HAIGH SCHOOL,72,56,65,73,Small School,Fluctuating,1,Monitor
AMETHI - CSM NAGAR,SHUKULBAZAR,9731800101,GGIC SHUKUL BAZAR,135,126,102,111,Small School,Fluctuating,0,Safe
AMETHI - CSM NAGAR,SINGHPUR,9731700510,RAJKIY HIGH SCHOOL SATAN KA PURWA,67,75,84,64,Small School,Fluctuating,1,Monitor
AMETHI - CSM NAGAR,SINGHPUR,9731700509,RAJKIY HIGH SCHOOL SINGHPUR,63,85,100,84,Small School,Fluctuating,1,Monitor
AMETHI - CSM NAGAR,SINGHPUR,9731700807,RAJKIY INTER COLLGE INHAUNA,182,183,148,156,Small School,Fluctuating,0,Safe
AMETHI - CSM NAGAR,SINGHPUR,9731703504,RAJKIYA INTER COLLEGE RAJA FATEHPUR,547,639,710,647,Large School,Fluctuating,0,Safe
AMETHI - CSM NAGAR,TILOI,9732202304,RAJKIY HIGH SCHOOL CHITRA BUZURG,43,24,38,43,Very Small,Fluctuating,3,High Risk
AMETHI - CSM NAGAR,TILOI,9732201003,RAJKIY HIGH SCHOOL SAVITAPUR,60,62,105,124,Small School,Growing,1,Monitor
AMETHI - CSM NAGAR,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,138,109,94,66,Small School,Getting Smaller,3,High Risk
AURAIYA,ACHHALDA,9320903205,GOVT. U.M.V. BHAISOL ACHHALDA,72,60,64,68,Small School,Fluctuating,1,Monitor
AURAIYA,ACHHALDA,9320900115,GOVT. U.M.V. PATA,69,70,57,51,Small School,Fluctuating,2,At Risk
AURAIYA,AIRWAKATRA,9320400109,GOVT GIRLS INTER COLLEGE AIRWAKATRA,14,13,18,18,Micro School,Fluctuating,2,At Risk
AURAIYA,AIRWAKATRA,9320402003,GOVT. U.M.V. KARMUPUR,21,25,40,43,Very Small,Growing,2,At Risk
AURAIYA,AURAIYA,9320100103,GOVT INTER COLLEGE AYANA  AURAIYA,149,182,158,179,Small School,Fluctuating,0,Safe
AURAIYA,AURAIYA,9320103803,GOVT. U.M.V. MAANPUR,53,66,75,101,Small School,Growing,1,Monitor
AURAIYA,AURAIYA,9320107404,GOVT. U.M.V. NASIRABAD,62,69,61,57,Small School,Fluctuating,1,Monitor
AURAIYA,BHAGYANAGAR,9320600102,GOVT. GIRLS INTER COLLEGE DIBIYAPUR,138,104,107,109,Small School,Fluctuating,0,Safe
AURAIYA,BHAGYANAGAR,9320608206,GOVT. U.M.V. JUA,53,37,34,34,Very Small,Getting Smaller,3,High Risk
AURAIYA,BHAGYANAGAR,9320602003,GOVT. U.M.V. TURKIPUR,20,32,24,25,Micro School,Fluctuating,2,At Risk
AURAIYA,BIDHUNA,9320500105,GOVT.  GIRLS INTER COLLEGE  BIDHURA,165,202,259,293,Medium School,Growing,0,Safe
AURAIYA,BIDHUNA,9320500271,GOVT. U.M.V. BHATAULI,38,35,41,71,Small School,Fluctuating,1,Monitor
AURAIYA,SAHAR,9320811706,GOVT GIRLS INTER COLLEGE SAHAR AURAIYA,29,17,17,14,Micro School,Getting Smaller,3,High Risk
AURAIYA,SAHAR,9320805603,GOVT. U.M.V. BIJHAI SAHAR,82,99,127,141,Small School,Growing,1,Monitor
AURAIYA,SAHAR,9320801103,GOVT. U.M.V. LAKHUNO,27,33,53,57,Small School,Growing,1,Monitor
AZAMGARH,ATRAULIYA,9611201913,GOVT GIRLS INTER COLLEGE,411,442,330,267,Medium School,Fluctuating,0,Safe
AZAMGARH,AZAMGRAH,9612301305,GOVT B.I.COLLEGE RAIDOPUR,1011,995,726,774,Large School,Fluctuating,0,Safe
AZAMGARH,AZMATGARH,9611604608,GOVT. GIRLS HR. SECODARY SCHOOL,613,650,659,659,Large School,Growing,0,Safe
AZAMGARH,BILARIYAGANJ,9611515002,GOVT.GIRLS INTER COLLEGE BAGWAR,190,146,153,178,Small School,Fluctuating,0,Safe
AZAMGARH,FOOLPOOR,9610806403,RAJKIYA UMV FATTEPUR FOOLPUR,70,78,80,64,Small School,Fluctuating,1,Monitor
AZAMGARH,HARRAIYA,9611410802,G.B.U.M.V. PIHAR,78,34,39,40,Very Small,Fluctuating,3,High Risk
AZAMGARH,HARRAIYA,9611400505,MAHANT RAMASHRYA DAS GOVT. I.C.,329,264,248,202,Medium School,Getting Smaller,2,At Risk
AZAMGARH,HARRAIYA,9611400703,R.U.M.V. ETAILY,181,53,30,28,Very Small,Getting Smaller,4,Critical
AZAMGARH,JAHANAGANJ,9612000408,GOVT HSS MITTUPUR,124,101,136,166,Small School,Fluctuating,1,Monitor
AZAMGARH,JAHANAGANJ,9612014707,RAJKIYA U.M.V. KANAILA,148,143,122,109,Small School,Getting Smaller,3,High Risk
AZAMGARH,LALGANJ,9610401511,G.G.I.C. DEVGAON,136,124,141,160,Small School,Fluctuating,1,Monitor
AZAMGARH,LALGANJ,9610400611,G.G.I.C. KATGHAR LALGANJ,198,185,194,212,Medium School,Fluctuating,0,Safe
AZAMGARH,LALGANJ,9610405403,RAJKIYA UMV RASULPUR,117,109,116,126,Small School,Fluctuating,1,Monitor
AZAMGARH,MAHARAJ GANJ,9610104507,"GOVT ABHINAV SCHOOL, TERAHI",37,41,30,50,Very Small,Fluctuating,2,At Risk
AZAMGARH,MIRZAPUR,9611703403,G.G.H.S.S.SARAIMIR,437,442,444,448,Medium School,Growing,0,Safe
AZAMGARH,MOHAMMADPUR,9611800313,G G I C NANDAV,25,46,56,77,Small School,Growing,0,Safe
AZAMGARH,MOHAMMADPUR,9611803703,G.U.M.V. KHARATI,22,36,50,74,Small School,Growing,1,Monitor
AZAMGARH,MOHAMMADPUR,9611801105,GOVT H S S SURJANPUR,87,46,62,88,Small School,Fluctuating,1,Monitor
AZAMGARH,PALHNA,9612205105,R.UMV DUBHAV,53,53,72,88,Small School,Growing,1,Monitor
AZAMGARH,PAWAE,9610701108,GOVT. GIRLS H.S. SCHOOL PAWAI,419,327,267,318,Medium School,Fluctuating,0,Safe
AZAMGARH,PAWAE,9610705504,RAJKIYA U.M.V. SARAIPUL,110,75,47,71,Small School,Fluctuating,2,At Risk
AZAMGARH,TAHBERPUR,9611006403,RAJKIYA U.M.V. RAISINGHPUR,160,129,116,125,Small School,Fluctuating,1,Monitor
AZAMGARH,TARWA,9610611101,R.B.U.M.V. BARAWANLALGANJ,25,32,32,32,Very Small,Growing,2,At Risk
AZAMGARH,THEKMA,9612106802,GOVT GIRLS I.C.  ASHWANIYA,65,57,35,34,Very Small,Getting Smaller,4,Critical
BAGHPAT,BAGPAT,9080104909,G.G.I.C BAGHPAT,606,673,716,693,Large School,Fluctuating,0,Safe
BAGHPAT,BAGPAT,9080104207,G.H.S AHERA,100,71,66,77,Small School,Fluctuating,2,At Risk
BAGHPAT,BAGPAT,9080103506,G.H.S FATEHPUR POOTHI,66,63,63,62,Small School,Getting Smaller,1,Monitor
BAGHPAT,BAGPAT,9080103703,GIC JAHANGARH DAUJHA,231,246,259,240,Medium School,Fluctuating,0,Safe
BAGHPAT,BAROUT,9080203312,G. G.I.C. BAVLI,208,211,229,221,Medium School,Fluctuating,0,Safe
BAGHPAT,BAROUT,9080202903,G.H.S CHOBLI,48,53,50,50,Very Small,Fluctuating,1,Monitor
BAGHPAT,BAROUT URBAN,9080400107,G.G.I.C BAROUT,192,196,194,176,Small School,Fluctuating,0,Safe
BAGHPAT,BINOLY,9080304608,G.G.I.C. DAHA,211,214,201,188,Small School,Fluctuating,0,Safe
BAGHPAT,BINOLY,9080305606,G.H.S GANGNOLI,35,57,70,86,Small School,Growing,1,Monitor
BAGHPAT,BINOLY,9080302506,G.H.S MAVIKALAN,61,76,78,77,Small School,Fluctuating,1,Monitor
BAGHPAT,CHHAPROLI,9080501906,G.G.I.C TUGANA,85,94,85,93,Small School,Fluctuating,0,Safe
