District,Block,School_ID,School_Name,Alert_ID,Alert_Type,Severity,Current_Value,Threshold,Year_Triggered
AMETHI - CSM NAGAR,SINGHPUR,9731700509,RAJKIY HIGH SCHOOL SINGHPUR,W2,ENROLLMENT DECLINE,HIGH,-16.0,-10,2025-26
AMETHI - CSM NAGAR,SINGHPUR,9731700509,RAJKIY HIGH SCHOOL SINGHPUR,W4,GIRLS ENROLLMENT DROP,HIGH,-19.2,-10,2025-26
AMETHI - CSM NAGAR,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,W1,ENROLLMENT CRASH,CRITICAL,-29.8,-20,2025-26
AMETHI - CSM NAGAR,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,W4,GIRLS ENROLLMENT DROP,HIGH,-18.8,-10,2025-26
AMETHI - CSM NAGAR,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AMETHI - CSM NAGAR,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
AURAIYA,ACHHALDA,9320900115,GOVT. U.M.V. PATA,W2,ENROLLMENT DECLINE,HIGH,-10.5,-10,2025-26
AURAIYA,AIRWAKATRA,9320400109,GOVT GIRLS INTER COLLEGE AIRWAKATRA,W8,MICRO SCHOOL,HIGH,18,25,2025-26
AURAIYA,AIRWAKATRA,9320402003,GOVT. U.M.V. KARMUPUR,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-36.0,-20,2025-26
AURAIYA,AURAIYA,9320107404,GOVT. U.M.V. NASIRABAD,W4,GIRLS ENROLLMENT DROP,HIGH,-17.2,-10,2025-26
AURAIYA,BHAGYANAGAR,9320602003,GOVT. U.M.V. TURKIPUR,W4,GIRLS ENROLLMENT DROP,HIGH,-14.3,-10,2025-26
AURAIYA,SAHAR,9320811706,GOVT GIRLS INTER COLLEGE SAHAR AURAIYA,W2,ENROLLMENT DECLINE,HIGH,-17.6,-10,2025-26
AURAIYA,SAHAR,9320811706,GOVT GIRLS INTER COLLEGE SAHAR AURAIYA,W4,GIRLS ENROLLMENT DROP,HIGH,-17.6,-10,2025-26
AURAIYA,SAHAR,9320811706,GOVT GIRLS INTER COLLEGE SAHAR AURAIYA,W5,CONTINUITY COLLAPSE,CRITICAL,50.0,60,2025-26
AURAIYA,SAHAR,9320811706,GOVT GIRLS INTER COLLEGE SAHAR AURAIYA,W8,MICRO SCHOOL,HIGH,14,25,2025-26
AZAMGARH,ATRAULIYA,9611201913,GOVT GIRLS INTER COLLEGE,W2,ENROLLMENT DECLINE,HIGH,-19.1,-10,2025-26
