school_id,school_name,district,block,School_Type,Class_Range_Label,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Growth_2223_2324,Growth_2324_2425,Growth_2425_2526,Overall_Growth,Trend_Tag
9120610205,ABHINAY VIDHYALAY CHHLESAR,ALIGARH,JAWAN,Secondary_Only,9-10,35.0,27.0,19,20,-22.86,-29.63,5.26,-42.86,Recovery
9120611803,GHS PIPLAUTH,ALIGARH,JAWAN,Senior_Secondary,9-12,94.0,86.0,95,103,-8.51,10.47,8.42,9.57,Recovery
9120601315,GOVERNTMENT INTER COLLEGE BARAULI,ALIGARH,JAWAN,Middle_to_Higher,6-12,55.0,83.0,68,85,50.91,-18.07,25.0,54.55,Volatile
9120609204,RAJKEY KANYA INTER OLLEGE GODHA JAWAN,ALIGARH,JAWAN,Middle_to_Secondary,6-10,364.0,313.0,291,254,-14.01,-7.03,-12.71,-30.22,Consistent Decline
9120601603,RAJKEYA HIGH SCHOOL KHURD KHERA JAWAN,ALIGARH,JAWAN,Senior_Secondary,9-12,41.0,44.0,52,51,7.32,18.18,-1.92,24.39,Peaked
9120805708,Pt Deendayal Upadhyay Govt Model Inter College kherasattu,ALIGARH,KHAIR,Middle_to_Higher,6-12,167.0,206.0,237,232,23.35,15.05,-2.11,38.92,Peaked
9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,ALIGARH,KHAIR,Middle_to_Higher,6-12,169.0,172.0,144,134,1.78,-16.28,-6.94,-20.71,Peaked
9120802203,VIKRAM VIDHYA MANDIR RAJKEYA INTER COLLEGE BANKNER KHAIR,ALIGARH,KHAIR,Middle_to_Secondary,6-10,321.0,282.0,256,251,-12.15,-9.22,-1.95,-21.81,Consistent Decline
9121000503,RAJKEYA HIGH SCHOOL SINGHARPUR,ALIGARH,LODHA,Senior_Secondary,9-12,250.0,249.0,249,259,-0.4,0.0,4.02,3.6,Stable
9121307839,NAURANGI LAL RAJKIYA INTER COLLEGE,ALIGARH,NAGAR ALIGARH,Middle_to_Higher,6-12,1205.0,1243.0,1245,1163,3.15,0.16,-6.59,-3.49,Peaked
9121307973,RAJKEYA KANYA INTER COLLEGE,ALIGARH,NAGAR ALIGARH,Full_School,1-12,1148.0,1182.0,1189,1142,2.96,0.59,-3.95,-0.52,Stable
