District,Block,School_ID,School_Name,School_Growth_Tag,Block_Cluster_Type,Is_Outlier,Outlier_Type
ALIGARH,LODHA,9121005012,G.I.C. RORAWAR,Consistent Growth,Mixed Block,No,Normal
ALIGARH,NAGAR ALIGARH,9121307839,NAURANGI LAL RAJKIYA INTER COLLEGE,Peaked,Mixed Block,No,Normal
ALIGARH,NAGAR ALIGARH,9121307973,RAJKEYA KANYA INTER COLLEGE,Stable,Mixed Block,No,Normal
ALIGARH,NAGAR ALIGARH,9121306092,GOVERNMENT HIGH SCHOOL BHUJPURA,Peaked,Mixed Block,No,Normal
ALIGARH,NAGAR ATRAULI,9121403616,RAJKEYA KANYA INTER COLLEGE ATRAULI,Consistent Decline,Isolated Decline,No,Normal
ALIGARH,TAPPAL,9120906504,RAJKEYA HIGH SCHOOL SIMROTHI TAPPAL,Recovery,Mixed Block,No,Normal
ALIGARH,TAPPAL,9120911213,SMT REVATI GOYAL RAJKEYA KANYA I.C. JATTA,Recovery,Mixed Block,No,Normal
AMBEDKAR NAGAR,AKBARPUR,9480110905,G G I C AKBARPUR,Volatile,Mixed Block,No,Normal
AMBEDKAR NAGAR,AKBARPUR,9480103707,GOVT GIRLS INTER COLLEGE BEWANA,Consistent Growth,Mixed Block,No,Normal
AMBEDKAR NAGAR,AKBARPUR,9480114803,GOVT HIGHER SEC SCH KAHARA SULEMPUR,Recovery,Mixed Block,No,Normal
AMBEDKAR NAGAR,AKBARPUR,9480106311,GOVT HIGHER SEC SCH RAMPUR SAKARWARI,Recovery,Mixed Block,No,Normal
AMBEDKAR NAGAR,AKBARPUR,9480107905,GOVT INTER COLLEGE AKBARPUR,Peaked,Mixed Block,No,Normal
AMBEDKAR NAGAR,AKBARPUR,9480101909,Pt Deendayal Upadhyay Govt Model Inter College Jafarganj,Consistent Growth,Mixed Block,No,Normal
AMBEDKAR NAGAR,AKBARPUR,9480100906,SAVITRI BAI FULE GOVT. GIRLS INTER COLLEGE,Volatile,Mixed Block,No,Normal
AMBEDKAR NAGAR,BASKHARI,9480200403,GOVT HIGHER SEC SCH LAKHANPUR,Recovery,Mixed Block,No,Normal
AMBEDKAR NAGAR,BASKHARI,9480210203,RAJKIYA HIGHER SEC SCH00L TARAULI MUBARAKPUR,Recovery,Mixed Block,No,Normal
AMBEDKAR NAGAR,BHEETI,9480308014,GOVT GIRLS INTER COLLEGE BHEETI,Consistent Growth,Isolated Growth,No,Normal
AMBEDKAR NAGAR,BHIYAON,9480406306,GOVT HIGHER SEC SCH RAMGARH,Recovery,Mixed Block,No,Normal
AMBEDKAR NAGAR,BHIYAON,9480404812,KASTURABA GANDHI G HIGHER SEC SCH RATNA,Recovery,Mixed Block,No,Normal
