school_id,school_name,district,block,School_Type,Class_Range_Label,Boys_2223,Boys_2324,Boys_2425,Boys_2526,Girls_2223,Girls_2324,Girls_2425,Girls_2526,Girls_Growth_Pct,Boys_Growth_Pct,Gender_Gap_Pct,Girls_Ratio_Current,Girls_Imbalance_Flag,Girls_Declining_Flag
9120703804,Pt Deendayal Upadhyay Govt Model Inter College,ALIGARH,CHANDAUS,Middle_to_Higher,6-12,90.0,123.0,107,116,109.0,127.0,127,143,31.19,28.89,2.3,0.552,Yes,No
9120708603,RAJKEYA HIGH SCHOOL PORAI CHANDAUS,ALIGARH,CHANDAUS,Senior_Secondary,9-12,30.0,23.0,24,29,19.0,18.0,21,22,15.79,-3.33,19.12,0.431,Yes,No
9120701402,RAJKEYA KANYA INTER COLLEGE DEORAU MOD,ALIGARH,CHANDAUS,Middle_to_Secondary,6-10,0.0,0.0,0,0,265.0,233.0,208,226,-14.72,,,1.0,No,Yes
9120101303,RAJKEYA HIGH SCHOOL RAHSUPUR DHANIPUR,ALIGARH,DHANIPUR,Senior_Secondary,9-12,36.0,32.0,42,44,26.0,20.0,39,50,92.31,22.22,70.09,0.532,Yes,No
9120103509,RAJKEYA KANYA INTER COLLEGE KALAI,ALIGARH,DHANIPUR,Middle_to_Higher,6-12,0.0,0.0,0,0,231.0,212.0,197,184,-20.35,,,1.0,No,Yes
9120409603,RAJKEY HIGH SCHOOL NAVIPUR,ALIGARH,GANGIRI,Senior_Secondary,9-12,5.0,1.0,1,0,8.0,10.0,15,19,137.5,-100.0,237.5,1.0,No,No
9120402514,RAJKEYA HIGH SCHOOL GANGIRI ALIGARH,ALIGARH,GANGIRI,Senior_Secondary,9-12,11.0,28.0,29,28,34.0,24.0,33,47,38.24,154.55,-116.31,0.627,Yes,No
9120401935,RAJKEYA KANYA INTER COLLEGE CHHARA,ALIGARH,GANGIRI,Middle_to_Higher,6-12,0.0,0.0,0,0,56.0,51.0,72,74,32.14,,,1.0,No,No
9121108003,GAYATRI DEEVI RAJKEY INTER COLLEGE  GORAI,ALIGARH,GONDA,Full_School,1-12,194.0,209.0,122,122,219.0,232.0,136,124,-43.38,-37.11,-6.27,0.504,Yes,Yes
9121109505,Pt Deendayal Upadhyay Govt Model Inter College Tamotia,ALIGARH,GONDA,Middle_to_Higher,6-12,88.0,97.0,80,66,93.0,83.0,92,77,-17.2,-25.0,7.8,0.538,Yes,Yes
9121108012,SMT SAROJ SINGH RASTREYA I.C.GORAI,ALIGARH,GONDA,Middle_to_Higher,6-12,293.0,306.0,231,221,286.0,314.0,267,268,-6.29,-24.57,18.28,0.548,Yes,Yes
9121207805,GOVT. HIGH SCHOOL JAWAR,ALIGARH,IGLAS,Senior_Secondary,9-12,57.0,46.0,48,67,58.0,63.0,59,78,34.48,17.54,16.94,0.538,Yes,No
9121206027,RAJKEY KANYA INTER COLLEGE,ALIGARH,IGLAS,Middle_to_Higher,6-12,0.0,0.0,0,0,203.0,204.0,227,246,21.18,,,1.0,No,No
9121200701,RAJKEYA HIGH SCHOOL RAITPUR IGLAS,ALIGARH,IGLAS,Senior_Secondary,9-12,23.0,14.0,16,20,32.0,20.0,25,30,-6.25,-13.04,6.79,0.6,Yes,Yes
9120610205,ABHINAY VIDHYALAY CHHLESAR,ALIGARH,JAWAN,Secondary_Only,9-10,26.0,18.0,12,8,9.0,9.0,7,12,33.33,-69.23,102.56,0.6,Yes,No
9120611803,GHS PIPLAUTH,ALIGARH,JAWAN,Senior_Secondary,9-12,48.0,44.0,52,51,46.0,42.0,43,52,13.04,6.25,6.79,0.505,Yes,No
9120601315,GOVERNTMENT INTER COLLEGE BARAULI,ALIGARH,JAWAN,Middle_to_Higher,6-12,25.0,40.0,33,45,30.0,43.0,35,40,33.33,80.0,-46.67,0.471,Yes,No
9120609204,RAJKEY KANYA INTER OLLEGE GODHA JAWAN,ALIGARH,JAWAN,Middle_to_Secondary,6-10,0.0,0.0,0,0,364.0,313.0,291,254,-30.22,,,1.0,No,Yes
9120601603,RAJKEYA HIGH SCHOOL KHURD KHERA JAWAN,ALIGARH,JAWAN,Senior_Secondary,9-12,21.0,17.0,20,21,20.0,27.0,32,30,50.0,0.0,50.0,0.588,Yes,No
9120805708,Pt Deendayal Upadhyay Govt Model Inter College kherasattu,ALIGARH,KHAIR,Middle_to_Higher,6-12,90.0,117.0,132,130,77.0,89.0,105,102,32.47,44.44,-11.97,0.44,Yes,No
9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,ALIGARH,KHAIR,Middle_to_Higher,6-12,78.0,82.0,72,67,91.0,90.0,72,67,-26.37,-14.1,-12.27,0.5,Yes,Yes
9120802203,VIKRAM VIDHYA MANDIR RAJKEYA INTER COLLEGE BANKNER KHAIR,ALIGARH,KHAIR,Middle_to_Secondary,6-10,159.0,137.0,118,124,162.0,145.0,138,127,-21.6,-22.01,0.41,0.506,Yes,Yes
9121000503,RAJKEYA HIGH SCHOOL SINGHARPUR,ALIGARH,LODHA,Senior_Secondary,9-12,109.0,105.0,106,114,141.0,144.0,143,145,2.84,4.59,-1.75,0.56,Yes,No
9121307839,NAURANGI LAL RAJKIYA INTER COLLEGE,ALIGARH,NAGAR ALIGARH,Middle_to_Higher,6-12,1205.0,1243.0,1245,1163,0.0,0.0,0,0,,-3.49,,0.0,Yes,No
9121307973,RAJKEYA KANYA INTER COLLEGE,ALIGARH,NAGAR ALIGARH,Full_School,1-12,0.0,0.0,0,0,1148.0,1182.0,1189,1142,-0.52,,,1.0,No,Yes
9121403616,RAJKEYA KANYA INTER COLLEGE ATRAULI,ALIGARH,NAGAR ATRAULI,Middle_to_Higher,6-12,0.0,0.0,0,0,918.0,848.0,715,678,-26.14,,,1.0,No,Yes
9120906504,RAJKEYA HIGH SCHOOL SIMROTHI TAPPAL,ALIGARH,TAPPAL,Senior_Secondary,9-12,29.0,31.0,26,42,28.0,19.0,28,42,50.0,44.83,5.17,0.5,Yes,No
9120911213,SMT REVATI GOYAL RAJKEYA KANYA I.C. JATTA,ALIGARH,TAPPAL,Middle_to_Higher,6-12,0.0,0.0,0,0,118.0,109.0,99,124,5.08,,,1.0,No,No
9480110905,G G I C AKBARPUR,AMBEDKAR NAGAR,AKBARPUR,Full_School,1-12,0.0,0.0,0,0,123.0,72.0,76,68,-44.72,,,1.0,No,Yes
9480103707,GOVT GIRLS INTER COLLEGE BEWANA,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Secondary,6-10,0.0,0.0,0,0,282.0,291.0,351,384,36.17,,,1.0,No,No
9480114803,GOVT HIGHER SEC SCH KAHARA SULEMPUR,AMBEDKAR NAGAR,AKBARPUR,Senior_Secondary,9-12,16.0,12.0,16,32,22.0,22.0,29,38,72.73,100.0,-27.27,0.543,Yes,No
9480106311,GOVT HIGHER SEC SCH RAMPUR SAKARWARI,AMBEDKAR NAGAR,AKBARPUR,Senior_Secondary,9-12,17.0,11.0,10,17,17.0,14.0,10,18,5.88,0.0,5.88,0.514,Yes,No
9480107905,GOVT INTER COLLEGE AKBARPUR,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Secondary,6-10,243.0,243.0,270,201,249.0,253.0,242,195,-21.69,-17.28,-4.41,0.492,Yes,Yes
9480101909,Pt Deendayal Upadhyay Govt Model Inter College Jafarganj,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Higher,6-12,30.0,29.0,55,97,34.0,39.0,68,102,200.0,223.33,-23.33,0.513,Yes,No
9480100906,SAVITRI BAI FULE GOVT. GIRLS INTER COLLEGE,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Secondary,6-10,0.0,0.0,0,0,408.0,389.0,409,400,-1.96,,,1.0,No,Yes
9480200403,GOVT HIGHER SEC SCH LAKHANPUR,AMBEDKAR NAGAR,BASKHARI,Senior_Secondary,9-12,36.0,21.0,13,25,60.0,52.0,40,39,-35.0,-30.56,-4.44,0.609,Yes,Yes
