school_id,school_name,district,block,School_Type,Class_Range_Label,Stability_Mean,Stability_Std,CV_Pct,Stability_Label
9120805708,Pt Deendayal Upadhyay Govt Model Inter College kherasattu,ALIGARH,KHAIR,Middle_to_Higher,6-12,210.5,32.03,15.22,Volatile
9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,ALIGARH,KHAIR,Middle_to_Higher,6-12,154.75,18.68,12.07,Moderate
9120802203,VIKRAM VIDHYA MANDIR RAJKEYA INTER COLLEGE BANKNER KHAIR,ALIGARH,KHAIR,Middle_to_Secondary,6-10,277.5,32.03,11.54,Moderate
9121000503,RAJKEYA HIGH SCHOOL SINGHARPUR,ALIGARH,LODHA,Senior_Secondary,9-12,251.75,4.86,1.93,Stable
9121307839,NAURANGI LAL RAJKIYA INTER COLLEGE,ALIGARH,NAGAR ALIGARH,Middle_to_Higher,6-12,1214.0,38.66,3.18,Stable
9121307973,RAJKEYA KANYA INTER COLLEGE,ALIGARH,NAGAR ALIGARH,Full_School,1-12,1165.25,23.68,2.03,Stable
9121403616,RAJKEYA KANYA INTER COLLEGE ATRAULI,ALIGARH,NAGAR ATRAULI,Middle_to_Higher,6-12,789.75,112.42,14.23,Moderate
9120906504,RAJKEYA HIGH SCHOOL SIMROTHI TAPPAL,ALIGARH,TAPPAL,Senior_Secondary,9-12,61.25,15.44,25.21,Volatile
9120911213,SMT REVATI GOYAL RAJKEYA KANYA I.C. JATTA,ALIGARH,TAPPAL,Middle_to_Higher,6-12,112.5,10.91,9.7,Moderate
9480110905,G G I C AKBARPUR,AMBEDKAR NAGAR,AKBARPUR,Full_School,1-12,84.75,25.71,30.34,Volatile
9480103707,GOVT GIRLS INTER COLLEGE BEWANA,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Secondary,6-10,327.0,48.81,14.93,Moderate
9480114803,GOVT HIGHER SEC SCH KAHARA SULEMPUR,AMBEDKAR NAGAR,AKBARPUR,Senior_Secondary,9-12,46.75,16.15,34.55,Volatile
9480106311,GOVT HIGHER SEC SCH RAMPUR SAKARWARI,AMBEDKAR NAGAR,AKBARPUR,Senior_Secondary,9-12,28.5,7.23,25.37,Volatile
9480107905,GOVT INTER COLLEGE AKBARPUR,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Secondary,6-10,474.0,52.71,11.12,Moderate
9480101909,Pt Deendayal Upadhyay Govt Model Inter College Jafarganj,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Higher,6-12,113.5,63.04,55.54,Volatile
9480100906,SAVITRI BAI FULE GOVT. GIRLS INTER COLLEGE,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Secondary,6-10,401.5,9.26,2.31,Stable
9480200403,GOVT HIGHER SEC SCH LAKHANPUR,AMBEDKAR NAGAR,BASKHARI,Senior_Secondary,9-12,71.5,18.27,25.55,Volatile
9480210203,RAJKIYA HIGHER SEC SCH00L TARAULI MUBARAKPUR,AMBEDKAR NAGAR,BASKHARI,Senior_Secondary,9-12,35.75,12.97,36.28,Volatile
9480308014,GOVT GIRLS INTER COLLEGE BHEETI,AMBEDKAR NAGAR,BHEETI,Middle_to_Secondary,6-10,123.25,37.75,30.63,Volatile
9480406306,GOVT HIGHER SEC SCH RAMGARH,AMBEDKAR NAGAR,BHIYAON,Senior_Secondary,9-12,69.25,17.46,25.21,Volatile
9480404812,KASTURABA GANDHI G HIGHER SEC SCH RATNA,AMBEDKAR NAGAR,BHIYAON,Senior_Secondary,9-12,84.5,30.23,35.78,Volatile
9480403803,PT. D.D.U GOVT. MODAL INTER COLLEGE INDHANA,AMBEDKAR NAGAR,BHIYAON,Middle_to_Higher,6-12,395.25,142.27,35.99,Volatile
9480700805,GOVT GIRLS INTER COLLEGE TENDUAI KALA,AMBEDKAR NAGAR,JAHANGIRGANJ,Middle_to_Secondary,6-10,254.5,74.19,29.15,Volatile
9480709005,GOVT HIGHER SEC SCH AHIRAULI RANIMAU,AMBEDKAR NAGAR,JAHANGIRGANJ,Senior_Secondary,9-12,124.25,22.74,18.3,Volatile
9480702111,GOVT HIGHER SEC SCH JAHANGIRGANJ,AMBEDKAR NAGAR,JAHANGIRGANJ,Senior_Secondary,9-12,126.0,28.93,22.96,Volatile
9480704404,GOVT HIGHER SEC SCHOOL KAMHARIA,AMBEDKAR NAGAR,JAHANGIRGANJ,Senior_Secondary,9-12,63.25,12.76,20.17,Volatile
9480602120,GOVT G INTER COLLEGE JALALPUR,AMBEDKAR NAGAR,JALALPUR,Middle_to_Higher,6-12,314.25,52.05,16.56,Volatile
9480607607,GOVT HIGHER SEC SCH BAREPUR,AMBEDKAR NAGAR,JALALPUR,Senior_Secondary,9-12,66.5,14.36,21.59,Volatile
9480605504,GOVT HIGHER SEC SCH BASIYA,AMBEDKAR NAGAR,JALALPUR,Senior_Secondary,9-12,90.0,6.68,7.42,Moderate
9480502308,GOVT HIGHER SEC SCH PAHITIPUR,AMBEDKAR NAGAR,KATEHARI,Senior_Secondary,9-12,151.5,7.14,4.71,Stable
9480501904,PT DEENDAYAL UPADHYAY GOVT MODAL IC PAHITIPUR KHAJOORDEEH AMBEDKAR NAGAR,AMBEDKAR NAGAR,KATEHARI,Middle_to_Higher,6-12,253.0,50.52,19.97,Volatile
9480508707,RAJKEY HIGHSCHOOL ASHRAFPUR BARAWAN,AMBEDKAR NAGAR,KATEHARI,Senior_Secondary,9-12,124.5,12.48,10.02,Moderate
9480811703,GOVT HIGHER SEC SCH CHANDANPUR,AMBEDKAR NAGAR,RAMNAGAR,Senior_Secondary,9-12,78.25,7.04,9.0,Moderate
9480802223,PT. D.D.U. GOVT. MODAL INTER COLLEGE RAMNAGAR,AMBEDKAR NAGAR,RAMNAGAR,Middle_to_Higher,6-12,281.75,215.38,76.44,Volatile
9480814301,RAJKEEYA HIGHER SEC SCH AMADERVESPUR,AMBEDKAR NAGAR,RAMNAGAR,Senior_Secondary,9-12,70.75,27.87,39.39,Volatile
9480814201,SMT SUMITRA DEVI SHUKLA GOVT GIRLS INTER COLLEGE ALAPUR,AMBEDKAR NAGAR,RAMNAGAR,Middle_to_Secondary,6-10,196.25,25.2,12.84,Moderate
9480917501,GOVT GIRLS INTER COLLEGE TANDA,AMBEDKAR NAGAR,TANDA,Middle_to_Secondary,6-10,146.5,13.96,9.53,Moderate
9480908706,GOVT HIGHER SEC SCH DIHWA MOHIUDDINPUR,AMBEDKAR NAGAR,TANDA,Senior_Secondary,9-12,57.75,5.74,9.94,Moderate
9480900604,GOVT HIGHER SEC SCH FARIDPUR KUTUB,AMBEDKAR NAGAR,TANDA,Senior_Secondary,9-12,108.0,18.31,16.95,Volatile
9480911206,GOVT VIDYUT PAR IC VIDYUTNAGAR,AMBEDKAR NAGAR,TANDA,Full_School,1-12,576.0,20.02,3.48,Stable
9481002001,GOVT. GIRLS INTER COLLEGE NAGARPALIKA PARISHAD TANDA,AMBEDKAR NAGAR,TANDA TOWN AREA,Middle_to_Higher,6-12,102.5,54.56,53.23,Volatile
9730208001,GGIC AMETHI,AMETHI - CSM NAGAR,AMETHI,Middle_to_Higher,6-12,447.5,101.68,22.72,Volatile
9730200109,RAJKIYE HIGH SCHOOL,AMETHI - CSM NAGAR,AMETHI,Senior_Secondary,9-12,142.25,28.65,20.14,Volatile
9732500101,GGIC JAIS,AMETHI - CSM NAGAR,BAHADURPUR,Middle_to_Higher,6-12,429.75,57.4,13.36,Moderate
9732502201,GIC FURSATGANJ,AMETHI - CSM NAGAR,BAHADURPUR,Middle_to_Higher,6-12,1494.75,133.91,8.96,Moderate
9732500102,GIC JAIS,AMETHI - CSM NAGAR,BAHADURPUR,Middle_to_Higher,6-12,217.5,22.47,10.33,Moderate
9732500904,Pt Deendayal Upadhayay Govt Model Inter College Udawa,AMETHI - CSM NAGAR,BAHADURPUR,Middle_to_Higher,6-12,242.0,118.7,49.05,Volatile
9732500206,RAJKEEYA HIGH SCHOOL,AMETHI - CSM NAGAR,BAHADURPUR,Senior_Secondary,9-12,90.25,6.6,7.31,Moderate
9732500609,RAJKIYA HIGH SCHOOL PEEDHI,AMETHI - CSM NAGAR,BAHADURPUR,Senior_Secondary,9-12,103.75,36.75,35.42,Volatile
9732704801,GGIC SONARI KALA,AMETHI - CSM NAGAR,BHADAR,Middle_to_Higher,6-12,494.75,23.26,4.7,Stable
9732701209,GIC TIKARMAFI,AMETHI - CSM NAGAR,BHADAR,Middle_to_Higher,6-12,643.5,26.9,4.18,Stable
9732702403,RAJKIYA HIGH SCHOOL,AMETHI - CSM NAGAR,BHADAR,Senior_Secondary,9-12,36.25,13.82,38.12,Volatile
9732706101,RAMABAI AMBEDKAR GGIC,AMETHI - CSM NAGAR,BHADAR,Middle_to_Higher,6-12,112.25,17.86,15.91,Volatile
