District,Block,School_ID,School_Name,Girls_C8,Girls_C9,Girls_C10,Girls_C11,Girls_C12,Cont_C8_C9_pct,Cont_C9_C10_pct,Cont_C10_C11_pct,Cont_C11_C12_pct,Girls_Progression_pct,Weakest_Step,C10_C11_Trend,Ladder_Tag
AMBEDKAR NAGAR,AKBARPUR,9480101909,Pt Deendayal Upadhyay Govt Model Inter College Jafarganj,4,36,32,18,12,899.8,88.9,56.2,66.7,299.9,C10-C11,More Girls Enrolling in C11,Multiple Enrollment Gaps
AMBEDKAR NAGAR,AKBARPUR,9480100906,SAVITRI BAI FULE GOVT. GIRLS INTER COLLEGE,0,92,99,98,111,9200000.0,107.6,99.0,113.3,11100000.0,C10-C11,Fewer Girls Enrolling in C11,Strong Enrollment
AMBEDKAR NAGAR,BASKHARI,9480200403,GOVT HIGHER SEC SCH LAKHANPUR,0,22,17,0,0,2200000.0,77.3,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,BASKHARI,9480210203,RAJKIYA HIGHER SEC SCH00L TARAULI MUBARAKPUR,0,24,9,0,0,2400000.0,37.5,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,BHEETI,9480308014,GOVT GIRLS INTER COLLEGE BHEETI,0,50,72,16,24,5000000.0,144.0,22.2,150.0,2400000.0,C10-C11,Fewer Girls Enrolling in C11,Class 10-11 Enrollment Gap
AMBEDKAR NAGAR,BHIYAON,9480406306,GOVT HIGHER SEC SCH RAMGARH,0,19,11,0,0,1900000.0,57.9,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,BHIYAON,9480404812,KASTURABA GANDHI G HIGHER SEC SCH RATNA,0,64,25,0,0,6400000.0,39.1,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,BHIYAON,9480403803,PT. D.D.U GOVT. MODAL INTER COLLEGE INDHANA,21,57,35,55,65,271.4,61.4,157.1,118.2,309.5,C9-C10,More Girls Enrolling in C11,Early Class Enrollment Gap
AMBEDKAR NAGAR,JAHANGIRGANJ,9480700805,GOVT GIRLS INTER COLLEGE TENDUAI KALA,0,51,40,61,27,5100000.0,78.4,152.5,44.3,2700000.0,C11-C12,More Girls Enrolling in C11,Class 11-12 Enrollment Gap
AMBEDKAR NAGAR,JAHANGIRGANJ,9480709005,GOVT HIGHER SEC SCH AHIRAULI RANIMAU,0,49,33,0,0,4900000.0,67.3,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
