District,Block,School_ID,School_Name,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Had_Decline,Trough_Year,Trough_Value,Recovery_Amount,Recovery_pct,Recovery_Pattern,Recovery_Strength
AMBEDKAR NAGAR,JAHANGIRGANJ,9480702111,GOVT HIGHER SEC SCH JAHANGIRGANJ,147,95,108,154,True,2023-24,95,59,62.11,Strong Recovery,Strong
AMBEDKAR NAGAR,JAHANGIRGANJ,9480704404,GOVT HIGHER SEC SCHOOL KAMHARIA,61,49,63,80,True,2023-24,49,31,63.27,Strong Recovery,Strong
AMBEDKAR NAGAR,JALALPUR,9480602120,GOVT G INTER COLLEGE JALALPUR,250,296,344,367,False,2022-23,250,117,46.8,No Recovery Needed,Strong
AMBEDKAR NAGAR,JALALPUR,9480607607,GOVT HIGHER SEC SCH BAREPUR,61,49,75,81,True,2023-24,49,32,65.31,Strong Recovery,Strong
AMBEDKAR NAGAR,JALALPUR,9480605504,GOVT HIGHER SEC SCH BASIYA,90,81,92,97,True,2023-24,81,16,19.75,Strong Recovery,Moderate
AMBEDKAR NAGAR,KATEHARI,9480502308,GOVT HIGHER SEC SCH PAHITIPUR,154,141,154,157,True,2023-24,141,16,11.35,Strong Recovery,Moderate
AMBEDKAR NAGAR,KATEHARI,9480501904,PT DEENDAYAL UPADHYAY GOVT MODAL IC PAHITIPUR KHAJOORDEEH AMBEDKAR NAGAR,251,215,221,325,True,2023-24,215,110,51.16,Strong Recovery,Strong
AMBEDKAR NAGAR,KATEHARI,9480508707,RAJKEY HIGHSCHOOL ASHRAFPUR BARAWAN,112,116,132,138,False,2022-23,112,26,23.21,No Recovery Needed,Strong
AMBEDKAR NAGAR,RAMNAGAR,9480811703,GOVT HIGHER SEC SCH CHANDANPUR,80,81,68,84,True,2024-25,68,16,23.53,Full Recovery,Strong
AMBEDKAR NAGAR,RAMNAGAR,9480802223,PT. D.D.U. GOVT. MODAL INTER COLLEGE RAMNAGAR,60,175,335,557,False,2022-23,60,497,828.33,No Recovery Needed,Strong
AMBEDKAR NAGAR,RAMNAGAR,9480814301,RAJKEEYA HIGHER SEC SCH AMADERVESPUR,46,52,78,107,False,2022-23,46,61,132.61,No Recovery Needed,Strong
AMBEDKAR NAGAR,RAMNAGAR,9480814201,SMT SUMITRA DEVI SHUKLA GOVT GIRLS INTER COLLEGE ALAPUR,226,206,185,168,True,2025-26,168,0,0.0,Still Declining,No Recovery
AMBEDKAR NAGAR,TANDA,9480917501,GOVT GIRLS INTER COLLEGE TANDA,148,127,151,160,True,2023-24,127,33,25.98,Strong Recovery,Strong
AMBEDKAR NAGAR,TANDA,9480908706,GOVT HIGHER SEC SCH DIHWA MOHIUDDINPUR,65,58,51,57,True,2024-25,51,6,11.76,Late Recovery,Moderate
