District,Block,School_ID,School_Name,SegA_2223,SegB_2223,SegA_2526,SegB_2526,SegA_Growth_pct,SegB_Growth_pct,Ratio_2223,Ratio_2324,Ratio_2425,Ratio_2526,Ratio_Trend,Segment_Tag
BAHRAICH,KAISER GANJ,9500200108,R H SCHOOL BADRAULI,179,0,135,0,-24.58,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,KAISER GANJ,9500207202,R H SCHOOL UMARI KAISARGANJ,108,0,130,0,20.37,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,KAISER GANJ,9500203010,RAJKIYE BALIKA INTER COLLEGE,520,259,475,391,-8.65,50.97,49.8,41.6,57.4,82.3,Improving,Sr Secondary Only
BAHRAICH,KAISER GANJ,9500206006,RAJKIYE HIGH SCHOOL GULHARIYA,93,0,100,0,7.53,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,KAISER GANJ,9500204705,RH SCHOOL PARSENDI,94,0,95,0,1.06,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,MAHSI,9500400103,R H SCHOOL MAIKUPURWA,77,0,75,0,-2.6,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,MAHSI,9500403005,R H SCHOOL NAKAHI,82,0,76,0,-7.32,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,MAHSI,9500401203,RAJKEEY HIGH SCHOOL BAHORIKPUR MAHSI,130,0,112,0,-13.85,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,MIHIN PURVA,9501108016,R H S CHALWA,111,0,145,0,30.63,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,MIHIN PURVA,9501102503,R H SCHOOL SALARPUR MIHIPURWA,69,0,94,0,36.23,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,MIHIN PURVA,9501110505,R.H. SCHOOL PARGAHWA,34,0,48,0,41.18,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,MIHIN PURVA,9501104605,R.H. SCHOOL PURAINA RAGHUNATHPUR,103,0,106,0,2.91,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,MIHIN PURVA,9501114002,R.H. SCHOOL RAMPURWA MATEHI,210,0,253,0,20.48,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,MIHIN PURVA,9501104004,R.H. SCHOOL URRA BAZAR,71,0,85,0,19.72,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,NAGAR AREA,9501301904,RAJKEEYA INTER COLLEGE,285,184,338,207,18.6,12.5,64.6,83.7,75.9,61.2,Declining,Both Growing
BAHRAICH,NAGAR AREA,9501301105,RAJKIYA BALIKA INTER COLLAGE ,414,263,368,242,-11.11,-7.98,63.5,83.5,66.3,65.8,Improving,Both Declining
BAHRAICH,NAWAB GANJ,9501204707,GOVT INTER COLLEGE LAKHAIYA KALAN,297,97,382,159,28.62,63.92,32.7,58.1,52.4,41.6,Improving,Both Growing
BAHRAICH,NAWAB GANJ,9501207210,GOVT.G. INTER COLEGE,120,34,114,83,-5.0,144.12,28.3,69.4,64.6,72.8,Improving,Sr Secondary Only
BAHRAICH,NAWAB GANJ,9501214301,R H SCHOOL PATNA NAWABGANJ,22,0,95,0,331.82,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,PAYAGPUR,9501400411,MAMRAJ GOV. GIRLS H.S. SCHOOL,167,84,134,130,-19.76,54.76,50.3,75.4,83.3,97.0,Improving,Sr Secondary Only
BAHRAICH,PAYAGPUR,9501401502,R HS GANGA PUR,75,0,96,0,28.0,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,PAYAGPUR,9501401304,R.H. SEMRIYAWAN,163,0,248,0,52.15,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,RISIA,9500903803,R H S BHAGTAPUR,72,0,59,0,-18.06,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,RISIA,9500904603,R H SCHOOL BHOPATPUR CHAUKI,102,0,117,0,14.71,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,SHIV PUR,9500505306,R.H. SCHOOL INTAHA,87,0,80,0,-8.05,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,SHIV PUR,9500503505,R.H. SCHOOL RAMPUR DHOBIYAHAR,95,0,164,0,72.63,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,TAJWA PUR,9500703302,GOVT HIGH SCHOOL TEDAVA SISTIPUR,146,0,142,0,-2.74,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,TAJWA PUR,9500703604,GOVT INTER COLLEGE RAMPURWA,474,302,677,457,42.83,51.32,63.7,68.5,67.9,67.5,Improving,Both Growing
BAHRAICH,VISHESHWAR  GANJ,9501508302,R H SCHOOL BASANT TEPRA VISHESHWARGANJ,82,0,126,0,53.66,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,VISHESHWAR  GANJ,9501508303,R H SCHOOL GANGA JAMUNI VISHESHWARGANJ,200,0,261,76,30.5,,0.0,0.0,0.0,29.1,Improving,Senior Collapse
